"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P06","Mucho",0.464,0.252,0.402,0.247
"P06","Bastante",0.208,0.451,0.299,0.233
"P06","Poco",0.179,0.234,0.148,0.186
"P06","Nada",0.107,0.049,0.127,0.21
"P06","No sabe",0.042,0.014,0.024,0.124
"P07","Siempre",0.36,0.207,0.243,0.186
"P07","Casi siempre",0.245,0.465,0.312,0.309
"P07","Casi nunca",0.243,0.254,0.322,0.291
"P07","Nunca, pero esta es una excepción",0.152,0.074,0.123,0.214
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.102,0.122,0.315,0.258
"P08","Sergio Massa a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.012,0.086,0.089,0.075
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Fernando Espinoza a intendente por Unión por la Patria",0.029,0.039,0.058,0.023
"P08","Juan Grabois a presidente, Axel Kicillof a gobernador y Patricia Cubria a intendente por Unión por la Patria",0.003,0.045,0.065,0.036
"P08","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Eduardo “Lalo” Creus a intendente por Juntos por el Cambio",0.218,0.299,0.174,0.183
"P08","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Josefina Mendoza a intendente por Juntos por el Cambio",0.067,0.102,0.08,0.08
"P08","Javier Milei a presidente, Carolina Piparo a gobernadora  y Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.496,0.226,0.089,0.116
"P08","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.022,0.021,0.028,0.007
"P08","Otros",0.045,0.021,0.036,0.07
"P08","No sabe",0.006,0.039,0.066,0.152
"P11","Totalmente seguro",0.747,0.574,0.63,0.412
"P11","Bastante seguro",0.087,0.251,0.129,0.141
"P11","Algo seguro",0.076,0.097,0.116,0.168
"P11","Para nada seguro",0.09,0.078,0.125,0.279
"P12","Tiene Decidido que va a ir a votar",0.879,0.873,0.895,0.771
"P12","Tiene dudas sobre si va a ir a  votar",0.075,0.108,0.059,0.13
"P12","Tiene Decidido que no va a ir a votar",0.046,0.019,0.046,0.099
"P13","Fernando Espinoza a intendente por Unión por la Patria",0.115,0.216,0.302,0.231
"P13","Patricia Cubria a intendente por Unión por la Patria",0.045,0.028,0.145,0.028
"P13","María Laura Ramírez a intendente por Unión por la Patria",0.001,0.01,0.01,0.005
"P13","Eduardo “Lalo” Creus por Juntos por el Cambio",0.146,0.228,0.164,0.202
"P13","Josefina Mendoza por Juntos por el Cambio",0.104,0.078,0.031,0.032
"P13","Héctor “Toty” Flores a intendente por Juntos por el Cambio",0.026,0.163,0.077,0.053
"P13","Adrián ""El Dipy"" Martínez a intendente por la Libertad Avanza",0.52,0.169,0.066,0.028
"P13","Alberto Samid a intendente por Principios y Valores",0.008,0.008,0.012,0.006
"P13","Alguno de los candidatos a intendente de la Izquierda",0.001,0.024,0.056,0.012
"P13","No sabe",0.034,0.076,0.137,0.403
"P16","Lo votaría",0.193,0.077,0.295,0.138
"P16","Puede que lo vote",0.068,0.164,0.113,0.06
"P16","Nunca lo votaría",0.651,0.721,0.538,0.394
"P16","No sabe",0.088,0.038,0.054,0.408
"P17","Lo votaría",0.26,0.044,0.099,0.046
"P17","Puede que lo vote",0.032,0.221,0.158,0.09
"P17","Nunca lo votaría",0.586,0.633,0.639,0.178
"P17","No sabe",0.122,0.102,0.104,0.686
"P18","Lo votaría",0.176,0.018,0.035,0.051
"P18","Puede que lo vote",0.093,0.308,0.084,0.038
"P18","Nunca lo votaría",0.596,0.476,0.728,0.105
"P18","No sabe",0.135,0.198,0.153,0.806
"P19","Lo votaría",0.296,0.22,0.117,0.057
"P19","Puede que lo vote",0.095,0.297,0.134,0.055
"P19","Nunca lo votaría",0.494,0.286,0.639,0.144
"P19","No sabe",0.115,0.197,0.11,0.744
"P20","Lo votaría",0.175,0.05,0.044,0.023
"P20","Puede que lo vote",0.061,0.257,0.084,0.07
"P20","Nunca lo votaría",0.606,0.494,0.714,0.136
"P20","No sabe",0.158,0.199,0.158,0.771
"P21","Lo votaría",0.258,0.138,0.135,0.123
"P21","Puede que lo vote",0.172,0.448,0.085,0.085
"P21","Nunca lo votaría",0.451,0.308,0.699,0.166
"P21","No sabe",0.119,0.106,0.081,0.626
"P23","Lo votaría",0.158,0.035,0.054,0.058
"P23","Puede que lo vote",0.034,0.152,0.075,0.052
"P23","Nunca lo votaría",0.697,0.742,0.802,0.373
"P23","No sabe",0.111,0.071,0.069,0.517
"P24","Si",0.396,0.499,0.426,0.289
"P24","No",0.604,0.501,0.574,0.711
