codigo	bloque	paleta	texto	label	aclaracion
P06	Control	muchopoco	Usted diría que la política le importa…	Opinión sobre la importancia de la política
P07	Control	frecuencia	¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas
P08	Intención de voto Presidente, Gobernador e Intendente	politica	Si las elecciones primarias PASO fuesen este domingo a cuál de las siguientes listas de Presidente, gobernador e Intendente votaría…	Intención de voto por fórmulas a Presidente, Gobernador e Intendente en elecciones PASO
P08_imputadas	Intención de voto Presidente, Gobernador e Intendente	politica	Si las elecciones primarias PASO fuesen este domingo a cuál de las siguientes listas de Presidente, gobernador e Intendente votaría…	Intención de voto por fórmulas a Presidente, Gobernador e Intendente en elecciones PASO	(Imputación no lineal de indecisos)
P11	Intención de voto Presidente, Gobernador e Intendente	politica	Podría usted decirnos cuán seguro está de sus preferencias de voto a presidente, gobernador e Intendente en las próximas elecciones primarias PASO.	Nivel de seguridad sobre preferencias electorales de cara a las PASO
P12	Intención de voto Presidente, Gobernador e Intendente	quali	Y podría decirnos entonces si usted:	Nivel decisión sobre ir a votar o no
P13	Intención de voto Presidente, Gobernador e Intendente	politica	Podría Ud. indicar de entre los siguientes candidatos a Intendente a cual preferiría usted votar…. 	Intención de voto por candidatos a Intendente
P13_imputadas	Intención de voto Presidente, Gobernador e Intendente	politica	Podría Ud. indicar de entre los siguientes candidatos a Intendente a cual preferiría usted votar…. 	Intención de voto por candidatos a Intendente	(Imputación no lineal de indecisos)
P16	Reach de intención de voto	votaria	Votaría usted a Fernando Espinoza como candidato a Intendente…	Intención de voto por Fernando Espinoza para Intendente
P17	Reach de intención de voto	votaria	Votaría usted a Patricia Cubria como candidato a Intendente…	Intención de voto por Patricia Cubria para Intendente
P18	Reach de intención de voto	votaria	Votaría usted a María Laura Ramírez como candidato a Intendente…	Intención de voto por María Laura Ramírez para Intendente
P19	Reach de intención de voto	votaria	Votaría usted a Eduardo “Lalo” Creus como candidato a Intendente…	Intención de voto por Eduardo “Lalo” Creus para Intendente
P20	Reach de intención de voto	votaria	Votaría usted a Josefina Mendoza como candidato a Intendente…	Intención de voto por Josefina Mendoza para Intendente
P21	Reach de intención de voto	votaria	Votaría usted a Hector “Toty” Flores como candidato a Intendente…	Intención de voto por Hector “Toty” Flores para Intendente
P22	Reach de intención de voto	votaria	Votaría usted a Adrián “El Dipy” Martínez como candidato a Intendente…	Intención de voto por Adrián “El Dipy” Martínez para Intendente
P23	Reach de intención de voto	votaria	Votaría usted a Alberto Samid como candidato a Intendente…	Intención de voto por Alberto Samid para Intendente
P24	Control	sino	Nos gustaría volver a contactarlo para otras encuestas que se realizan de manera online. La misma se la enviaremos a través de un enlace por mensaje de texto a su celular ¿Está interesado en realizarla?  	Interés en próximas encuestas
