"var","categoria","Dos dosis","Tres dosis","Cuatros o mas dosis"
"P04","Gran excedente habitual",0.268,0.312,0.135
"P04","Gran excedente excepcional",0.177,0.113,0.178
"P04","Pequeño excedente habitual",0.087,0.068,0.147
"P04","Pequeño excedente excepcional",0.128,0.188,0.2
"P04","Alcanza gastos familia",0.099,0.057,0.111
"P04","No alcanza gastos familia",0.105,0.073,0.085
"P04","Solo NBFamiliares",0.073,0.047,0.04
"P04","No alcanza NBFamiliares",0.025,0.109,0.045
"P04","No sabe",0.038,0.033,0.059
"P06","Menos de 5 años ",0.417,0.2,0.128
"P06","Entre 6 y 10 años",0.187,0.437,0.182
"P06","Entre 11 y 20 años",0.103,0.188,0.277
"P06","Mas de 20 años",0.293,0.175,0.413
"P07","Medico clínico",0.532,0.395,0.508
"P07","Pediatra",0.219,0.299,0.161
"P07","Cardiólogo",0.08,0.117,0.135
"P07","Neumólogos",0.136,0.14,0.144
"P07","Otra especialidad",0.033,0.049,0.052
"P08","En una institución pública",0.575,0.465,0.421
"P08","En una institución privada",0.219,0.327,0.234
"P08","Ambas",0.109,0.121,0.202
"P08","Solo consultorio",0.051,0.054,0.086
"P08","Institución publica o privada y consultorio",0.046,0.033,0.057
"P09","Si",0.826,0.798,0.935
"P09","No",0.174,0.202,0.065
"P10","1 dosis",0.487,0.012,0.033
"P10","2 dosis.",0.072,0.151,0.029
"P10","3 dosis o más",0.441,0.837,0.938
"P11","Si",0.661,0.588,0.676
"P11","No",0.339,0.412,0.324
"P12","Para protegerse de la enfermedad",0.703,0.429,0.61
"P12","Porque soy personal de riesgo",0.262,0.49,0.332
"P12","Porque colegas se vacunaron",0.014,0.014,0.023
"P12","Me lo recomendó la institución donde trabajo",0,0.059,0.03
"P12","No sabe",0.021,0.008,0.005
"P13","Si",0.55,0.381,0.297
"P13","No",0.45,0.619,0.703
"P14","Si",0.861,0.651,0.574
"P14","No",0.139,0.349,0.426
"P18","Si",0.655,0.714,0.34
"P18","No",0.332,0.249,0.57
"P18","No sabe",0.013,0.037,0.09
"P19","Si",0.595,0.515,0.749
"P19","No",0.353,0.416,0.206
"P19","No sabe",0.052,0.069,0.045
"P20","Si",0.736,0.727,0.72
"P20","No",0.184,0.202,0.25
"P20","No sabe",0.08,0.071,0.03
"P21","Si",0.678,0.55,0.645
"P21","No",0.217,0.394,0.267
"P21","No sabe",0.105,0.056,0.088
"P22","Sinopharm",0.327,0.159,0.09
"P22","Sputnik",0.36,0.461,0.37
"P22","Aztra-Zeneca",0.035,0.078,0.102
"P22","Moderna",0.04,0.098,0.109
"P22","Pfizer",0.16,0.161,0.234
"P22","No sabe",0.078,0.043,0.095
"P23","Si",0.759,0.817,0.865
"P23","No",0.219,0.12,0.1
"P23","A veces",0.022,0.063,0.035
"P24","Si",0.749,0.713,0.824
"P24","No",0.194,0.229,0.138
"P24","No sabe",0.057,0.058,0.038
"P25","Si",0.723,0.675,0.796
"P25","No",0.204,0.303,0.141
"P25","No sabe",0.073,0.022,0.063
"P26","Si",0.68,0.625,0.623
"P26","No",0.264,0.365,0.345
"P26","No sabe",0.056,0.01,0.032
"P27","Si",0.747,0.615,0.656
"P27","No",0.24,0.373,0.305
"P27","No sabe",0.013,0.012,0.039
"P28","Si",0.69,0.62,0.443
"P28","No",0.297,0.28,0.464
"P28","No sabe",0.013,0.1,0.093
"P29","Si",0.811,0.622,0.866
"P29","No",0.163,0.358,0.106
"P29","No sabe",0.026,0.02,0.028
"P30","No tengo información suficiente",0.126,0.744,0.376
"P30","No tengo tiempo en la consulta",0.331,0.128,0.222
"P30","No es un tema importante en la consulta médica",0.048,0.044,0.202
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0,0,0.059
"P30","No sabe",0.495,0.084,0.141
"P31","Nunca",0.449,0.116,0.153
"P31","Pocas veces",0.3,0.716,0.478
"P31","Muchas veces",0.169,0.162,0.319
"P31","Siempre",0,0.006,0.044
"P31","No sabe",0.082,0,0.006
"P32","adultos mayores sanos",0.478,0.535,0.524
"P32","Adultos jóvenes sanos",0.238,0.346,0.239
"P32","Madres de niños pequeños",0.201,0.057,0.151
"P32","No sabe",0.083,0.062,0.086
