"var","categoria","Si","No","No sabe"
"P04","Gran excedente habitual",0.157,0.223,0.087
"P04","Gran excedente excepcional",0.154,0.179,0.233
"P04","Pequeño excedente habitual",0.108,0.16,0.194
"P04","Pequeño excedente excepcional",0.203,0.134,0.189
"P04","Alcanza gastos familia",0.129,0.055,0.054
"P04","No alcanza gastos familia",0.1,0.078,0.093
"P04","Solo NBFamiliares",0.055,0.051,0.071
"P04","No alcanza NBFamiliares",0.042,0.081,0.039
"P04","No sabe",0.052,0.039,0.04
"P06","Menos de 5 años ",0.221,0.238,0.174
"P06","Entre 6 y 10 años",0.168,0.257,0.143
"P06","Entre 11 y 20 años",0.237,0.236,0.259
"P06","Mas de 20 años",0.374,0.269,0.424
"P07","Medico clínico",0.499,0.411,0.286
"P07","Pediatra",0.152,0.163,0.264
"P07","Cardiólogo",0.158,0.199,0.217
"P07","Neumólogos",0.152,0.185,0.18
"P07","Otra especialidad",0.039,0.042,0.053
"P08","En una institución pública",0.407,0.376,0.143
"P08","En una institución privada",0.222,0.289,0.372
"P08","Ambas",0.225,0.205,0.32
"P08","Solo consultorio",0.09,0.076,0.127
"P08","Institución publica o privada y consultorio",0.056,0.054,0.038
"P09","Si",0.901,0.614,0.883
"P09","No",0.099,0.386,0.117
"P10","1 dosis",0.121,0.171,0.082
"P10","2 dosis.",0.039,0.189,0.102
"P10","3 dosis o más",0.84,0.64,0.816
"P11","Si",0.596,0.356,0.602
"P11","No",0.404,0.644,0.398
"P12","Para protegerse de la enfermedad",0.562,0.351,0.363
"P12","Porque soy personal de riesgo",0.399,0.398,0.429
"P12","Porque colegas se vacunaron",0.01,0.063,0.017
"P12","Me lo recomendó la institución donde trabajo",0.022,0.125,0.126
"P12","No sabe",0.007,0.063,0.065
"P13","Si",0.301,0.419,0.445
"P13","No",0.699,0.581,0.555
"P14","Si",0.571,0.67,0.538
"P14","No",0.429,0.33,0.462
"P15","Si, a todos sus pacientes",0.62,0.249,0.364
"P15","Depende el caso del paciente",0.362,0.422,0.545
"P15","No la recomiendo",0.018,0.329,0.091
"P16","Dos dosis",0.155,0.203,0.218
"P16","Tres dosis",0.1,0.162,0.15
"P16","Cuatros o mas dosis",0.745,0.635,0.632
"P17","Porque ya no hay casos de COVID",0.049,0.102,0.067
"P17","Porque ha disminuido de forma significativa el contagio",0.371,0.212,0.17
"P17","Por los efectos secundarios",0.259,0.545,0.342
"P17","No sabe",0.321,0.141,0.421
"P18","Si",0.366,0.413,0.39
"P18","No",0.55,0.4,0.274
"P18","No sabe",0.084,0.187,0.336
"P19","Si",0.623,0.233,0.49
"P19","No",0.324,0.71,0.346
"P19","No sabe",0.053,0.057,0.164
"P20","Si",0.755,0.431,0.611
"P20","No",0.216,0.488,0.175
"P20","No sabe",0.029,0.081,0.214
"P21","Si",0.614,0.254,0.383
"P21","No",0.289,0.692,0.327
"P21","No sabe",0.097,0.054,0.29
"P22","Sinopharm",0.122,0.105,0.05
"P22","Sputnik",0.356,0.34,0.274
"P22","Aztra-Zeneca",0.107,0.081,0.052
"P22","Moderna",0.095,0.053,0.105
"P22","Pfizer",0.224,0.163,0.333
"P22","No sabe",0.096,0.258,0.186
"P23","Si",0.82,0.309,0.32
"P23","No",0.144,0.626,0.153
"P23","A veces",0.036,0.065,0.527
"P25","Si",0.819,0.264,0.49
"P25","No",0.108,0.698,0.232
"P25","No sabe",0.073,0.038,0.278
"P26","Si",0.619,0.322,0.368
"P26","No",0.337,0.652,0.554
"P26","No sabe",0.044,0.026,0.078
"P27","Si",0.633,0.448,0.304
"P27","No",0.333,0.51,0.514
"P27","No sabe",0.034,0.042,0.182
"P28","Si",0.473,0.38,0.312
"P28","No",0.435,0.464,0.227
"P28","No sabe",0.092,0.156,0.461
"P29","Si",0.784,0.543,0.638
"P29","No",0.176,0.423,0.237
"P29","No sabe",0.04,0.034,0.125
"P30","No tengo información suficiente",0.376,0.219,0.398
"P30","No tengo tiempo en la consulta",0.253,0.335,0.068
"P30","No es un tema importante en la consulta médica",0.136,0.253,0.313
"P30","El COVID no es una enfermedad prevalente o importante actualmente en Argentina",0.012,0.126,0
"P30","No sabe",0.223,0.067,0.221
"P31","Nunca",0.209,0.308,0.114
"P31","Pocas veces",0.466,0.443,0.661
"P31","Muchas veces",0.276,0.183,0.163
"P31","Siempre",0.024,0.056,0.022
"P31","No sabe",0.025,0.01,0.04
"P32","adultos mayores sanos",0.499,0.385,0.393
"P32","Adultos jóvenes sanos",0.235,0.252,0.217
"P32","Madres de niños pequeños",0.169,0.162,0.215
"P32","No sabe",0.097,0.201,0.175
