"var","categoria","Del Frente de Todos y el peronismo","De Juntos por el cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P11","Alfredo Cornejo por Cambia Mendoza",0.068,0.581,0.253,0.009,0.125
"P11","Luis Petri por Cambia Mendoza",0.029,0.211,0.134,0.057,0.106
"P11","Omar De Marchi por La Unión Mendocina",0.14,0.101,0.301,0.14,0.119
"P11","Omar Parisi por Elegí Mendoza",0.313,0.024,0.001,0.007,0.015
"P11","Guillermo Carmona por Elegí Mendoza",0.214,0.017,0.041,0.044,0.046
"P11","Nicolás Guillén por Elegí Mendoza",0.017,0.012,0.021,0.017,0
"P11","Alfredo Guevara por Elegí Mendoza",0.066,0.009,0.011,0.139,0.022
"P11","Lautaro Giménez por el Frente de Izquierda",0.019,0.005,0.002,0.504,0.014
"P11","Victor da Vila por el Frente de Izquierda",0.003,0,0.013,0.06,0.017
"P11","No sabe",0.131,0.04,0.223,0.023,0.536
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.106,0.454,0.191,0.123,0.154
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.02,0.328,0.284,0.061,0.175
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.223,0.121,0.219,0.007,0.141
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.296,0.035,0.058,0.063,0.074
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.184,0.009,0.02,0.045,0.036
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.02,0.011,0.045,0,0.052
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.042,0.013,0.013,0.131,0.012
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0.012,0.006,0.003,0.347,0
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0.001,0.006,0.015,0.087,0.014
"P14","No sabe",0.096,0.017,0.152,0.136,0.342
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.051,0.517,0.16,0.023,0.114
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.027,0.148,0.091,0.059,0.122
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.05,0.129,0.54,0.132,0.23
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.492,0.027,0.006,0.102,0.098
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.208,0.01,0.017,0.047,0.056
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.042,0.008,0.014,0.1,0
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.07,0.14,0.043,0.02,0.034
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.011,0.001,0.003,0.38,0.006
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0,0,0.009,0.008,0.014
"P17","No sabe",0.049,0.02,0.117,0.129,0.326
"P20","Lo votaría",0.094,0.691,0.266,0.128,0.171
"P20","Puede que lo vote",0.083,0.169,0.157,0.058,0.155
"P20","Nunca lo votaría",0.76,0.099,0.426,0.669,0.41
"P20","No sabe",0.063,0.041,0.151,0.145,0.264
"P21","Lo votaría",0.079,0.333,0.166,0.086,0.129
"P21","Puede que lo vote",0.097,0.3,0.208,0.126,0.227
"P21","Nunca lo votaría",0.65,0.278,0.434,0.702,0.31
