"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P08","Del Frente de Todos y el peronismo",0.784,0.523,0.219,0.099,0.151,0.137
"P08","De Juntos por el cambio",0.065,0.129,0.329,0.47,0.466,0.332
"P08","De los Liberales libertarios",0.118,0.136,0.26,0.344,0.256,0.281
"P08","De la Izquierda",0.006,0,0.015,0.015,0.057,0
"P08","No sabe",0.027,0.212,0.177,0.072,0.07,0.25
"P09","A Sergio Massa",0.207,0.201,0.426,0.513,0.169,0.206
"P09","A Daniel Scioli",0.157,0.078,0.164,0.099,0.083,0
"P09","A algún candidato del peronismo",0.074,0.08,0.162,0.156,0.048,0.268
"P09","A algún candidato del kirchnerismo",0.562,0.641,0.248,0.232,0.7,0.526
"P10","A Horacio Rodriguez Larreta",0,0.218,0.145,0.164,0.109,0.265
"P10","A Patricia Bullrich",0.711,0.597,0.782,0.663,0.772,0.629
"P10","A Facundo Manes",0.123,0.185,0.027,0.06,0.041,0.031
"P10","A Gerardo Morales",0.166,0,0.046,0.113,0.078,0.075
"P11","Alfredo Cornejo por Cambia Mendoza",0.041,0.125,0.29,0.437,0.384,0.208
"P11","Luis Petri por Cambia Mendoza",0.018,0.072,0.191,0.149,0.13,0.166
"P11","Omar De Marchi por La Unión Mendocina",0.137,0.155,0.182,0.203,0.173,0.096
"P11","Omar Parisi por Elegí Mendoza",0.591,0.24,0.023,0.024,0.046,0.018
"P11","Guillermo Carmona por Elegí Mendoza",0.077,0.153,0.111,0.062,0.067,0.057
"P11","Nicolás Guillén por Elegí Mendoza",0,0.033,0.007,0.018,0.027,0.032
"P11","Alfredo Guevara por Elegí Mendoza",0.053,0.097,0.031,0.017,0.01,0.013
"P11","Lautaro Giménez por el Frente de Izquierda",0,0.003,0.014,0.002,0.019,0.002
"P11","Victor da Vila por el Frente de Izquierda",0.045,0.013,0.011,0,0.02,0.017
"P11","No sabe",0.038,0.109,0.14,0.088,0.124,0.391
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.085,0.109,0.249,0.302,0.22,0.318
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.034,0.171,0.245,0.307,0.251,0.223
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.329,0.251,0.226,0.173,0.146,0.076
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.429,0.216,0.059,0.035,0.134,0.069
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.102,0.089,0.079,0.057,0.056,0.025
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.01,0.071,0.018,0.037,0.032,0.003
