"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P08","Del Frente de Todos y el peronismo",0.512,0.255,0.15,0.262
"P08","De Juntos por el cambio",0.157,0.296,0.412,0.366
"P08","De los Liberales libertarios",0.184,0.236,0.342,0.209
"P08","De la Izquierda",0.035,0.023,0.029,0.006
"P08","No sabe",0.112,0.19,0.067,0.157
"P09","A Sergio Massa",0.096,0.411,0.16,0.295
"P09","A Daniel Scioli",0.202,0.043,0.194,0.091
"P09","A algún candidato del peronismo",0.075,0.128,0.145,0.099
"P09","A algún candidato del kirchnerismo",0.627,0.418,0.501,0.515
"P10","A Horacio Rodriguez Larreta",0,0.145,0.154,0.174
"P10","A Patricia Bullrich",0.923,0.795,0.739,0.696
"P10","A Facundo Manes",0,0.054,0.031,0.075
"P10","A Gerardo Morales",0.077,0.006,0.076,0.055
"P11","Alfredo Cornejo por Cambia Mendoza",0.272,0.247,0.332,0.292
"P11","Luis Petri por Cambia Mendoza",0,0.17,0.155,0.163
"P11","Omar De Marchi por La Unión Mendocina",0.239,0.171,0.199,0.144
"P11","Omar Parisi por Elegí Mendoza",0.133,0.092,0.055,0.093
"P11","Guillermo Carmona por Elegí Mendoza",0.066,0.104,0.08,0.078
"P11","Nicolás Guillén por Elegí Mendoza",0.095,0.01,0.02,0.006
"P11","Alfredo Guevara por Elegí Mendoza",0.088,0.029,0.011,0.039
"P11","Lautaro Giménez por el Frente de Izquierda",0,0.007,0.012,0.003
"P11","Victor da Vila por el Frente de Izquierda",0.008,0.009,0.028,0.001
"P11","No sabe",0.099,0.161,0.108,0.181
"P14","Alfredo Cornejo a gobernador y Hebe Casado a vicegobernadora por Cambia Mendoza",0.11,0.242,0.203,0.261
"P14","Luis Petri a gobernador y Patricia Giménez a vicegobernadora por Cambia Mendoza",0.164,0.246,0.257,0.223
"P14","Omar De Marchi a gobernador y Daniel Orozco a vicegobernador por “La Unión Mendocina”",0.154,0.241,0.171,0.192
"P14","Omar Parisi a gobernador y Lucas Ilardo a vicegobernador por Elegí Mendoza",0.189,0.105,0.135,0.081
"P14","Guillermo Carmona a gobernador y Liliana Paponet a vicegobernadora por Elegí Mendoza",0.025,0.066,0.078,0.066
"P14","Nicolás Guillén a gobernador y Lorena Martin a vicegobernadora por Elegí Mendoza",0.311,0.009,0.015,0.011
"P14","Alfredo Guevara a gobernador y Patricia Galván a vicegobernadora por Elegí Mendoza",0.047,0.029,0.011,0.021
"P14","Lautaro Giménez a gobernador y Noelia Barbeito a vicegobernadora por el Frente de Izquierda",0,0.011,0.009,0.002
"P14","Victor da Vila a gobernador y Nadya Ortiz Gazzo a vicegobernadora por el Frente de Izquierda",0,0.011,0.015,0.002
"P14","No sabe",0,0.04,0.106,0.141
"P17","Alfredo Cornejo por Cambia Mendoza con el apoyo de Patricia Bullrich, Horacio Rodríguez Larreta, Mauricio Macri y una parte de la UCR",0.159,0.229,0.257,0.251
"P17","Luis Petri por Cambia Mendoza con el apoyo de Julio Cobos y una parte de la UCR",0.091,0.144,0.114,0.118
"P17","Omar De Marchi por La Unión Mendocina con el apoyo de una parte del PRO y de Javier Milei",0.14,0.211,0.257,0.244
"P17","Omar Parisi por Elegí Mendoza con el apoyo de Anabel Fernández Sagasti y una parte del kirchnerismo",0.353,0.149,0.122,0.133
"P17","Guillermo Carmona por Elegí Mendoza con el apoyo de Emir y Omar Félix, y una parte del PJ",0.055,0.091,0.06,0.079
"P17","Nicolás Guillén por Elegí Mendoza con el apoyo de la Corriente Clasista y Combativa, y los movimientos sociales",0.101,0.023,0.006,0.001
"P17","Alfredo Guevara por Elegí Mendoza con el apoyo de una parte del kirchnerismo",0.08,0.064,0.068,0.07
"P17","Lautaro Giménez por el Frente de Izquierda con el apoyo de Nicolás Del Caño, Myriam Bregman, el Partido Socialista de los Trabajadores y el Movimiento Socialista de los Trabajadores",0.021,0.011,0.022,0.004
"P17","Victor da Vila por el Frente de Izquierda con el apoyo de Gabriel Solano, Romina Del Plá y el Partido Obrero",0,0,0.012,0.005
"P17","No sabe",0,0.078,0.082,0.095
"P20","Lo votaría",0.209,0.336,0.39,0.367
"P20","Puede que lo vote",0.173,0.12,0.075,0.144
"P20","Nunca lo votaría",0.494,0.455,0.454,0.369
"P20","No sabe",0.124,0.089,0.081,0.12
"P21","Lo votaría",0.174,0.213,0.258,0.199
"P21","Puede que lo vote",0.086,0.235,0.163,0.268
"P21","Nunca lo votaría",0.625,0.414,0.49,0.332
"P21","No sabe",0.115,0.138,0.089,0.201
"P22","Lo votaría",0.257,0.195,0.187,0.136
"P22","Puede que lo vote",0.131,0.208,0.137,0.216
"P22","Nunca lo votaría",0.475,0.472,0.585,0.425
"P22","No sabe",0.137,0.125,0.091,0.223
"P23","Lo votaría",0.333,0.11,0.08,0.103
"P23","Puede que lo vote",0.117,0.151,0.059,0.136
"P23","Nunca lo votaría",0.402,0.58,0.777,0.509
"P23","No sabe",0.148,0.159,0.084,0.252
"P24","Lo votaría",0.198,0.124,0.066,0.088
"P24","Puede que lo vote",0.242,0.112,0.04,0.174
"P24","Nunca lo votaría",0.417,0.601,0.803,0.516
"P24","No sabe",0.143,0.163,0.091,0.222
"P25","Lo votaría",0.318,0.03,0,0.007
"P25","Puede que lo vote",0.205,0.08,0.041,0.075
"P25","Nunca lo votaría",0.337,0.661,0.893,0.59
"P25","No sabe",0.14,0.229,0.066,0.328
"P26","Lo votaría",0.17,0.029,0.008,0.024
"P26","Puede que lo vote",0.278,0.096,0.028,0.075
"P26","Nunca lo votaría",0.404,0.676,0.874,0.589
"P26","No sabe",0.148,0.199,0.09,0.312
"P27","Lo votaría",0.077,0.016,0.014,0.005
"P27","Puede que lo vote",0.138,0.075,0.019,0.074
"P27","Nunca lo votaría",0.624,0.666,0.863,0.574
"P27","No sabe",0.161,0.243,0.104,0.347
"P28","Lo votaría",0.123,0.003,0.012,0.003
"P28","Puede que lo vote",0.18,0.041,0.026,0.049
"P28","Nunca lo votaría",0.498,0.734,0.86,0.595
"P28","No sabe",0.199,0.222,0.102,0.353
"P29","La votaría",0.269,0.071,0.188,0.08
"P29","Puede que la vote",0.237,0.108,0.094,0.101
"P29","Nunca la votaría",0.391,0.562,0.604,0.419
"P29","No sabe",0.103,0.259,0.114,0.4
"P30","La votaría",0.133,0.064,0.112,0.045
"P30","Puede que la vote",0.151,0.115,0.105,0.116
"P30","Nunca la votaría",0.626,0.534,0.671,0.364
"P30","No sabe",0.09,0.287,0.112,0.475
"P31","Lo votaría",0.059,0.133,0.132,0.063
"P31","Puede que lo vote",0.272,0.139,0.066,0.187
"P31","Nunca lo votaría",0.502,0.546,0.703,0.433
"P31","No sabe",0.167,0.182,0.099,0.317
"P32","Lo votaría",0.257,0.073,0.056,0.088
"P32","Puede que lo vote",0.119,0.101,0.05,0.112
"P32","Nunca lo votaría",0.509,0.578,0.811,0.472
"P32","No sabe",0.115,0.248,0.083,0.328
"P33","La votaría",0.191,0.043,0.043,0.036
"P33","Puede que la vote",0.2,0.105,0.043,0.065
"P33","Nunca la votaría",0.448,0.583,0.816,0.427
"P33","No sabe",0.161,0.269,0.098,0.472
"P34","La votaría",0.479,0.023,0.002,0.004
"P34","Puede que la vote",0.31,0.061,0.006,0.027
"P34","Nunca la votaría",0.149,0.606,0.876,0.415
"P34","No sabe",0.062,0.31,0.116,0.554
"P35","La votaría",0.112,0.022,0.007,0.018
"P35","Puede que la vote",0.243,0.116,0.01,0.033
"P35","Nunca la votaría",0.446,0.573,0.848,0.402
"P35","No sabe",0.199,0.289,0.135,0.547
"P36","La votaría",0.156,0.077,0.015,0.027
"P36","Puede que la vote",0.21,0.085,0.028,0.114
"P36","Nunca la votaría",0.478,0.638,0.893,0.589
"P36","No sabe",0.156,0.2,0.064,0.27
"P37","La votaría",0.07,0,0.004,0.01
"P37","Puede que la vote",0.19,0.025,0.028,0.026
"P37","Nunca la votaría",0.514,0.673,0.871,0.48
"P37","No sabe",0.226,0.302,0.097,0.484
"P38","Positiva",0.345,0.377,0.408,0.383
"P38","Neutra",0.065,0.224,0.165,0.165
"P38","Negativa",0.59,0.395,0.427,0.388
"P38","No sabe",0,0.004,0,0.064
"P39","Positiva",0.188,0.419,0.402,0.403
"P39","Neutra",0.457,0.372,0.219,0.24
"P39","Negativa",0.348,0.167,0.364,0.171
"P39","No sabe",0.007,0.042,0.015,0.186
"P40","Positiva",0.404,0.364,0.25,0.276
"P40","Neutra",0.269,0.366,0.211,0.299
"P40","Negativa",0.327,0.235,0.527,0.27
"P40","No sabe",0,0.035,0.012,0.155
"P41","Positiva",0.474,0.174,0.084,0.179
"P41","Neutra",0.242,0.555,0.153,0.245
"P41","Negativa",0.284,0.226,0.747,0.244
"P41","No sabe",0,0.045,0.016,0.332
"P42","Positiva",0.592,0.209,0.074,0.193
"P42","Neutra",0.269,0.465,0.111,0.163
"P42","Negativa",0.139,0.272,0.809,0.367
"P42","No sabe",0,0.054,0.006,0.277
"P43","Positiva",0.584,0.054,0.023,0.039
"P43","Neutra",0.278,0.648,0.107,0.234
"P43","Negativa",0.138,0.187,0.845,0.105
"P43","No sabe",0,0.111,0.025,0.622
"P44","Positiva",0.366,0.075,0.049,0.074
"P44","Neutra",0.348,0.622,0.076,0.131
"P44","Negativa",0.286,0.208,0.849,0.158
"P44","No sabe",0,0.095,0.026,0.637
"P45","Positiva",0.295,0.053,0.018,0.076
"P45","Neutra",0.378,0.681,0.11,0.115
"P45","Negativa",0.327,0.182,0.834,0.123
"P45","No sabe",0,0.084,0.038,0.686
"P46","Positiva",0.259,0.024,0.037,0.021
"P46","Neutra",0.45,0.72,0.096,0.096
"P46","Negativa",0.278,0.16,0.818,0.052
"P46","No sabe",0.013,0.096,0.049,0.831
"P47","Positiva",0.368,0.13,0.162,0.124
"P47","Neutra",0.267,0.653,0.116,0.116
"P47","Negativa",0.349,0.162,0.683,0.135
"P47","No sabe",0.016,0.055,0.039,0.625
"P48","Positiva",0.2,0.086,0.104,0.05
"P48","Neutra",0.452,0.72,0.145,0.158
"P48","Negativa",0.34,0.126,0.699,0.052
"P48","No sabe",0.008,0.068,0.052,0.74
"P49","Positiva",0.22,0.188,0.17,0.169
"P49","Neutra",0.425,0.565,0.132,0.164
"P49","Negativa",0.355,0.22,0.676,0.21
"P49","No sabe",0,0.027,0.022,0.457
"P50","Positiva",0.383,0.159,0.081,0.162
"P50","Neutra",0.366,0.554,0.053,0.083
"P50","Negativa",0.251,0.238,0.84,0.234
"P50","No sabe",0,0.049,0.026,0.521
"P51","Positiva",0.395,0.112,0.067,0.068
"P51","Neutra",0.476,0.756,0.049,0.089
"P51","Negativa",0.129,0.08,0.874,0.081
"P51","No sabe",0,0.052,0.01,0.762
"P53","Positiva",0.559,0.032,0.027,0.01
"P53","Neutra",0.16,0.89,0.074,0.034
"P53","Negativa",0.272,0.034,0.855,0.035
"P53","No sabe",0.009,0.044,0.044,0.921
"P54","Positiva",0.301,0.166,0.039,0.103
"P54","Neutra",0.313,0.496,0.051,0.138
"P54","Negativa",0.386,0.307,0.896,0.334
"P54","No sabe",0,0.031,0.014,0.425
"P55","Positiva",0.235,0.048,0.012,0.019
"P55","Neutra",0.405,0.754,0.106,0.05
"P55","Negativa",0.293,0.105,0.842,0.053
"P55","No sabe",0.067,0.093,0.04,0.878
"P56","Si",0.437,0.455,0.519,0.564
"P56","No",0.563,0.545,0.481,0.436
