codigo	bloque	paleta	texto	label	aclaracion
P05	Sociodemográfico	muchopoco	Usted diría que la política le importa…	Importancia de la política para el encuestado	
P06	Sociodemográfico	frecuencia	¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas	
P08	Intención de voto	politica	Si las elecciones presidenciales fueran mañana ¿Al candidato de qué espacio político votaría?	Intención de voto a Presidente por espacio político	
P09	Intención de voto	politica	¿Podría indicarnos cuáles serían los candidatos a presidente, gobernador e intendente que usted preferiría votar en las próximas elecciones primarias PASO?	Intención de voto por fórmulas para Presidente, Gobernador e Intendente	
P12	Intención de voto	votaria	Si Sergio Massa fuese candidato a Presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente ud...	Intención de voto por fórmula Massa – Kiciloff – Menéndez	
P13	Intención de voto	votaria	Si Juan Grabois fuese candidato a Presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente ud...	Intención de voto por fórmula Grabois – Kiciloff – Menéndez	
P14	Intención de voto	votaria	Si Patricia Bullrich fuese candidato a Presidenta, Néstor Grindetti a gobernador y Pablo Cocuzza a intendente ud...	Intención de voto por fórmula Bullrich – Grindetti – Cocuzza	
P15	Intención de voto	votaria	Si Horacio Rodriguez Larreta fuese candidato a Presidente, Diego Santilli a gobernador y David Zencich a intendente ud...	Intención de voto por fórmula Larreta – Santilli – Zencich	
P16	Intención de voto	votaria	Si Javier Milei fuese candidato a Presidente, Carolina Piparo a gobernadora y Eduardo Varela a intendente ud...	Intención de voto por fórmula Milei – Píparo – Varela	
P17	Control	sino	Nos gustaría volver a contactarlo para otras encuestas que se realizan de manera online. La misma se la enviaremos a través de un enlace por mensaje de texto a su celular ¿Está interesado en realizarla?  	Control	
