"var","categoria","Axel Kicillof a gobernador por Unión por la Patria","Néstor Grindetti a gobernador por Juntos por el Cambio","Carolina Piparo a gobernadora por la Libertad Avanza","El candidato a gobernador de la Izquierda","En blanco","No sabe"
"P05","Mucho",0.349,0.378,0.401,0.348,0.337,0.35
"P05","Bastante",0.354,0.307,0.303,0.211,0.107,0.087
"P05","Poco",0.244,0.221,0.26,0,0.112,0.214
"P05","Nada",0.053,0.089,0.036,0.203,0.444,0.176
"P05","No sabe",0,0.005,0,0.238,0,0.173
"P06","Siempre",0.248,0.212,0.286,0.013,0.032,0.095
"P06","Casi siempre",0.364,0.298,0.279,0.288,0.284,0.206
"P06","Casi nunca",0.288,0.354,0.238,0.416,0.461,0.575
"P06","Nunca, pero esta es una excepción",0.1,0.136,0.197,0.283,0.223,0.124
"P09","Unión por la Patria",0.571,0.061,0.108,0.117,0,0.116
"P09","Juntos por el Cambio",0.056,0.661,0.189,0,0.076,0.091
"P09","De los Liberales libertarios",0.143,0.21,0.518,0.379,0.148,0.085
"P09","De la Izquierda",0.031,0.019,0.05,0.366,0.28,0.035
"P09","Hacemos por nuestro país",0.033,0.016,0.005,0.013,0.3,0.052
"P09","Otro",0.121,0.018,0.009,0,0,0.077
"P09","En blanco",0.014,0.003,0.071,0.024,0.084,0.037
"P09","No sabe",0.031,0.012,0.05,0.101,0.112,0.507
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.585,0.09,0.116,0.069,0,0.185
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.048,0.58,0.306,0,0.072,0.067
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.086,0.259,0.495,0.14,0.024,0.141
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.152,0.005,0.007,0.287,0.131,0.008
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.027,0.036,0,0.262,0.241,0.035
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.023,0.003,0,0,0.24,0.027
"P12","En blanco",0.007,0.003,0,0.024,0.292,0.208
"P12","No sabe",0.072,0.024,0.076,0.218,0,0.329
"P16","Sergio Massa a presidente por Unión por la Patria",0.763,0.093,0.225,0.066,0.126,0.224
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.052,0.621,0.19,0.101,0.058,0.106
"P16","Javier Milei a presidente por la Libertad Avanza",0.077,0.253,0.579,0.14,0.024,0.176
"P16","Los candidatos a presidente de la Izquierda",0.023,0,0,0.431,0.404,0
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.022,0.003,0,0.262,0.304,0.028
"P16","En blanco",0.011,0.003,0,0,0.084,0.136
"P16","No sabe",0.052,0.027,0.006,0,0,0.33
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.395,0.203,0.184,0.223,0.091,0.183
"P22","Zencich a intendente por Juntos por el Cambio",0.141,0.496,0.376,0,0.092,0.086
"P22","Eduardo Varela a intendente por la Libertad Avanza",0.074,0.113,0.308,0,0,0.013
"P22","Raul Othacehé a intendente por el frente vecinal crecer",0.195,0.117,0.077,0.478,0.145,0.125
"P22","El candidato a intendente de la Izquierda",0.09,0,0.013,0.147,0.009,0
"P22","En blanco",0.042,0.005,0,0.152,0.039,0.076
"P22","No sabe",0.063,0.066,0.042,0,0.624,0.517
"P25","Totalmente seguro",0.569,0.668,0.714,0.49,0.152,0.305
"P25","Bastante seguro",0.199,0.221,0.094,0.017,0.292,0.124
"P25","Algo seguro",0.115,0.037,0.138,0.181,0.061,0.051
"P25","Para nada seguro",0.117,0.074,0.054,0.312,0.495,0.52
"P26","Tiene Decidido que va a ir a votar",0.896,0.932,0.875,0.707,0.481,0.663
"P26","Tiene dudas sobre si va a ir a  votar",0.071,0.045,0.094,0.03,0.261,0.132
"P26","Tiene Decidido que no va a ir a votar",0.033,0.023,0.031,0.263,0.258,0.205
"P27","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.188,0.669,0.703,0.599,0.488,0.341
"P27","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.111,0.179,0.069,0.021,0.09,0.02
"P27","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.414,0.046,0.064,0.012,0.097,0.091
"P27","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.153,0.059,0.125,0.112,0.265,0.083
"P27","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.044,0.02,0,0.256,0.06,0
"P27","No sabe",0.09,0.027,0.039,0,0,0.465
"P28","Lo votaría",0.448,0.139,0.142,0.282,0.024,0.143
"P28","Puede que lo vote",0.29,0.109,0.054,0.412,0.273,0.132
"P28","Nunca lo votaría",0.135,0.734,0.692,0.267,0.703,0.367
"P28","No sabe",0.127,0.018,0.112,0.039,0,0.358
"P29","Lo votaría",0.139,0.67,0.219,0,0.024,0.063
"P29","Puede que lo vote",0.083,0.167,0.33,0.451,0.294,0.022
"P29","Nunca lo votaría",0.666,0.154,0.39,0.535,0.655,0.42
"P29","No sabe",0.112,0.009,0.061,0.014,0.027,0.495
"P30","Lo votaría",0.103,0.237,0.56,0.155,0,0.169
"P30","Puede que lo vote",0.109,0.248,0.174,0.508,0.282,0.058
"P30","Nunca lo votaría",0.719,0.478,0.226,0.323,0.691,0.337
"P30","No sabe",0.069,0.037,0.04,0.014,0.027,0.436
"P31","Lo votaría",0.304,0.214,0.199,0.291,0.157,0.118
"P31","Puede que lo vote",0.112,0.132,0.139,0.322,0,0
"P31","Nunca lo votaría",0.496,0.585,0.554,0.373,0.843,0.467
"P31","No sabe",0.088,0.069,0.108,0.014,0,0.415
"P32","Si",0.487,0.461,0.283,0.211,0.413,0.123
"P32","No",0.513,0.539,0.717,0.789,0.587,0.877
"PRESIDENTE","Sergio Massa a presidente por Unión por la Patria",0.763,0.093,0.225,0.066,0.126,0.224
"PRESIDENTE","Patricia Bullrich a presidenta por Juntos por el Cambio",0.052,0.621,0.19,0.101,0.058,0.106
"PRESIDENTE","Javier Milei a presidente por la Libertad Avanza",0.077,0.253,0.579,0.14,0.024,0.176
"PRESIDENTE","Los candidatos a presidente de la Izquierda",0.023,0,0,0.431,0.404,0
"PRESIDENTE","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0.022,0.003,0,0.262,0.304,0.028
"PRESIDENTE","En blanco",0.011,0.003,0,0,0.084,0.136
"PRESIDENTE","No sabe",0.052,0.027,0.006,0,0,0.33
"CORTA_PRESIDENTE","Si",0.366,0.351,0.339,0.638,0.441,0.249
"CORTA_PRESIDENTE","No",0.634,0.649,0.661,0.362,0.559,0.751
"GOBERNADOR","Axel Kicillof a gobernador por Unión por la Patria",1,0,0,0,0,0
"GOBERNADOR","Néstor Grindetti a gobernador por Juntos por el Cambio",0,1,0,0,0,0
"GOBERNADOR","Carolina Piparo a gobernadora por la Libertad Avanza",0,0,1,0,0,0
"GOBERNADOR","El candidato a gobernador de la Izquierda",0,0,0,1,0,0
"GOBERNADOR","En blanco",0,0,0,0,1,0
"GOBERNADOR","No sabe",0,0,0,0,0,1
"CORTA_GOBERNADOR","Si",0.416,0.42,0.505,0.738,0.708,0.671
"CORTA_GOBERNADOR","No",0.584,0.58,0.495,0.262,0.292,0.329
"INTENDENTE","Gustavo Menéndez a intendente por Unión por la Patria",0.395,0.203,0.184,0.223,0.091,0.183
"INTENDENTE","Zencich a intendente por Juntos por el Cambio",0.141,0.496,0.376,0,0.092,0.086
"INTENDENTE","Eduardo Varela a intendente por la Libertad Avanza",0.074,0.113,0.308,0,0,0.013
"INTENDENTE","Raul Othacehé a intendente por el frente vecinal crecer",0.195,0.117,0.077,0.478,0.145,0.125
