"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.416,0.292,0.461,0.24
"P05","Bastante",0.307,0.474,0.285,0.215
"P05","Poco",0.185,0.124,0.161,0.253
"P05","Nada",0.067,0.047,0.077,0.127
"P05","No sabe",0.025,0.063,0.016,0.165
"P06","Siempre",0.274,0.116,0.204,0.135
"P06","Casi siempre",0.303,0.344,0.314,0.277
"P06","Casi nunca",0.271,0.4,0.326,0.479
"P06","Nunca, pero esta es una excepción",0.152,0.14,0.156,0.109
"P09","Unión por la Patria",0.201,0.093,0.485,0.245
"P09","Juntos por el Cambio",0.647,0.157,0.076,0.042
"P09","De los Liberales libertarios",0.095,0.537,0.228,0.326
"P09","De la Izquierda",0.022,0.087,0.082,0.044
"P09","Hacemos por nuestro país",0.017,0.024,0.032,0.003
"P09","Otro",0.008,0.03,0.041,0.064
"P09","En blanco",0,0,0.023,0.058
"P09","No sabe",0.01,0.072,0.033,0.218
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.146,0.08,0.529,0.253
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.683,0.155,0.052,0.034
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.117,0.533,0.267,0.337
"P12","Raul Othacehé a intendente por el frente vecinal crecer",0.026,0.06,0.037,0.049
"P12","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.025,0.086,0.02,0.036
"P12","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.004,0.024,0.003
"P12","En blanco",0,0,0.029,0.069
"P12","No sabe",0.003,0.082,0.042,0.219
"P15","Si",0.552,0.66,0.379,0.529
"P15","No",0.448,0.34,0.621,0.471
"P16","Sergio Massa a presidente por Unión por la Patria",0.248,0.066,0.483,0.511
"P16","Patricia Bullrich a presidenta por Juntos por el Cambio",0.578,0.282,0.08,0.065
"P16","Javier Milei a presidente por la Libertad Avanza",0.154,0.471,0.247,0.163
"P16","Los candidatos a presidente de la Izquierda",0,0.09,0.057,0.006
"P16","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.072,0.056,0.005
"P16","En blanco",0,0,0.028,0.043
"P16","No sabe",0.02,0.019,0.049,0.207
"P19","Axel Kicillof a gobernador por Unión por la Patria",0.154,0.155,0.522,0.438
"P19","Néstor Grindetti a gobernador por Juntos por el Cambio",0.676,0.282,0.109,0.032
"P19","Carolina Piparo a gobernadora por la Libertad Avanza",0.153,0.387,0.191,0.15
"P19","El candidato a gobernador de la Izquierda",0,0.093,0.046,0.006
"P19","En blanco",0.004,0.075,0.07,0.014
"P19","No sabe",0.013,0.008,0.062,0.36
"P22","Gustavo Menéndez a intendente por Unión por la Patria",0.234,0.132,0.297,0.369
