"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente por Unión por la Patria",0.146,0.12,0.554,0.351
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y David Zencich a intendente por Juntos por el Cambio",0.686,0.155,0.06,0.08
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Eduardo Varela a intendente por la Libertad Avanza",0.117,0.573,0.271,0.351
"P12_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.026,0.061,0.037,0.049
"P12_imputada","Los candidatos a presidente, gobernador e intendente de la Izquierda",0.025,0.086,0.025,0.041
"P12_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.004,0.024,0.003
"P12_imputada","En blanco",0,0.001,0.029,0.125
"P16_imputada","Sergio Massa a presidente por Unión por la Patria",0.248,0.079,0.52,0.557
"P16_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.598,0.284,0.086,0.085
"P16_imputada","Javier Milei a presidente por la Libertad Avanza",0.154,0.472,0.249,0.183
"P16_imputada","Los candidatos a presidente de la Izquierda",0,0.09,0.057,0.127
"P16_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.075,0.056,0.005
"P16_imputada","En blanco",0,0,0.032,0.043
"P19_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.154,0.155,0.543,0.545
"P19_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.69,0.288,0.109,0.185
"P19_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.152,0.39,0.232,0.221
"P19_imputada","El candidato a gobernador de la Izquierda",0,0.092,0.046,0.035
"P19_imputada","En blanco",0.004,0.075,0.07,0.014
"P22_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.265,0.164,0.329,0.444
"P22_imputada","Zencich a intendente por Juntos por el Cambio",0.56,0.317,0.13,0.202
"P22_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.053,0.266,0.178,0.049
"P22_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.112,0.167,0.206,0.278
"P22_imputada","El candidato a intendente de la Izquierda",0,0.086,0.079,0.021
"P22_imputada","En blanco",0.01,0,0.078,0.006
"PRESIDENTE_imputada","Sergio Massa a presidente por Unión por la Patria",0.226,0.123,0.564,0.412
"PRESIDENTE_imputada","Patricia Bullrich a presidenta por Juntos por el Cambio",0.659,0.195,0.074,0.047
"PRESIDENTE_imputada","Javier Milei a presidente por la Libertad Avanza",0.115,0.546,0.281,0.372
"PRESIDENTE_imputada","Los candidatos a presidente de la Izquierda",0,0.086,0.034,0.086
"PRESIDENTE_imputada","Juan Schiaretti a presidente por Hacemos por Nuestro Pais",0,0.05,0.026,0.003
"PRESIDENTE_imputada","En blanco",0,0,0.021,0.08
"GOBERNADOR_imputada","Axel Kicillof a gobernador por Unión por la Patria",0.166,0.166,0.571,0.407
"GOBERNADOR_imputada","Néstor Grindetti a gobernador por Juntos por el Cambio",0.707,0.194,0.082,0.094
"GOBERNADOR_imputada","Carolina Piparo a gobernadora por la Libertad Avanza",0.125,0.496,0.276,0.394
"GOBERNADOR_imputada","El candidato a gobernador de la Izquierda",0,0.097,0.03,0.036
"GOBERNADOR_imputada","En blanco",0.002,0.047,0.041,0.069
"INTENDENTE_imputada","Gustavo Menéndez a intendente por Unión por la Patria",0.226,0.167,0.492,0.35
"INTENDENTE_imputada","Zencich a intendente por Juntos por el Cambio",0.636,0.224,0.092,0.125
"INTENDENTE_imputada","Eduardo Varela a intendente por la Libertad Avanza",0.068,0.411,0.254,0.29
"INTENDENTE_imputada","Raul Othacehé a intendente por el frente vecinal crecer",0.065,0.114,0.079,0.143
"INTENDENTE_imputada","El candidato a intendente de la Izquierda",0,0.084,0.043,0.032
"INTENDENTE_imputada","En blanco",0.005,0,0.04,0.06
