codigo	bloque	paleta	texto	label	aclaracion
P05	Control	muchopoco	¿Cuánto diría usted que le importa la política?	Opinión sobre la importancia de la política	
P06	Control	frecuencia	¿Cuán frecuente es que usted responda encuestas?	Frecuencia de respuesta de encuestas	
P09	Escenarios de votación	politica	Si las elecciones presidenciales fueran mañana ¿Al candidato de qué espacio político votaría?	Intención de voto a Presidente por espacio político	
P12	Escenarios de votación	politica	Pensando en las próximas elecciones de primera vuelta a presidente y generales a gobernador e intendente a que candidatos preferiría votar?	Intención de voto a Presidente, Gobernador e Intendente	
P12_imputada	Escenarios de votación	politica	Pensando en las próximas elecciones de primera vuelta a presidente y generales a gobernador e intendente a que candidatos preferiría votar?	Intención de voto a Presidente, Gobernador e Intendente	(Imputación no lineal de indecisos)
P15	Escenarios de votación	sino	Usted estaría dispuesto a cortar boleta?...	Intención de corte de boleta	
PRESIDENTE	Escenarios de votación		Intención de voto a Presidente considerando corte de boleta	Intención de voto a Presidente considerando corte de boleta	
PRESIDENTE_imputada	Escenarios de votación		Intención de voto a Presidente considerando corte de boleta	Intención de voto a Presidente considerando corte de boleta	(Imputación no lineal de indecisos)
GOBERNADOR	Escenarios de votación		Intención de voto a Gobernador considerando corte de boleta	Intención de voto a Gobernador considerando corte de boleta	
GOBERNADOR_imputada	Escenarios de votación		Intención de voto a Gobernador considerando corte de boleta	Intención de voto a Gobernador considerando corte de boleta	(Imputación no lineal de indecisos)
INTENDENTE	Escenarios de votación		Intención de voto a Intendente considerando corte de boleta	Intención de voto a Intendente considerando corte de boleta	
INTENDENTE_imputada	Escenarios de votación		Intención de voto a Intendente considerando corte de boleta	Intención de voto a Intendente considerando corte de boleta	(Imputación no lineal de indecisos)
P16	Escenarios de votación	politica	Y en ese caso, ¿podría indicarnos a cual se los siguientes candidatos preferiría votar en las próximas elecciones a primera vuelta para presidente de la nación?  	Intención de voto a Presidente en primera vuelta	
P16_imputada	Escenarios de votación	politica	Y en ese caso, ¿podría indicarnos a cual se los siguientes candidatos preferiría votar en las próximas elecciones a primera vuelta para presidente de la nación?  	Intención de voto a Presidente en primera vuelta	(Imputación no lineal de indecisos)
P19	Escenarios de votación	politica	Y en ese caso, ¿podría indicarnos a cual se los siguientes candidatos preferiría votar en las próximas elecciones generales para gobernador de la provincia de buenos aires?  	Intención de voto a Gobernador en elecciones generales	
P19_imputada	Escenarios de votación	politica	Y en ese caso, ¿podría indicarnos a cual se los siguientes candidatos preferiría votar en las próximas elecciones generales para gobernador de la provincia de buenos aires?  	Intención de voto a Gobernador en elecciones generales	(Imputación no lineal de indecisos)
P22	Escenarios de votación	politica	Y en ese caso, ¿podría indicarnos a cual se los siguientes candidatos preferiría votar en las próximas elecciones generales para intendente?  	Intención de voto a Intendente en elecciones generales	
P22_imputada	Escenarios de votación	politica	Y en ese caso, ¿podría indicarnos a cual se los siguientes candidatos preferiría votar en las próximas elecciones generales para intendente?  	Intención de voto a Intendente en elecciones generales	(Imputación no lineal de indecisos)
P25	Escenarios de votación	seguridadVoto	Podría usted decirnos cuán seguro está de sus preferencias de voto a presidente en las próximas elecciones 	Nivel de seguridad sobre intención de voto por fórmula presidencial	
P26	Escenarios de votación		¿Qué tan decidido está sobre ir a votar?	Nivel de decisión sobre ir o no a votar	
P27	Escenarios de votación	quali	En su opinión, ¿cómo se sale de la permanente crisis que vive argentina?	Opinión sobre la crisis argentina	
P28	Reach de intención de voto	votaria	Votaría la formula Sergio Massa a Presidente, Axel Kicillof a gobernador y Gustavo Menéndez a intendente...	Intención de voto por fórmula Massa - Kicillof – Menéndez	
P29	Reach de intención de voto	votaria	Votaría la formula Patricia Bullrich a Presidenta, Néstor Grindetti a gobernador y David Zencich a intendente...	Intención de voto por fórmula Rodríguez Larreta - Santilli – Zencich	
P30	Reach de intención de voto	votaria	Votaría la formula Javier Milei a Presidente, Carolina Piparo a gobernadora y Eduardo Varela a intendente...	Intención de voto por fórmula Milei – Píparo – Varela	
P31	Reach de intención de voto	votaria	Votaría a Raul Othacehé como candidato a intendente...	Intención de voto por Raún Othacehé	
P32	Control	sino	Nos gustaría volver a contactarlo para otras encuestas que se realizan de manera online. La misma se la enviaremos a través de un enlace por mensaje de texto a su celular ¿Está interesado en realizarla?  	Interés en próximas encuestas	
