"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P07","Positiva",0.429,0.141,0.274,0.037
"P07","Neutra",0.291,0.523,0.279,0.046
"P07","Negativa",0.129,0.187,0.287,0.102
"P07","No sabe",0.151,0.149,0.16,0.815
"P08","Positiva",0.621,0.16,0.033,0.089
"P08","Neutra",0.221,0.589,0.146,0.114
"P08","Negativa",0.071,0.139,0.751,0.14
"P08","No sabe",0.087,0.112,0.07,0.657
"P09","Positiva",0.283,0.092,0.152,0.003
"P09","Neutra",0.365,0.489,0.265,0.159
"P09","Negativa",0.159,0.195,0.358,0.064
"P09","No sabe",0.193,0.224,0.225,0.774
"P10","Positiva",0.288,0.152,0.192,0.03
"P10","Neutra",0.279,0.364,0.188,0.117
"P10","Negativa",0.338,0.358,0.556,0.186
"P10","No sabe",0.095,0.126,0.064,0.667
"P11","Positiva",0.239,0.137,0.19,0.034
"P11","Neutra",0.286,0.426,0.295,0.036
"P11","Negativa",0.204,0.175,0.248,0.068
"P11","No sabe",0.271,0.262,0.267,0.862
"P12","Positiva",0.26,0.102,0.103,0.122
"P12","Neutra",0.361,0.438,0.31,0.014
"P12","Negativa",0.105,0.103,0.23,0.048
"P12","No sabe",0.274,0.357,0.357,0.816
"P13","Positiva",0.211,0.021,0.029,0.018
"P13","Neutra",0.386,0.427,0.344,0.004
"P13","Negativa",0.11,0.107,0.252,0.032
"P13","No sabe",0.293,0.445,0.375,0.946
"P14","La seguridad",0.099,0.042,0.025,0.115
"P14","El tránsito",0.049,0.028,0.069,0
"P14","El arreglo de las calles",0.305,0.27,0.084,0.1
"P14","El estado de las escuelas y la educación",0.065,0.099,0.055,0.009
"P14","El sistema de salud",0.078,0.095,0.035,0.122
"P14","El deporte y la cultura",0.138,0.135,0.162,0.218
"P14","La obra pública",0.09,0.057,0.012,0.003
"P14","La luminaria",0.073,0.05,0.072,0.062
"P14","No sabe",0.103,0.224,0.486,0.371
"P15","La seguridad",0.464,0.484,0.488,0.275
"P15","El tránsito",0.052,0.039,0.025,0.028
"P15","El arreglo de las calles",0.205,0.103,0.133,0.212
"P15","El estado de las escuelas y la educación",0.01,0.081,0.059,0.003
"P15","El sistema de salud",0.116,0.104,0.095,0.04
"P15","El deporte y la cultura",0.033,0.049,0.032,0.108
"P15","La obra pública",0.023,0.048,0.024,0.057
"P15","La luminaria",0.026,0.017,0.037,0.036
"P15","No sabe",0.071,0.075,0.107,0.241
"P16","Agua corriente y cloacas",0.465,0.508,0.498,0.473
"P16","Energía eléctrica",0.126,0.082,0.125,0.075
"P16","Red de gas natural",0.094,0.124,0.092,0.085
"P16","Recolección de residuos",0.175,0.119,0.187,0.129
"P16","Ninguno",0.14,0.167,0.098,0.238
"P17","Los robos",0.482,0.604,0.555,0.339
"P17","El narcotráfico",0.166,0.087,0.117,0.108
"P17","La ausencia de patrulleros y personal policial",0.22,0.232,0.24,0.351
"P17","Otro",0.055,0.052,0.074,0.162
"P17","Ninguno",0.077,0.025,0.014,0.04
"P18","Positiva",0.373,0.26,0.063,0.156
"P18","Neutra",0.361,0.394,0.279,0.156
"P18","Negativa",0.244,0.303,0.592,0.231
"P18","No sabe",0.022,0.043,0.066,0.457
"P19","Positiva",0.416,0.164,0.052,0.092
"P19","Neutra",0.355,0.397,0.268,0.295
"P19","Negativa",0.185,0.31,0.637,0.136
"P19","No sabe",0.044,0.129,0.043,0.477
"P20","Al candidato del Frente de Todos",0.591,0.281,0.097,0.271
"P20","Al candidato de Juntos por el Cambio",0.159,0.14,0.314,0.144
"P20","Al candidato de la Izquierda",0.041,0.089,0.104,0.077
"P20","A otro candidato",0.114,0.229,0.31,0.171
"P20","No sabe",0.095,0.261,0.175,0.337
"P21","A Gustavo Menéndez",0.666,0.39,0.158,0.292
"P21","A Karina Menéndez",0.216,0.132,0.052,0.027
"P21","A Florencia Lizaraso",0.061,0.077,0.263,0
"P21","No sabe",0.057,0.401,0.527,0.681
"P22","Positiva",0.635,0.452,0.154,0.347
"P22","Neutra",0.128,0.276,0.154,0.306
"P22","Negativa",0.237,0.237,0.677,0.268
"P22","No sabe",0,0.035,0.015,0.079
"P23","Positiva",0.19,0.091,0.297,0.14
"P23","Neutra",0.077,0.081,0.159,0.14
"P23","Negativa",0.73,0.743,0.52,0.714
"P23","No sabe",0.003,0.085,0.024,0.006
"P24","Positiva",0.726,0.538,0.193,0.499
"P24","Neutra",0.068,0.164,0.057,0.097
"P24","Negativa",0.194,0.269,0.737,0.27
"P24","No sabe",0.012,0.029,0.013,0.134
"P25","Positiva",0.242,0.175,0.486,0.196
"P25","Neutra",0.24,0.352,0.182,0.152
"P25","Negativa",0.498,0.38,0.313,0.394
"P25","No sabe",0.02,0.093,0.019,0.258
"P26","Positiva",0.513,0.209,0.164,0.316
"P26","Neutra",0.224,0.404,0.17,0.256
"P26","Negativa",0.252,0.303,0.649,0.155
"P26","No sabe",0.011,0.084,0.017,0.273
"P27","Positiva",0.184,0.182,0.4,0.189
"P27","Neutra",0.156,0.26,0.171,0.118
"P27","Negativa",0.657,0.488,0.395,0.46
"P27","No sabe",0.003,0.07,0.034,0.233
"P28","Positiva",0.211,0.207,0.423,0.129
"P28","Neutra",0.147,0.221,0.209,0.053
"P28","Negativa",0.61,0.426,0.337,0.434
"P28","No sabe",0.032,0.146,0.031,0.384
