"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P07","Muy buena",0.144,0.118,0.199,0.161,0.219
"P07","Buena",0.152,0.131,0.129,0.03,0.132
"P07","Ni buena ni mala",0.205,0.197,0.144,0.301,0.171
"P07","Mala",0.2,0.229,0.189,0.144,0.355
"P07","Muy mala",0.242,0.29,0.322,0.332,0.111
"P07","No sabe",0.057,0.035,0.017,0.032,0.012
"P08","Muy buena",0.054,0.095,0.087,0.098,0.048
"P08","Buena",0.099,0.201,0.078,0.057,0.018
"P08","Ni buena ni mala",0.405,0.239,0.377,0.392,0.213
"P08","Mala",0.146,0.11,0.117,0.047,0.106
"P08","Muy mala",0.112,0.094,0.172,0.108,0.156
"P08","No sabe",0.184,0.261,0.169,0.298,0.459
"P09","Muy buena",0.127,0.115,0.09,0.115,0.204
"P09","Buena",0.121,0.076,0.155,0.03,0.011
"P09","Ni buena ni mala",0.282,0.203,0.306,0.261,0.569
"P09","Mala",0.145,0.157,0.17,0.167,0.009
"P09","Muy mala",0.254,0.311,0.247,0.196,0.114
"P09","No sabe",0.071,0.138,0.032,0.231,0.093
"P10","Muy buena",0.065,0.049,0.026,0.049,0.031
"P10","Buena",0.089,0.039,0.104,0.011,0
"P10","Ni buena ni mala",0.359,0.337,0.327,0.305,0.638
"P10","Mala",0.11,0.161,0.126,0.064,0.095
"P10","Muy mala",0.187,0.128,0.141,0.109,0.091
"P10","No sabe",0.19,0.286,0.276,0.462,0.145
"P11","Muy buena",0.136,0.073,0.082,0.114,0.049
"P11","Buena",0.113,0.075,0.117,0.107,0.464
"P11","Ni buena ni mala",0.247,0.204,0.229,0.146,0.093
"P11","Mala",0.177,0.278,0.214,0.141,0.098
"P11","Muy mala",0.277,0.18,0.287,0.288,0.273
"P11","No sabe",0.05,0.19,0.071,0.204,0.023
"P12","Muy buena",0.067,0.052,0.066,0.09,0.314
"P12","Buena",0.074,0.168,0.094,0.066,0
"P12","Ni buena ni mala",0.341,0.228,0.317,0.307,0.348
"P12","Mala",0.094,0.115,0.077,0.064,0.048
"P12","Muy mala",0.17,0.089,0.169,0.077,0.091
"P12","No sabe",0.254,0.348,0.277,0.396,0.199
"P13","Muy buena",0.042,0.098,0.004,0,0
"P13","Buena",0.049,0.037,0.032,0.046,0.009
"P13","Ni buena ni mala",0.341,0.39,0.361,0.258,0.337
"P13","Mala",0.111,0.06,0.098,0.066,0.314
"P13","Muy mala",0.092,0.086,0.14,0.062,0.156
"P13","No sabe",0.365,0.329,0.365,0.568,0.184
"P14","Muy buena",0.037,0.03,0.071,0,0
"P14","Buena",0.053,0.022,0.003,0.063,0
"P14","Ni buena ni mala",0.335,0.356,0.312,0.25,0.622
"P14","Mala",0.096,0.091,0.128,0.014,0.084
"P14","Muy mala",0.098,0.113,0.104,0.045,0.089
"P14","No sabe",0.381,0.388,0.382,0.628,0.205
"P15","La seguridad",0.073,0.04,0.096,0.072,0
"P15","El tránsito",0.082,0.031,0.011,0.122,0
"P15","El arreglo de las calles",0.207,0.169,0.204,0.072,0.154
"P15","El estado de las escuelas y la educación",0.061,0.069,0.027,0.139,0
"P15","El sistema de salud",0.041,0.062,0.009,0.023,0.091
"P15","El deporte y la cultura",0.156,0.336,0.25,0.114,0.315
"P15","La obra pública",0.056,0.004,0.031,0.014,0.084
"P15","La luminaria",0.06,0.094,0.033,0.051,0.042
"P15","No sabe",0.264,0.195,0.339,0.393,0.314
"P16","La seguridad",0.547,0.476,0.469,0.482,0.017
"P16","El tránsito",0.041,0.048,0.015,0.027,0
"P16","El arreglo de las calles",0.12,0.285,0.206,0.101,0.134
"P16","El estado de las escuelas y la educación",0.084,0.026,0.061,0.05,0.091
"P16","El sistema de salud",0.082,0.084,0.081,0.142,0.072
"P16","El deporte y la cultura",0.005,0.037,0.079,0,0.314
"P16","La obra pública",0.005,0.015,0.025,0,0
"P16","La luminaria",0.011,0.022,0.031,0.029,0
"P16","No sabe",0.105,0.007,0.033,0.169,0.372
"P17","Agua corriente y cloacas",0.484,0.359,0.329,0.268,0.202
"P17","Energía eléctrica",0.096,0.113,0.149,0.027,0.017
"P17","Red de gas natural",0.154,0.241,0.19,0.065,0.051
"P17","Recolección de residuos",0.134,0.203,0.261,0.405,0.369
"P17","Ninguno",0.132,0.084,0.071,0.235,0.361
"P19","Muy buena",0.181,0.172,0.083,0.102,0.036
"P19","Buena",0.158,0.101,0.082,0.079,0.491
"P19","Ni buena ni mala",0.256,0.244,0.409,0.206,0.227
"P19","Mala",0.185,0.289,0.202,0.216,0.026
"P19","Muy mala",0.138,0.15,0.178,0.242,0.135
"P19","No sabe",0.082,0.044,0.046,0.155,0.085
"P20","Muy buena",0.097,0.067,0.096,0.107,0.012
"P20","Buena",0.131,0.147,0.145,0.054,0.427
"P20","Ni buena ni mala",0.362,0.268,0.333,0.343,0.341
"P20","Mala",0.199,0.284,0.119,0.106,0.026
"P20","Muy mala",0.172,0.162,0.254,0.209,0.117
"P20","No sabe",0.039,0.072,0.053,0.181,0.077
"P21","Al candidato del Frente de Todos",0.317,0.263,0.332,0.326,0.314
"P21","Al candidato de Juntos por el Cambio",0.197,0.305,0.187,0.173,0.14
"P21","Al candidato de la Izquierda",0.064,0.231,0.07,0.089,0.02
"P21","A otro candidato",0.217,0.11,0.167,0.163,0.026
"P21","No sabe",0.205,0.091,0.244,0.249,0.5
"P22","A Gustavo Menéndez",0.509,0.274,0.236,0.187,0.587
"P22","A Karina Menéndez",0.107,0.209,0.325,0.127,0.216
"P22","A Florencia Lizaraso",0.047,0.145,0.12,0.002,0.084
"P22","A Raúl Otahacé",0.168,0.162,0.035,0.539,0
"P22","No sabe",0.169,0.21,0.284,0.145,0.113
"P23","Frente de Todos y el peronismo",0.316,0.404,0.431,0.337,0.432
"P23","Cambiemos",0.166,0.287,0.137,0.172,0.07
"P23","Liberales",0.214,0.146,0.164,0.22,0.079
"P23","Izquierda",0.055,0.028,0.045,0.032,0
"P23","No sabe",0.249,0.135,0.223,0.239,0.419
"P25","A Alberto Fernández",0.346,0.037,0.819,0.298,0.196
"P25","A Sergio Massa",0.139,0,0.012,0.447,0.073
"P25","A algún candidato del peronismo",0.21,0.721,0.036,0.104,0.072
"P25","A algún candidato del kirchnerismo",0.305,0.242,0.133,0.151,0.659
"P26","A Alberto Fernández",0.178,0.009,0.575,0.079,0.163
"P26","A Sergio Massa",0.116,0,0.016,0.446,0.072
"P26","A algún candidato del peronismo",0.166,0.5,0.022,0.044,0
"P26","A Cristina Fernández de Kirchner",0.54,0.491,0.387,0.431,0.765
"P27","A Horacio Rodriguez Larreta",0.659,0.08,0.059,0.222,0.333
"P27","A Mauricio Macri",0.138,0.464,0.287,0.074,0.334
"P27","A Patricia Bullrich",0.191,0.108,0.63,0.556,0.333
"P27","A Facundo Manes",0.012,0.047,0.024,0.074,0
"P27","A Martín Lousteau",0,0.301,0,0.074,0
"P28","Seguro lo votaria",0.329,0.252,0.072,0.148,0.333
"P28","Quizás lo votaría",0.23,0.075,0.346,0.629,0.667
"P28","Nunca lo votaría",0.441,0.673,0.582,0.223,0
"P29","Muy buena",0.143,0.054,0.209,0.066,0.043
"P29","Buena",0.15,0.128,0.216,0.183,0.209
"P29","Ni buena ni mala",0.244,0.054,0.161,0.325,0.077
"P29","Mala",0.126,0.388,0.071,0.119,0.366
"P29","Muy mala",0.316,0.361,0.31,0.287,0.305
"P29","No sabe",0.021,0.015,0.033,0.02,0
"P30","Muy buena",0.086,0.153,0.107,0.062,0.344
"P30","Buena",0.148,0.11,0.127,0.065,0
"P30","Ni buena ni mala",0.124,0.065,0.148,0.28,0.011
"P30","Mala",0.262,0.167,0.063,0.1,0.179
"P30","Muy mala",0.358,0.505,0.515,0.339,0.466
"P30","No sabe",0.022,0,0.04,0.154,0
"P31","Muy buena",0.28,0.202,0.318,0.358,0.355
"P31","Buena",0.128,0.055,0.167,0.043,0.081
"P31","Ni buena ni mala",0.065,0.077,0.148,0.068,0
"P31","Mala",0.121,0.183,0.046,0.122,0.326
"P31","Muy mala",0.385,0.468,0.308,0.283,0.238
"P31","No sabe",0.021,0.015,0.013,0.126,0
"P32","Muy buena",0.163,0.231,0.185,0.127,0.038
"P32","Buena",0.104,0.163,0.221,0.195,0.009
"P32","Ni buena ni mala",0.205,0.097,0.142,0.22,0.027
"P32","Mala",0.175,0.186,0.069,0.098,0.132
"P32","Muy mala",0.308,0.318,0.354,0.181,0.342
"P32","No sabe",0.045,0.005,0.029,0.179,0.452
"P33","Muy buena",0.073,0.019,0.116,0.064,0.019
"P33","Buena",0.127,0.043,0.12,0.098,0.281
"P33","Ni buena ni mala",0.263,0.24,0.396,0.219,0.189
"P33","Mala",0.153,0.177,0.084,0.137,0.354
"P33","Muy mala",0.319,0.473,0.232,0.298,0.157
"P33","No sabe",0.065,0.048,0.052,0.184,0
"P34","Muy buena",0.121,0.209,0.206,0.142,0.345
"P34","Buena",0.16,0.119,0.098,0.087,0.054
"P34","Ni buena ni mala",0.154,0.093,0.138,0.203,0.031
"P34","Mala",0.151,0.08,0.129,0.075,0.128
"P34","Muy mala",0.343,0.448,0.419,0.293,0.363
"P34","No sabe",0.071,0.051,0.01,0.2,0.079
"P35","Muy buena",0.151,0.077,0.124,0.105,0.34
"P35","Buena",0.1,0.018,0.126,0.182,0.08
"P35","Ni buena ni mala",0.249,0.343,0.203,0.235,0.094
"P35","Mala",0.147,0.131,0.109,0.113,0.15
"P35","Muy mala",0.26,0.414,0.39,0.286,0.336
"P35","No sabe",0.093,0.017,0.048,0.079,0
