"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.043,0.036,0.049,0.081,0.035,0.033,0.019,0.06,0.031,0.032,0.062,0.038,0,0.055,0.079,0.012,0.016,0.09,0.007,6
"Buena",0.051,0.064,0.038,0.037,0.057,0.032,0.094,0.051,0.053,0.049,0.06,0.051,0.008,0.086,0.051,0.035,0.051,0.059,0.15,6
"Ni buena ni mala",0.335,0.352,0.318,0.184,0.393,0.36,0.364,0.281,0.345,0.427,0.319,0.342,0.489,0.22,0.348,0.35,0.353,0.328,0.462,6
"Mala",0.098,0.127,0.069,0.137,0.092,0.066,0.108,0.118,0.088,0.078,0.068,0.123,0.082,0,0.043,0.214,0.095,0.129,0.017,6
"Muy mala",0.111,0.094,0.129,0.166,0.089,0.087,0.13,0.127,0.106,0.088,0.144,0.064,0.132,0.145,0.127,0.136,0.074,0.144,0.088,6
"No sabe",0.362,0.327,0.397,0.395,0.334,0.422,0.285,0.363,0.377,0.326,0.347,0.382,0.289,0.494,0.352,0.253,0.411,0.25,0.276,6
"Positiva",0.094,0.1,0.087,0.118,0.092,0.065,0.113,0.111,0.084,0.081,0.122,0.089,0.008,0.141,0.13,0.047,0.067,0.149,0.157,4
"Neutra",0.335,0.352,0.318,0.184,0.393,0.36,0.364,0.281,0.345,0.427,0.319,0.342,0.489,0.22,0.348,0.35,0.353,0.328,0.462,4
"Negativa",0.209,0.221,0.198,0.303,0.181,0.153,0.238,0.245,0.194,0.166,0.212,0.187,0.214,0.145,0.17,0.35,0.169,0.273,0.105,4
"No sabe",0.362,0.327,0.397,0.395,0.334,0.422,0.285,0.363,0.377,0.326,0.347,0.382,0.289,0.494,0.352,0.253,0.411,0.25,0.276,4
