"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P07","Muy buena",0.091,0.012,0.12,0.154,0.174,0.133
"P07","Buena",0.054,0.28,0.1,0.3,0.152,0.258
"P07","Ni buena ni mala",0.233,0.115,0.208,0.241,0.225,0.234
"P07","Mala",0.152,0.108,0.26,0.058,0.146,0.196
"P07","Muy mala",0.425,0.474,0.297,0.237,0.293,0.17
"P07","No sabe",0.045,0.011,0.015,0.01,0.01,0.009
"P08","Muy buena",0.123,0.076,0.102,0.194,0.076,0
"P08","Buena",0.127,0.255,0.211,0.148,0.043,0.155
"P08","Ni buena ni mala",0.37,0.316,0.451,0.474,0.312,0.492
"P08","Mala",0.095,0.017,0.093,0.071,0.089,0.022
"P08","Muy mala",0.185,0.196,0.046,0,0.301,0.007
"P08","No sabe",0.1,0.14,0.097,0.113,0.179,0.324
"P09","Muy buena",0.12,0.004,0.087,0.09,0.153,0.18
"P09","Buena",0.001,0.263,0.116,0.206,0.173,0.234
"P09","Ni buena ni mala",0.238,0.231,0.279,0.289,0.257,0.22
"P09","Mala",0.099,0.13,0.167,0.178,0.099,0.047
"P09","Muy mala",0.423,0.328,0.274,0.094,0.227,0.148
"P09","No sabe",0.119,0.044,0.077,0.143,0.091,0.171
"P10","Muy buena",0.053,0.033,0.113,0.046,0.031,0
"P10","Buena",0.166,0.202,0.106,0.138,0.006,0.008
"P10","Ni buena ni mala",0.436,0.401,0.486,0.476,0.324,0.331
"P10","Mala",0.053,0.041,0.121,0.142,0.149,0.001
"P10","Muy mala",0.109,0.086,0.029,0.03,0.326,0.008
"P10","No sabe",0.183,0.237,0.145,0.168,0.164,0.652
"P11","Muy buena",0.05,0.041,0.087,0.061,0.129,0.159
"P11","Buena",0.166,0.221,0.077,0.09,0.041,0.339
"P11","Ni buena ni mala",0.233,0.234,0.293,0.339,0.227,0.26
"P11","Mala",0.099,0.108,0.182,0.345,0.125,0.102
"P11","Muy mala",0.381,0.309,0.296,0.143,0.371,0.099
