"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P7","Muy buena",0.275,0.19,0.086,0.021,0.017,0.046
"P7","Buena",0.248,0.309,0.193,0.075,0.079,0.031
"P7","Ni buena ni mala",0.193,0.244,0.328,0.373,0.151,0.332
"P7","Mala",0.12,0.116,0.232,0.241,0.174,0.387
"P7","Muy mala",0.157,0.133,0.145,0.261,0.558,0.107
"P7","No sabe",0.007,0.008,0.016,0.029,0.021,0.097
"P8","Muy buena",0.086,0.084,0.011,0.239,0.108,0.038
"P8","Buena",0.023,0.192,0.125,0.107,0.221,0.126
"P8","Ni buena ni mala",0.378,0.358,0.559,0.228,0.383,0.135
"P8","Mala",0.122,0.075,0.09,0.142,0.033,0
"P8","Muy mala",0.239,0.045,0.023,0.152,0.153,0.069
"P8","No sabe",0.152,0.246,0.192,0.132,0.102,0.632
"P9","Muy buena",0.216,0.151,0.084,0.107,0.017,0.071
"P9","Buena",0.262,0.299,0.165,0.152,0.028,0.077
"P9","Ni buena ni mala",0.21,0.333,0.453,0.239,0.212,0.745
"P9","Mala",0.088,0.054,0.113,0.261,0.157,0
"P9","Muy mala",0.126,0.126,0.036,0.117,0.483,0.107
"P9","No sabe",0.098,0.037,0.149,0.124,0.103,0
"P10","Muy buena",0.044,0.084,0.006,0.034,0.065,0.046
"P10","Buena",0.017,0.134,0.159,0.163,0.118,0.038
"P10","Ni buena ni mala",0.352,0.319,0.607,0.323,0.424,0.429
"P10","Mala",0.136,0.108,0.152,0.177,0.063,0
"P10","Muy mala",0.24,0.057,0,0.035,0.14,0.069
"P10","No sabe",0.211,0.298,0.076,0.268,0.19,0.418
"P11","Muy buena",0.151,0.127,0.012,0.107,0.046,0.07
"P11","Buena",0.076,0.189,0.109,0.206,0.11,0.038
"P11","Ni buena ni mala",0.299,0.237,0.513,0.132,0.193,0.299
"P11","Mala",0.151,0.199,0.241,0.187,0.141,0.443
"P11","Muy mala",0.289,0.125,0.107,0.259,0.411,0.053
"P11","No sabe",0.034,0.123,0.018,0.109,0.099,0.097
"P12","Muy buena",0.059,0.007,0.012,0.038,0.09,0.038
"P12","Buena",0.02,0.153,0.116,0.059,0.149,0
"P12","Ni buena ni mala",0.258,0.335,0.719,0.236,0.375,0.384
"P12","Mala",0.128,0.114,0.006,0.233,0.045,0
"P12","Muy mala",0.219,0.018,0.021,0.199,0.122,0
"P12","No sabe",0.316,0.373,0.126,0.235,0.219,0.578
"P13","Muy buena",0.085,0.011,0.025,0.066,0.019,0.038
"P13","Buena",0.042,0.094,0.03,0.099,0.019,0
"P13","Ni buena ni mala",0.366,0.382,0.581,0.366,0.365,0.384
"P13","Mala",0.071,0.087,0.01,0.133,0.069,0
"P13","Muy mala",0.127,0.016,0.027,0.01,0.127,0
"P13","No sabe",0.309,0.41,0.327,0.326,0.401,0.578
"P14","Muy buena",0.041,0,0.019,0,0.016,0.038
"P14","Buena",0.009,0.085,0.035,0.011,0.013,0
"P14","Ni buena ni mala",0.379,0.257,0.53,0.488,0.349,0.384
"P14","Mala",0.033,0.212,0.052,0.119,0.037,0
"P14","Muy mala",0.156,0.016,0.01,0,0.12,0
"P14","No sabe",0.382,0.43,0.354,0.382,0.465,0.578
"P15","La seguridad",0.078,0.105,0.094,0.063,0.038,0.071
"P15","El tránsito",0.036,0.054,0.003,0.005,0.017,0
"P15","El arreglo de las calles",0.194,0.375,0.173,0.092,0.099,0.287
"P15","El estado de las escuelas y la educación",0.052,0.108,0.054,0.15,0.008,0
"P15","El sistema de salud",0.063,0.022,0.117,0.028,0.09,0
"P15","El deporte y la cultura",0.175,0.088,0.065,0.133,0.125,0
"P15","La obra pública",0.151,0.003,0.04,0.041,0.011,0
"P15","La luminaria",0.05,0.024,0.019,0.052,0.137,0.031
"P15","No sabe",0.201,0.221,0.435,0.436,0.475,0.611
"P16","La seguridad",0.353,0.455,0.42,0.302,0.551,0.226
"P16","El tránsito",0.036,0.107,0.006,0.004,0.031,0
"P16","El arreglo de las calles",0.238,0.164,0.325,0.14,0.146,0.387
"P16","El estado de las escuelas y la educación",0.032,0.093,0.005,0.107,0.045,0.188
"P16","El sistema de salud",0.168,0.033,0.137,0.159,0.097,0
"P16","El deporte y la cultura",0.064,0.004,0.002,0.004,0.002,0
"P16","La obra pública",0.031,0.022,0,0.09,0.012,0.053
"P16","La luminaria",0.013,0.058,0.012,0,0.035,0.031
"P16","No sabe",0.065,0.064,0.093,0.194,0.081,0.115
"P17","Agua corriente y cloacas",0.504,0.406,0.497,0.512,0.548,0.792
"P17","Energía eléctrica",0.124,0.12,0.127,0.06,0.071,0
"P17","Red de gas natural",0.086,0.112,0.191,0.182,0.118,0
"P17","Recolección de residuos",0.137,0.1,0.069,0.192,0.191,0.047
"P17","Ninguno",0.149,0.262,0.116,0.054,0.072,0.161
"P18","Los robos",0.545,0.458,0.611,0.421,0.492,0.635
"P18","El narcotráfico",0.193,0.134,0.115,0.245,0.098,0.018
"P18","La ausencia de patrulleros y personal policial",0.162,0.082,0.204,0.203,0.293,0.25
"P18","Otro",0.081,0.145,0.065,0.131,0.102,0
"P18","Ninguno",0.019,0.181,0.005,0,0.015,0.097
"P19","Muy buena",0.169,0.052,0.108,0.054,0.047,0.117
"P19","Buena",0.119,0.319,0.115,0.086,0.06,0
"P19","Ni buena ni mala",0.378,0.286,0.49,0.313,0.355,0.387
"P19","Mala",0.146,0.174,0.242,0.243,0.231,0.316
"P19","Muy mala",0.118,0.091,0.032,0.24,0.212,0.016
"P19","No sabe",0.07,0.078,0.013,0.064,0.095,0.164
"P20","Muy buena",0.143,0.142,0.014,0.018,0.02,0.117
"P20","Buena",0.221,0.287,0.086,0.037,0.045,0
"P20","Ni buena ni mala",0.306,0.476,0.776,0.353,0.31,0.511
"P20","Mala",0.147,0.072,0.094,0.41,0.262,0
"P20","Muy mala",0.113,0.02,0.03,0.008,0.313,0
"P20","No sabe",0.07,0.003,0,0.174,0.05,0.372
"P21","Al candidato del Frente de Todos",0.761,0.254,0.243,0.14,0.046,0.046
"P21","Al candidato de Juntos por el Cambio",0.038,0.224,0.052,0.233,0.53,0.242
"P21","Al candidato de la Izquierda",0.081,0.084,0.152,0.089,0.03,0
"P21","A otro candidato",0.036,0.099,0.244,0.304,0.232,0
"P21","No sabe",0.084,0.339,0.309,0.234,0.162,0.712
"P22","A Gustavo Menéndez",0.427,0.563,0.38,0.71,0.359,1
"P22","A Karina Menéndez",0.224,0.225,0.509,0.063,0.026,0
"P22","A Florencia Lizaraso",0.161,0.067,0.026,0.103,0.304,0
"P22","A Raúl Otahacé",0.077,0.05,0,0.02,0.195,0
"P22","No sabe",0.111,0.095,0.085,0.104,0.116,0
"P23","Frente de Todos y el peronismo",0.888,0.657,0.327,0.155,0.026,0.258
"P23","Cambiemos",0.029,0.102,0.119,0.143,0.52,0.054
"P23","Liberales",0.019,0.005,0.061,0.34,0.278,0
"P23","Izquierda",0.01,0.088,0.018,0.193,0.047,0
"P23","No sabe",0.054,0.148,0.475,0.169,0.129,0.688
"P25","A Alberto Fernández",0.246,0.029,0.115,0.239,0.069,1
"P25","A Sergio Massa",0.25,0.291,0.326,0.037,0.202,0
"P25","A algún candidato del peronismo",0.063,0.084,0.346,0.724,0,0
"P25","A algún candidato del kirchnerismo",0.441,0.596,0.213,0,0.729,0
"P26","A Alberto Fernández",0.189,0.046,0.115,0,0.03,1
"P26","A Sergio Massa",0.195,0.413,0.107,0.037,0.181,0
"P26","A algún candidato del peronismo",0.045,0.035,0.565,0.724,0,0
"P26","A Cristina Fernández de Kirchner",0.571,0.506,0.213,0.239,0.789,0
"P27","A Horacio Rodriguez Larreta",0.341,0.027,0.726,0.176,0.312,0
"P27","A Mauricio Macri",0.023,0.951,0.106,0.537,0.325,0.586
"P27","A Patricia Bullrich",0.018,0.022,0,0.274,0.326,0.414
"P27","A Facundo Manes",0.471,0,0.147,0.013,0.035,0
"P27","A Martín Lousteau",0.147,0,0.021,0,0.002,0
"P28","Seguro lo votaria",0.022,0,0.078,0.171,0.167,0
"P28","Quizás lo votaría",0.023,0.04,0.066,0.681,0.293,0.586
"P28","Nunca lo votaría",0.955,0.96,0.856,0.148,0.54,0.414
"P29","Muy buena",0.307,0.023,0.129,0.132,0.016,0.304
"P29","Buena",0.312,0.322,0.215,0.012,0.019,0
"P29","Ni buena ni mala",0.257,0.437,0.528,0.103,0.02,0.445
"P29","Mala",0.094,0.083,0.038,0.533,0.11,0.127
"P29","Muy mala",0.024,0.135,0.081,0.216,0.831,0.037
"P29","No sabe",0.006,0,0.009,0.004,0.004,0.087
"P30","Muy buena",0.074,0,0.006,0.173,0.247,0
"P30","Buena",0.001,0.144,0.027,0.104,0.212,0.163
