"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.09,0.117,0.063,0.083,0.08,0.094,0.123,0.112,0.087,0.048,0.171,0.099,0.056,0.04,0.088,0.053,0.094,0.089,0.013,6
"Buena",0.12,0.126,0.114,0.078,0.121,0.12,0.196,0.096,0.125,0.161,0.146,0.121,0.177,0.119,0.099,0.063,0.152,0.069,0.117,6
"Ni buena ni mala",0.369,0.341,0.397,0.344,0.337,0.431,0.403,0.457,0.304,0.33,0.292,0.361,0.459,0.408,0.321,0.4,0.371,0.411,0.269,6
"Mala",0.2,0.172,0.228,0.207,0.23,0.188,0.126,0.162,0.234,0.203,0.14,0.232,0.095,0.146,0.208,0.311,0.198,0.221,0.346,6
"Muy mala",0.149,0.162,0.136,0.244,0.154,0.079,0.071,0.088,0.19,0.186,0.174,0.114,0.135,0.228,0.219,0.098,0.122,0.131,0.041,6
"No sabe",0.072,0.082,0.062,0.044,0.078,0.088,0.081,0.085,0.06,0.072,0.077,0.073,0.078,0.059,0.065,0.075,0.063,0.079,0.214,6
"Positiva",0.21,0.243,0.177,0.161,0.201,0.214,0.319,0.208,0.212,0.209,0.317,0.22,0.233,0.159,0.187,0.116,0.246,0.158,0.13,4
"Neutra",0.369,0.341,0.397,0.344,0.337,0.431,0.403,0.457,0.304,0.33,0.292,0.361,0.459,0.408,0.321,0.4,0.371,0.411,0.269,4
"Negativa",0.349,0.334,0.364,0.451,0.384,0.267,0.197,0.25,0.424,0.389,0.314,0.346,0.23,0.374,0.427,0.409,0.32,0.352,0.387,4
"No sabe",0.072,0.082,0.062,0.044,0.078,0.088,0.081,0.085,0.06,0.072,0.077,0.073,0.078,0.059,0.065,0.075,0.063,0.079,0.214,4
