"var","categoria","Agua corriente y cloacas","Energía eléctrica","Red de gas natural","Recolección de residuos","Ninguno"
"P07","A Gustavo Menendez por el Frente de Todos",0.325,0.128,0.426,0.255,0.354
"P07","A David Zencich por Juntos por el Cambio",0.241,0.443,0.231,0.191,0.257
"P07","A Pablo Cocuzza por Juntos por el Cambio",0.127,0.077,0.194,0.088,0.043
"P07","Al candidato de Javier Milei",0.095,0.232,0.072,0.234,0.148
"P07","A Cristian Franco por el Frente de Izquierda",0.058,0.078,0.048,0.113,0.023
"P07","A otro candidato",0.154,0.042,0.029,0.119,0.175
"P09","A Gustavo Menendez por el Frente de Todos",0.335,0.139,0.544,0.294,0.378
"P09","A David Zencich por Juntos por el Cambio",0.238,0.539,0.196,0.167,0.244
"P09","Al candidato de Javier Milei",0.193,0.216,0.151,0.325,0.16
"P09","A Cristian Franco por el Frente de Izquierda",0.045,0.02,0.034,0.121,0.083
"P09","A otro candidato",0.189,0.086,0.075,0.093,0.135
"P11","A Gustavo Menendez por el Frente de Todos",0.314,0.323,0.449,0.275,0.421
"P11","A Pablo Cocuzza por Juntos por el Cambio",0.253,0.317,0.26,0.139,0.135
"P11","Al candidato de Javier Milei",0.189,0.206,0.148,0.325,0.159
"P11","A Cristian Franco por el Frente de Izquierda",0.06,0.042,0.075,0.133,0.072
"P11","A otro candidato",0.184,0.112,0.068,0.128,0.213
"P13","Muy buena",0.191,0.152,0.201,0.015,0.16
"P13","Buena",0.138,0.098,0.433,0.297,0.225
"P13","Ni buena ni mala",0.185,0.079,0.133,0.166,0.205
"P13","Mala",0.205,0.16,0.032,0.177,0.043
"P13","Muy mala",0.264,0.5,0.201,0.318,0.313
"P13","No sabe",0.017,0.011,0,0.027,0.054
"P14","Muy buena",0.099,0.206,0.32,0.125,0.137
"P14","Buena",0.099,0.275,0.104,0.161,0.169
"P14","Ni buena ni mala",0.361,0.235,0.275,0.445,0.22
"P14","Mala",0.148,0.071,0.186,0.081,0.094
"P14","Muy mala",0.159,0.044,0.045,0.088,0.15
"P14","No sabe",0.134,0.169,0.07,0.1,0.23
"P15","Muy buena",0.143,0.171,0.186,0.066,0.215
"P15","Buena",0.118,0.07,0.16,0.131,0.181
"P15","Ni buena ni mala",0.261,0.039,0.275,0.266,0.23
"P15","Mala",0.169,0.141,0.09,0.22,0.072
"P15","Muy mala",0.254,0.559,0.179,0.283,0.225
"P15","No sabe",0.055,0.02,0.11,0.034,0.077
"P16","Muy buena",0.04,0.128,0.249,0.121,0.036
"P16","Buena",0.088,0.115,0.045,0.087,0.044
"P16","Ni buena ni mala",0.379,0.278,0.308,0.45,0.308
"P16","Mala",0.143,0.03,0.229,0.133,0.123
"P16","Muy mala",0.129,0.29,0.077,0.128,0.208
"P16","No sabe",0.221,0.159,0.092,0.081,0.281
"P17","Muy buena",0.111,0.014,0.211,0.097,0.024
"P17","Buena",0.126,0.207,0.126,0.107,0.085
"P17","Ni buena ni mala",0.221,0.12,0.33,0.197,0.377
"P17","Mala",0.187,0.358,0.116,0.264,0.116
"P17","Muy mala",0.27,0.279,0.187,0.301,0.259
"P17","No sabe",0.085,0.022,0.03,0.034,0.139
"P18","Muy buena",0.113,0.217,0.249,0.1,0.1
"P18","Buena",0.097,0.018,0.007,0.064,0.025
"P18","Ni buena ni mala",0.334,0.33,0.412,0.443,0.432
"P18","Mala",0.11,0.213,0.151,0.055,0.068
"P18","Muy mala",0.11,0.033,0.087,0.063,0.098
"P18","No sabe",0.236,0.189,0.094,0.275,0.277
"P19","Muy buena",0.08,0.251,0.198,0,0.017
"P19","Buena",0.089,0.006,0.043,0.042,0.029
"P19","Ni buena ni mala",0.406,0.272,0.46,0.471,0.463
"P19","Mala",0.062,0.098,0.125,0.064,0.037
"P19","Muy mala",0.094,0.014,0.013,0.032,0.071
"P19","No sabe",0.269,0.359,0.161,0.391,0.383
"P20","Muy buena",0.041,0.005,0.065,0,0.005
"P20","Buena",0.022,0.155,0.079,0.03,0
"P20","Ni buena ni mala",0.423,0.279,0.519,0.47,0.444
"P20","Mala",0.057,0.06,0.137,0.031,0.071
"P20","Muy mala",0.089,0,0.03,0.012,0.061
"P20","No sabe",0.368,0.501,0.17,0.457,0.419
"P21","La seguridad",0.073,0,0.034,0.046,0.015
"P21","El tránsito",0.024,0.223,0.12,0,0.069
"P21","El arreglo de las calles",0.119,0.231,0.294,0.337,0.209
"P21","Los parques y espacios públicos",0.244,0.079,0.218,0.136,0.213
"P21","El sistema de salud",0.044,0,0.047,0.056,0.061
"P21","La limpieza de las calles",0.12,0.056,0.088,0.072,0.064
"P21","El deporte y la cultura",0.047,0.047,0.086,0.042,0.089
"P21","La luminaria",0.031,0.014,0.009,0.015,0.069
"P21","No sabe",0.298,0.35,0.104,0.296,0.211
"P22","La seguridad",0.501,0.47,0.431,0.396,0.431
"P22","El tránsito",0.037,0.05,0.01,0.078,0.03
"P22","El arreglo de las calles",0.184,0.169,0.338,0.169,0.062
"P22","Los parques y espacios públicos",0.014,0.133,0,0.017,0.015
"P22","El sistema de salud",0.123,0.02,0.127,0.05,0.194
