"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P06","Al candidato del Frente de Todos",0.745,0.209,0.069,0.235
"P06","Al candidato de Juntos por el Cambio",0.041,0.323,0.453,0.112
"P06","Al candidato de la Izquierda",0.04,0.014,0.109,0.073
"P06","A otro candidato",0.124,0.217,0.245,0.144
"P06","No sabe",0.05,0.237,0.124,0.436
"P07","A Gustavo Menéndez",0.656,0.433,0.433,0.422
"P07","A Karina Menéndez",0.286,0.158,0.032,0.023
"P07","A Florencia Lizaraso",0.009,0.279,0.262,0.112
"P07","No sabe",0.049,0.13,0.273,0.443
"P08","A Gustavo Menéndez por el Frente de Todos",0.661,0.287,0.01,0.022
"P08","A Raúl Othacehé por el Frente de Todos",0.064,0.195,0.189,0.192
"P08","A David Zencich por Juntos por el Cambio",0.123,0.108,0.279,0.082
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.094,0.076,0.081,0.105
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.038,0.107,0.285,0.275
"P08","Al candidato del Frente de Izquierda",0.011,0.089,0.066,0.003
"P08","En blanco",0,0,0.029,0.032
"P08","No sabe",0.009,0.138,0.061,0.289
"P10","A Gustavo Menéndez por el Frente de Todos",0.775,0.206,0.059,0.113
"P10","A Raúl Othacehé por un partido vecinal",0.024,0.204,0.084,0.202
"P10","A David Zencich por Juntos por el Cambio",0.165,0.183,0.297,0.153
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.01,0.121,0.121,0.027
"P10","Al candidato de Javier Milei por La Libertad Avanza",0.007,0.026,0.301,0.103
"P10","Al candidato del Frente de Izquierda",0.01,0.065,0.052,0.04
"P10","En blanco",0,0.003,0.028,0.048
"P10","No sabe",0.009,0.192,0.058,0.314
"P13","Lo votaría",0.332,0.256,0.136,0.244
"P13","Puede que lo vote",0.096,0.418,0.076,0.069
"P13","Nunca lo votaría",0.526,0.167,0.76,0.256
"P13","No sabe",0.046,0.159,0.028,0.431
"P14","Lo votaría",0.148,0.262,0.233,0.095
"P14","Puede que lo vote",0.066,0.222,0.242,0.094
"P14","Nunca lo votaría",0.686,0.282,0.449,0.36
"P14","No sabe",0.1,0.234,0.076,0.451
"P15","Lo votaría",0.044,0.17,0.191,0.014
"P15","Puede que lo vote",0.085,0.231,0.29,0.103
"P15","Nunca lo votaría",0.733,0.315,0.431,0.237
"P15","No sabe",0.138,0.284,0.088,0.646
"P16","Lo votaría",0.382,0.105,0.02,0
"P16","Puede que lo vote",0.237,0.371,0.072,0.136
"P16","Nunca lo votaría",0.289,0.442,0.864,0.209
"P16","No sabe",0.092,0.082,0.044,0.655
"P17","Lo votaría",0.165,0.131,0.031,0.027
"P17","Puede que lo vote",0.178,0.222,0.094,0.08
"P17","Nunca lo votaría",0.48,0.329,0.681,0.308
"P17","No sabe",0.177,0.318,0.194,0.585
"P18","Lo votaría",0.059,0.075,0.017,0
"P18","Puede que lo vote",0.165,0.189,0.083,0.038
"P18","Nunca lo votaría",0.514,0.433,0.675,0.304
"P18","No sabe",0.262,0.303,0.225,0.658
"P19","Lo votaría",0.054,0.078,0.089,0.016
"P19","Puede que lo vote",0.119,0.192,0.124,0.113
"P19","Nunca lo votaría",0.487,0.374,0.6,0.275
"P19","No sabe",0.34,0.356,0.187,0.596
"P20","La seguridad",0.186,0.045,0.043,0.067
"P20","El tránsito",0.008,0.045,0.03,0.014
"P20","El arreglo de las calles",0.348,0.148,0.122,0.012
"P20","El estado de las escuelas y la educación",0.261,0.16,0.211,0.386
"P20","El sistema de salud",0.045,0.006,0.025,0.079
"P20","El deporte y la cultura",0.037,0.021,0.012,0.015
"P20","La obra pública",0.047,0.324,0.064,0.025
"P20","La luminaria",0.024,0.004,0.039,0.029
"P20","No sabe",0.044,0.247,0.454,0.373
"P21","La seguridad",0.361,0.439,0.413,0.519
"P21","El tránsito",0.039,0.02,0.012,0.051
"P21","El arreglo de las calles",0.254,0.16,0.217,0.048
"P21","El estado de las escuelas y la educación",0.127,0.053,0.073,0.049
"P21","El sistema de salud",0.07,0.123,0.109,0.157
"P21","El deporte y la cultura",0.012,0.034,0.017,0.03
"P21","La obra pública",0.016,0.079,0.006,0.065
"P21","La luminaria",0.028,0.011,0.018,0.012
"P21","No sabe",0.093,0.081,0.135,0.069
"P22","Agua corriente y cloacas",0.51,0.6,0.495,0.565
"P22","Energía eléctrica",0.035,0.032,0.103,0.077
"P22","Red de gas natural",0.145,0.066,0.122,0.05
"P22","Recolección de residuos",0.12,0.236,0.17,0.13
"P22","Ninguno",0.19,0.066,0.11,0.178
"P23","Los robos",0.631,0.47,0.586,0.523
"P23","El narcotráfico",0.106,0.16,0.148,0.188
"P23","La ausencia de patrulleros y personal policial",0.107,0.229,0.19,0.187
"P23","Otro",0.099,0.116,0.042,0.102
"P23","Ninguno",0.057,0.025,0.034,0
"P24","Muy buena",0.381,0.076,0.051,0.058
"P24","Buena",0.222,0.14,0.085,0.106
