"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A"
"Patricia Bullrich","Muy buena",0.179,0.195,0.16,0.229,0.159,0.13,0.264,0.211,0.129,0.196,0.106,0.079,0.143,0.317,0.335,0.222
"Patricia Bullrich","Buena",0.141,0.101,0.189,0.187,0.089,0.164,0.2,0.118,0.177,0.13,0.116,0.064,0.341,0.111,0.262,0.122
"Patricia Bullrich","Ni buena ni mala",0.151,0.136,0.168,0.149,0.195,0.132,0.073,0.087,0.244,0.124,0.163,0.212,0.068,0.071,0.032,0.25
"Patricia Bullrich","Mala",0.149,0.151,0.146,0.181,0.159,0.141,0.107,0.14,0.165,0.14,0.137,0.141,0.17,0.208,0.113,0.14
"Patricia Bullrich","Muy mala",0.355,0.388,0.316,0.254,0.371,0.415,0.302,0.442,0.221,0.401,0.381,0.496,0.272,0.262,0.246,0.252
"Patricia Bullrich","No sabe",0.025,0.029,0.021,0,0.027,0.018,0.054,0.002,0.064,0.009,0.097,0.008,0.006,0.031,0.012,0.014
"CFK","Muy buena",0.219,0.23,0.207,0.177,0.172,0.286,0.265,0.218,0.182,0.273,0.167,0.323,0.106,0.153,0.162,0.227
"CFK","Buena",0.067,0.037,0.103,0,0.058,0.082,0.123,0.062,0.07,0.071,0.046,0.056,0.145,0,0.082,0.116
"CFK","Ni buena ni mala",0.077,0.068,0.087,0.013,0.105,0.11,0.008,0.075,0.084,0.071,0.062,0.089,0.042,0.12,0.06,0.062
"CFK","Mala",0.151,0.114,0.194,0.306,0.102,0.113,0.204,0.172,0.171,0.089,0.167,0.073,0.168,0.317,0.064,0.227
"CFK","Muy mala",0.474,0.539,0.396,0.504,0.542,0.404,0.389,0.471,0.465,0.49,0.528,0.447,0.539,0.41,0.625,0.347
"CFK","No sabe",0.012,0.012,0.013,0,0.021,0.005,0.011,0.002,0.028,0.006,0.03,0.012,0,0,0.007,0.021
"Javier Milei","Muy buena",0.143,0.173,0.106,0.25,0.164,0.085,0.093,0.129,0.134,0.176,0.072,0.146,0.095,0.217,0.155,0.156
"Javier Milei","Buena",0.109,0.129,0.086,0.077,0.138,0.094,0.088,0.132,0.121,0.056,0.056,0.063,0.285,0.157,0.121,0.087
"Javier Milei","Ni buena ni mala",0.21,0.164,0.266,0.194,0.206,0.197,0.257,0.191,0.233,0.211,0.235,0.146,0.156,0.15,0.343,0.309
"Javier Milei","Mala",0.182,0.189,0.173,0.169,0.165,0.216,0.182,0.179,0.207,0.153,0.241,0.198,0.153,0.249,0.056,0.16
"Javier Milei","Muy mala",0.324,0.314,0.335,0.31,0.3,0.339,0.37,0.342,0.257,0.387,0.344,0.411,0.253,0.195,0.311,0.288
"Javier Milei","No sabe",0.032,0.031,0.034,0,0.027,0.069,0.01,0.027,0.048,0.017,0.052,0.036,0.058,0.032,0.014,0
"Mauricio Macri","Muy buena",0.078,0.076,0.079,0.077,0.061,0.066,0.14,0.098,0.061,0.068,0.067,0.045,0.078,0.056,0.205,0.061
"Mauricio Macri","Buena",0.17,0.155,0.189,0.274,0.145,0.137,0.2,0.183,0.157,0.168,0.109,0.109,0.282,0.215,0.197,0.229
"Mauricio Macri","Ni buena ni mala",0.164,0.186,0.138,0.029,0.208,0.159,0.173,0.096,0.233,0.177,0.269,0.183,0.147,0.123,0.104,0.122
"Mauricio Macri","Mala",0.173,0.123,0.232,0.257,0.125,0.209,0.167,0.159,0.21,0.146,0.135,0.145,0.254,0.268,0.116,0.183
"Mauricio Macri","Muy mala",0.389,0.44,0.33,0.363,0.435,0.422,0.243,0.432,0.302,0.441,0.378,0.51,0.239,0.299,0.371,0.329
"Mauricio Macri","No sabe",0.026,0.02,0.032,0,0.026,0.007,0.077,0.032,0.037,0,0.042,0.008,0,0.039,0.007,0.076
"Horacio Rodríguez Larreta","Muy buena",0.122,0.125,0.119,0.245,0.084,0.109,0.136,0.158,0.094,0.103,0.117,0.088,0.097,0.24,0.159,0.069
"Horacio Rodríguez Larreta","Buena",0.12,0.129,0.108,0.166,0.101,0.116,0.132,0.058,0.196,0.112,0.188,0.06,0.207,0.041,0.234,0.097
"Horacio Rodríguez Larreta","Ni buena ni mala",0.255,0.225,0.29,0.153,0.275,0.24,0.314,0.289,0.264,0.189,0.172,0.288,0.343,0.232,0.209,0.267
"Horacio Rodríguez Larreta","Mala",0.157,0.144,0.172,0.181,0.154,0.162,0.137,0.096,0.207,0.185,0.094,0.119,0.179,0.216,0.101,0.296
"Horacio Rodríguez Larreta","Muy mala",0.329,0.363,0.289,0.255,0.359,0.36,0.265,0.397,0.202,0.396,0.399,0.426,0.174,0.257,0.285,0.25
"Horacio Rodríguez Larreta","No sabe",0.017,0.014,0.022,0,0.027,0.013,0.016,0.002,0.037,0.015,0.03,0.019,0,0.014,0.012,0.021
"Sergio Massa","Muy buena",0.065,0.071,0.058,0,0.052,0.08,0.128,0.09,0.05,0.045,0.013,0.065,0.092,0.094,0.039,0.096
"Sergio Massa","Buena",0.173,0.135,0.217,0.24,0.132,0.211,0.156,0.104,0.223,0.214,0.124,0.201,0.063,0.134,0.272,0.176
"Sergio Massa","Ni buena ni mala",0.209,0.195,0.225,0.076,0.181,0.317,0.215,0.205,0.23,0.186,0.229,0.263,0.171,0.227,0.082,0.19
"Sergio Massa","Mala",0.168,0.191,0.142,0.306,0.179,0.101,0.135,0.171,0.193,0.131,0.136,0.134,0.209,0.271,0.099,0.221
"Sergio Massa","Muy mala",0.372,0.395,0.344,0.378,0.431,0.284,0.36,0.428,0.269,0.424,0.459,0.329,0.465,0.26,0.501,0.303
"Sergio Massa","No sabe",0.013,0.013,0.014,0,0.025,0.007,0.006,0.002,0.035,0,0.039,0.008,0,0.014,0.007,0.014
"David Zencich","Muy buena",0.089,0.088,0.09,0.145,0.069,0.082,0.105,0.09,0.097,0.076,0.059,0.013,0.099,0.167,0.122,0.193
"David Zencich","Buena",0.104,0.093,0.116,0.072,0.094,0.065,0.214,0.059,0.143,0.12,0.176,0.091,0.068,0.022,0.206,0.066
"David Zencich","Ni buena ni mala",0.302,0.306,0.298,0.128,0.361,0.326,0.252,0.261,0.339,0.319,0.309,0.306,0.323,0.229,0.335,0.314
"David Zencich","Mala",0.137,0.135,0.139,0.145,0.134,0.118,0.171,0.095,0.181,0.146,0.089,0.048,0.164,0.272,0.105,0.288
"David Zencich","Muy mala",0.181,0.147,0.22,0.296,0.195,0.175,0.069,0.244,0.094,0.198,0.279,0.241,0.116,0.134,0.16,0.044
"David Zencich","No sabe",0.187,0.231,0.137,0.214,0.147,0.234,0.189,0.251,0.146,0.141,0.088,0.301,0.23,0.176,0.072,0.095
"Gustavo Menéndez","Muy buena",0.089,0.094,0.083,0.03,0.065,0.15,0.114,0.101,0.078,0.086,0.137,0.106,0.076,0.032,0.097,0.062
"Gustavo Menéndez","Buena",0.093,0.09,0.097,0,0.103,0.104,0.149,0.085,0.091,0.112,0.101,0.093,0.089,0.151,0.035,0.087
"Gustavo Menéndez","Ni buena ni mala",0.224,0.214,0.237,0.29,0.18,0.23,0.27,0.192,0.232,0.269,0.149,0.226,0.195,0.143,0.267,0.351
"Gustavo Menéndez","Mala",0.214,0.208,0.22,0.253,0.231,0.154,0.225,0.17,0.304,0.153,0.205,0.113,0.223,0.388,0.183,0.309
"Gustavo Menéndez","Muy mala",0.355,0.372,0.335,0.427,0.398,0.308,0.236,0.429,0.264,0.362,0.388,0.428,0.417,0.262,0.4,0.161
"Gustavo Menéndez","No sabe",0.025,0.022,0.028,0,0.023,0.054,0.006,0.023,0.031,0.018,0.02,0.034,0,0.024,0.018,0.03
"Karina Menéndez","Muy buena",0.065,0.06,0.071,0.038,0.072,0.079,0.047,0.06,0.063,0.077,0.12,0.088,0.013,0.015,0.042,0.066
"Karina Menéndez","Buena",0.111,0.106,0.115,0.073,0.096,0.119,0.163,0.122,0.101,0.105,0.031,0.145,0.136,0.063,0.121,0.126
"Karina Menéndez","Ni buena ni mala",0.271,0.258,0.286,0.301,0.231,0.276,0.341,0.209,0.312,0.316,0.276,0.269,0.265,0.269,0.225,0.326
