"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.448,0.323,0.286,0.226
"P05","Bastante",0.302,0.345,0.386,0.366
"P05","Poco",0.142,0.219,0.2,0.24
"P05","Nada",0.082,0.07,0.067,0.124
"P05","No sabe",0.026,0.043,0.061,0.044
"P06","Siempre",0.24,0.218,0.082,0.133
"P06","Casi siempre",0.277,0.34,0.375,0.286
"P06","Casi nunca",0.28,0.33,0.358,0.358
"P06","Nunca, pero esta es una excepción",0.203,0.112,0.185,0.223
"P10","Unidos para Cambiar misiones",0.282,0.217,0.343,0.159
"P10","Juntos Avancemos",0.25,0.304,0.197,0.254
"P10","De los liberales libertarios",0.346,0.313,0.244,0.176
"P10","De la Izquierda",0.014,0.008,0,0.002
"P10","Hacemos por nuestro país",0.03,0.048,0.032,0.024
"P10","En blanco",0.03,0.08,0.074,0.129
"P10","No sabe",0.048,0.03,0.11,0.256
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.323,0.301,0.318,0.342
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.238,0.257,0.24,0.102
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.376,0.337,0.256,0.12
"P13","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.027,0.019,0.132
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.025,0.007,0.024
"P13","En blanco",0.017,0.021,0.026,0.06
"P13","No sabe",0.015,0.032,0.134,0.22
"P16","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.533,0.385,0.228,0.249
"P16","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.153,0.338,0.205,0.068
"P16","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.194,0.173,0.419,0.055
"P16","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.052,0.05,0.01,0.433
"P16","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.022,0.002,0,0.012
"P16","No sabe",0.046,0.052,0.138,0.183
"P18","Tiene Decidido que va a ir a votar.",0.965,0.724,0.717,0.682
"P18","Tiene dudas sobre si va a ir a  votar",0.015,0.226,0.116,0.2
"P18","Tiene Decidido que no va a ir a votar",0.02,0.05,0.167,0.118
"P19","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.444,0.347,0.46,0.571
"P19","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.31,0.401,0.237,0.053
"P19","En blanco",0.149,0.143,0.104,0.19
"P19","No sabe",0.097,0.109,0.199,0.186
"P20","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.299,0.323,0.199,0.182
"P20","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.363,0.383,0.307,0.236
"P20","En blanco",0.188,0.093,0.31,0.191
"P20","No sabe",0.15,0.201,0.184,0.391
"P21","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.36,0.268,0.338,0.376
"P21","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.458,0.429,0.287,0.21
"P21","En blanco",0.106,0.152,0.248,0.104
"P21","No sabe",0.076,0.151,0.127,0.31
"P22","Si",0.436,0.307,0.334,0.255
"P22","No",0.564,0.693,0.666,0.745
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.337,0.307,0.362,0.404
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.238,0.259,0.24,0.14
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.377,0.348,0.31,0.24
"P13_imputada","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.027,0.019,0.132
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.021,0.025,0.017,0.024
"P13_imputada","En blanco",0.017,0.034,0.052,0.06
