"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P05","Mucho",0.473,0.383,0.383,0.117
"P05","Bastante",0.176,0.289,0.314,0.246
"P05","Poco",0.264,0.22,0.167,0.327
"P05","Nada",0.082,0.08,0.113,0.216
"P05","No sabe",0.005,0.028,0.023,0.094
"P06","Siempre",0.227,0.278,0.186,0.142
"P06","Casi siempre",0.23,0.241,0.335,0.254
"P06","Casi nunca",0.288,0.287,0.311,0.327
"P06","Nunca, pero esta es una excepción",0.255,0.194,0.168,0.277
"P08","Unión por la Patria",0.034,0.064,0.423,0.115
"P08","Juntos por el Cambio",0.702,0.605,0.114,0.16
"P08","De los Liberales libertarios",0.096,0.186,0.233,0.148
"P08","De la Izquierda",0.025,0,0.019,0
"P08","Hacemos por nuestro país",0.046,0.017,0.031,0.058
"P08","Otro",0.004,0.049,0.058,0.011
"P08","En blanco",0.043,0.044,0.051,0.017
"P08","No sabe",0.05,0.035,0.071,0.491
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.065,0.11,0.325,0.252
"P11","Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.084,0.036,0.09,0.083
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.029,0.025,0.091,0.027
"P11","Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.002,0.034,0.04,0
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.309,0.486,0.075,0.163
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.442,0.155,0.011,0.024
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.063,0.117,0.258,0.153
"P11","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0.006,0.015,0.013
"P11","Otros",0,0.003,0.042,0.016
"P11","No sabe",0.006,0.028,0.053,0.269
"P14","Sí",0.591,0.591,0.503,0.509
"P14","No",0.409,0.409,0.497,0.491
"P15","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.289,0.075,0.335,0.085
"P15","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0,0.036,0.188,0.073
"P15","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.233,0.408,0.111,0.185
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.32,0.212,0.026,0.109
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.141,0.249,0.173,0.184
"P15","Alguno de los candidatos a presidente y gobernador de la Izquierda",0,0,0.007,0.038
"P15","Otros",0.009,0.005,0.027,0.034
"P15","No sabe",0.008,0.015,0.133,0.292
"P18","Mariel Fernández a intendente por Unión por la Patria",0.266,0.22,0.491,0.183
"P18","Damián Contreras a intendente por Unión por la Patria",0.041,0.057,0.164,0.013
"P18","Giselle Agosttineli a intendente por Juntos por el Cambio",0.241,0.122,0.054,0.089
"P18","Aníbal Assef a intendente por Juntos por el Cambio",0.228,0.335,0.058,0.017
"P18","Andrea Vera a intendente por la Libertad Avanza",0.125,0.114,0.095,0.265
"P18","Alguno de los candidatos a intendente de la Izquierda",0,0.021,0.014,0.08
"P18","Otros",0.004,0.071,0.039,0.025
"P18","No sabe",0.095,0.06,0.085,0.328
"P21","Totalmente seguro.",0.778,0.651,0.633,0.186
"P21","Bastante seguro",0.118,0.223,0.178,0.194
"P21","Algo seguro",0.052,0.036,0.097,0.246
"P21","Para nada seguro",0.052,0.09,0.092,0.374
"P22","Tiene Decidido que va a ir a votar.",0.928,0.929,0.874,0.72
"P22","Tiene dudas sobre si va a ir a  votar",0.041,0.066,0.081,0.151
"P22","Tiene Decidido que no va a ir a votar",0.031,0.005,0.045,0.129
"P23","Lo votaría",0.271,0.098,0.416,0.336
"P23","Puede que lo vote",0.003,0.033,0.11,0.152
"P23","Nunca lo votaría",0.685,0.822,0.414,0.155
"P23","No sabe",0.041,0.047,0.06,0.357
"P24","Lo votaría",0.188,0.032,0.162,0.1
"P24","Puede que lo vote",0.041,0.056,0.158,0.079
"P24","Nunca lo votaría",0.741,0.867,0.621,0.344
"P24","No sabe",0.03,0.045,0.059,0.477
"P25","Lo votaría",0.171,0.068,0.201,0.078
"P25","Puede que lo vote",0.027,0.034,0.132,0.08
"P25","Nunca lo votaría",0.787,0.879,0.577,0.245
"P25","No sabe",0.015,0.019,0.09,0.597
"P26","Lo votaría",0.227,0.018,0.088,0.078
"P26","Puede que lo vote",0.015,0.017,0.123,0.006
"P26","Nunca lo votaría",0.743,0.924,0.723,0.31
"P26","No sabe",0.015,0.041,0.066,0.606
