"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernández","Asseff","Álvarez","Gómez"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.239,0.235,0.243,0.175,0.296,0.199,0.27,0.226,0.24,0.267,0.523,0.074,0.048,0.079
"Sergio Massa a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.07,0.073,0.067,0.061,0.07,0.079,0.078,0.063,0.078,0.066,0.085,0.043,0.078,0.044
"Juan Grabois a presidente, Axel Kicillof a gobernador y Mariel Fernández a intendente por Unión por la Patria",0.076,0.072,0.08,0.066,0.08,0.09,0.064,0.052,0.087,0.101,0.124,0.011,0.267,0.274
"Juan Grabois a presidente, Axel Kicillof a gobernador y Damián Contreras a intendente por Unión por la Patria",0.024,0.014,0.033,0.026,0.018,0.038,0.013,0.026,0.023,0.021,0.02,0.027,0,0.065
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Gisele Agosttineli a intendente por Juntos por el Cambio",0.152,0.172,0.132,0.096,0.114,0.24,0.273,0.196,0.114,0.155,0.07,0.367,0.407,0.079
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Anibal Assef a intendente por Juntos por el Cambio",0.093,0.085,0.1,0.079,0.11,0.083,0.085,0.066,0.105,0.119,0.032,0.238,0.05,0.078
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Andrea Vera a intendente por la Libertad Avanza",0.175,0.194,0.157,0.31,0.139,0.104,0.085,0.151,0.205,0.146,0.054,0.212,0.113,0.08
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.024,0.021,0.027,0.031,0.021,0.022,0.021,0.034,0.017,0.022,0.009,0.004,0,0.273
"Otros",0.035,0.044,0.027,0.035,0.046,0.025,0.013,0.034,0.031,0.048,0.035,0.011,0,0.018
"No sabe",0.112,0.09,0.134,0.121,0.106,0.12,0.098,0.152,0.1,0.055,0.048,0.013,0.037,0.01
