"var","categoria","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza","Al candidato del Frente de Izquierda","No sabe"
"P07","Del Frente de Todos y el peronismo",0.8,0.046,0.063,0.092,0.113
"P07","De Cambiemos",0.048,0.739,0.091,0.24,0.33
"P07","De los Liberales libertarios",0.033,0.129,0.747,0.112,0.2
"P07","De la Izquierda",0.017,0,0.015,0.337,0.023
"P07","No sabe",0.102,0.086,0.084,0.219,0.334
"P09","A Alberto Fernández",0.152,0.271,0.054,0,0.078
"P09","A Sergio Massa",0.139,0.079,0.624,0.181,0.202
"P09","A algún candidato del peronismo",0.083,0.412,0.178,0.102,0.209
"P09","A algún candidato del kirchnerismo",0.626,0.238,0.144,0.717,0.511
"P10","A Alberto Fernández",0.076,0.272,0.077,0,0.018
"P10","A Sergio Massa",0.072,0.079,0.162,0,0.202
"P10","A algún candidato del peronismo",0.052,0.607,0.101,0.102,0.177
"P10","A Cristina Fernández de Kirchner",0.8,0.042,0.66,0.898,0.603
"P11","A Horacio Rodriguez Larreta",0.469,0.164,0.332,0.059,0.356
"P11","A Patricia Bullrich",0.066,0.783,0.581,0.754,0.382
"P11","A Facundo Manes",0.412,0.03,0.043,0,0.139
"P11","A Gerardo Morales",0.053,0.023,0.044,0.187,0.123
"P12","Lo votaria",0.632,0.067,0.033,0,0.118
"P12","Puede que lo vote",0.14,0.176,0.135,0.346,0.162
"P12","Nunca lo votaría",0.082,0.655,0.594,0.447,0.505
"P12","No sabe",0.146,0.102,0.238,0.207,0.215
"P13","Lo votaria",0.105,0.338,0.06,0.081,0.089
"P13","Puede que lo vote",0.073,0.362,0.212,0.131,0.205
"P13","Nunca lo votaría",0.673,0.176,0.465,0.522,0.442
"P13","No sabe",0.149,0.124,0.263,0.266,0.264
"P14","Lo votaria",0.015,0.173,0.05,0.107,0.018
"P14","Puede que lo vote",0.079,0.199,0.123,0.104,0.126
"P14","Nunca lo votaría",0.546,0.252,0.382,0.324,0.437
"P14","No sabe",0.36,0.376,0.445,0.465,0.419
"P15","Lo votaria",0.034,0.045,0.045,0,0.018
"P15","Puede que lo vote",0.163,0.123,0.08,0.149,0.098
"P15","Nunca lo votaría",0.446,0.475,0.441,0.276,0.456
"P15","No sabe",0.357,0.357,0.434,0.575,0.428
"P16","Lo votaria",0.032,0.058,0.01,0,0.028
"P16","Puede que lo vote",0.051,0.115,0.086,0.043,0.045
"P16","Nunca lo votaría",0.508,0.392,0.43,0.199,0.497
"P16","No sabe",0.409,0.435,0.474,0.758,0.43
"P17","Lo votaria",0.023,0.069,0.035,0.043,0.01
"P17","Puede que lo vote",0.035,0.109,0.095,0.017,0.066
"P17","Nunca lo votaría",0.567,0.416,0.383,0.262,0.468
"P17","No sabe",0.375,0.406,0.487,0.678,0.456
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.727,0.03,0.011,0.031,0.054
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.091,0.036,0.026,0.01,0.025
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.057,0.26,0.113,0.01,0.233
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.032,0.533,0.131,0.335,0.075
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0,0.063,0.052,0,0.033
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.051,0.045,0.11,0.112,0.14
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.025,0.019,0.521,0.151,0.09
"P18","Al candidato del Frente de Izquierda",0.008,0,0.007,0.309,0.021
"P18","No sabe",0.009,0.014,0.029,0.042,0.329
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.647,0.009,0.03,0.075,0.071
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.123,0.034,0.042,0.095,0.039
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.012,0.262,0.069,0.025,0.158
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.01,0.575,0.054,0.27,0.064
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.02,0.061,0.759,0.13,0.11
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.04,0.003,0.004,0.33,0.041
"P19","No sabe",0.148,0.056,0.042,0.075,0.517
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.883,0.04,0.032,0.033,0.073
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.014,0.732,0.087,0.069,0.163
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.027,0.078,0.75,0,0.075
"P20","Al candidato del Frente de Izquierda",0.01,0.065,0.008,0.865,0.034
"P20","No sabe",0.066,0.085,0.123,0.033,0.655
