"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No lo conozco","No sabe"
"P05","Del Frente de Todos y el peronismo",0.336,0.312,0.23,0.193,0.228,0.177,0.184
"P05","De Juntos por el cambio",0.171,0.271,0.235,0.248,0.247,0.129,0.152
"P05","De los Liberales libertarios",0.108,0.182,0.153,0.224,0.265,0.158,0.163
"P05","De la Izquierda",0.3,0.095,0.05,0.041,0.081,0.026,0.029
"P05","No sabe",0.085,0.14,0.332,0.294,0.179,0.51,0.472
"P06","A Alberto Fernández",0.684,0.337,0.183,0.474,0.269,0.34,0.419
"P06","A Sergio Massa",0.115,0.024,0.124,0.202,0.059,0.135,0.145
"P06","A algún candidato del peronismo",0.091,0.258,0.278,0.108,0.251,0.175,0.243
"P06","A algún candidato del kirchnerismo",0.11,0.381,0.415,0.216,0.421,0.35,0.193
"P07","A Alberto Fernández",0.756,0.313,0.086,0.331,0.409,0.426,0.419
"P07","A Sergio Massa",0,0.038,0.124,0.138,0.059,0.02,0.145
"P07","A algún candidato del peronismo",0.033,0.11,0.137,0.111,0.042,0.02,0
"P07","A Cristina Fernández de Kirchner",0.211,0.539,0.653,0.42,0.49,0.534,0.436
"P08","A Horacio Rodriguez Larreta",0.468,0.099,0.254,0.302,0.429,0.09,0.656
"P08","A Mauricio Macri",0.434,0.645,0.247,0.3,0.252,0.476,0.344
"P08","A Patricia Bullrich",0.098,0.256,0.339,0.25,0.253,0.413,0
"P08","A Facundo Manes",0,0,0,0.044,0.006,0.008,0
"P08","A Gerardo Morales",0,0,0.16,0.104,0.06,0.013,0
"P09","Marcos Koopmann a gobernador y Ana Pechén a vicegobernadora por el Movimiento Nacional Neuquino",0.121,0.104,0.258,0.3,0.238,0.29,0.074
"P09","“Rolo” Figueroa a gobernador y Gloria Ruiz a vicegobernadora por el Comunidad y el Frente Neuquinizate",0.332,0.354,0.281,0.34,0.294,0.254,0.143
"P09","Ramón Rioseco a gobernador y Ayelén Gutiérrez a vicegobernadora por el Frente de Todos Neuquino",0.12,0.153,0.147,0.065,0.145,0.111,0.262
"P09","Pablo Cervi a gobernador y Jorge Taylor a vicegobernador por Juntos por el Cambio Neuquén",0.099,0.218,0.089,0.076,0.063,0.039,0.026
"P09","Carlos Eguía a gobernador y Catalina Uleri a vicegobernadora por Cumplir",0.134,0.052,0.122,0.165,0.14,0.094,0.073
"P09","Patricia Jure a gobernadora y Raúl Godoy a vicegobernador por el Frente de Izquierda Unidad",0.156,0.081,0.013,0.002,0.034,0.025,0.014
"P09","No sabe",0.038,0.038,0.09,0.052,0.086,0.187,0.408
"P10","A Marcos Koopmann por el Movimiento Popular Neuquino con el apoyo de Jorge Sapag",0.049,0.221,0.308,0.337,0.224,0.257,0.27
"P10","A “Rolo” Figueroa por Comunidad y el Frente Neuquinizate con el apoyo del PRO, parte de la UCR, el Frente Grande y sectores del PJ",0.386,0.35,0.294,0.323,0.246,0.247,0.15
"P10","A Ramón Rioseco por el Frente de Todos Neuquino con el apoyo del PJ, Cristina Fernández de Kirchner y Libres del Sur",0.145,0.102,0.135,0.07,0.121,0.106,0.162
