"var","categoria","Muy de acuerdo","De acuerdo","Ni de acuerdo ni en desacuerdo","En desacuerdo","Muy en desacuerdo","No sabe"
"P09","Siempre",0.255,0.284,0.279,0.228,0.242,0.392
"P09","Casi siempre",0.259,0.381,0.439,0.408,0.363,0.344
"P09","Casi nunca",0.389,0.21,0.199,0.227,0.31,0.06
"P09","Nunca, pero esta es una excepción",0.097,0.125,0.083,0.137,0.085,0.204
"P10","Muy buena",0.155,0.176,0.284,0.136,0.125,0.123
"P10","Buena",0.226,0.372,0.215,0.227,0.214,0.079
"P10","Ni buena ni mala",0.403,0.329,0.348,0.527,0.433,0.447
"P10","Mala",0.116,0.085,0.061,0.086,0.116,0.147
"P10","Muy mala",0.064,0.015,0.082,0.014,0.027,0.097
"P10","No sabe",0.036,0.023,0.01,0.01,0.085,0.107
"P11","Muy buena",0.216,0.214,0.307,0.294,0.199,0.332
"P11","Buena",0.311,0.429,0.221,0.318,0.288,0.104
"P11","Ni buena ni mala",0.299,0.277,0.393,0.282,0.352,0.374
"P11","Mala",0.096,0.052,0.015,0.092,0.071,0
"P11","Muy mala",0.063,0.011,0.049,0.005,0.063,0
"P11","No sabe",0.015,0.017,0.015,0.009,0.027,0.19
"P12","Muy de acuerdo",0.149,0.109,0.118,0.104,0.152,0.035
"P12","De acuerdo",0.147,0.328,0.242,0.28,0.136,0.306
"P12","Ni de acuerdo ni en desacuerdo",0.363,0.377,0.342,0.404,0.27,0.291
"P12","En desacuerdo",0.093,0.051,0.082,0.085,0.087,0.034
"P12","Muy en desacuerdo",0.134,0.004,0.115,0.009,0.044,0
"P12","No sabe",0.114,0.131,0.101,0.118,0.311,0.334
"P15","Mantenerla como en la actualidad aunque tenga que endeudarse la provincia",0.197,0.172,0.174,0.404,0.472,0
"P15","Negociar un nuevo acuerdo salarial qué pueda pagarse con los recursos de la provincia",0.396,0.611,0.59,0.385,0.367,0.477
"P15","Anularlo, porque es un privilegio que solo tienen los empleados estatales",0.305,0.148,0.165,0.134,0.044,0.141
"P15","No sabe",0.102,0.069,0.071,0.077,0.117,0.382
"P16","Muy de acuerdo",0.155,0.048,0.199,0.176,0.162,0.123
"P16","De acuerdo",0.107,0.232,0.246,0.17,0.087,0.096
"P16","Ni de acuerdo ni en desacuerdo",0.205,0.295,0.32,0.299,0.351,0.3
"P16","En desacuerdo",0.364,0.248,0.111,0.322,0.268,0.106
"P16","Muy en desacuerdo",0.156,0.095,0.101,0.016,0.092,0
"P16","No sabe",0.013,0.082,0.023,0.017,0.04,0.375
"P17","Si",0.134,0.135,0.33,0.522,0.607,0.213
"P17","No",0.778,0.747,0.474,0.183,0.165,0.294
"P17","No sabe",0.088,0.118,0.196,0.295,0.228,0.493
"P18","Proteger sus derechos ancestrales",0.099,0.136,0.245,0.366,0.331,0.35
"P18","Iniciar un proceso de negociación con la partes del conflicto",0.169,0.338,0.262,0.306,0.461,0.168
"P18","Exigir el desalojo del predio e iniciar luego un proceso de negociación",0.262,0.248,0.374,0.176,0.14,0.122
"P18","No negociar con usurpadores y proceder al desalojo de la propiedad",0.457,0.231,0.073,0.121,0.039,0.147
"P18","No sabe",0.013,0.047,0.046,0.031,0.029,0.213
"P19","Muy de acuerdo",0.558,0.348,0.405,0.422,0.385,0.043
"P19","De acuerdo",0.199,0.278,0.281,0.297,0.372,0.243
"P19","Ni de acuerdo ni en desacuerdo",0.105,0.217,0.235,0.144,0.116,0.088
"P19","En desacuerdo",0.092,0.05,0.021,0.052,0.035,0.155
"P19","Muy en desacuerdo",0.03,0.099,0.014,0.029,0.039,0.399
"P19","No sabe",0.016,0.008,0.044,0.056,0.053,0.072
"P20","Si",0.604,0.518,0.666,0.679,0.573,0.255
"P20","No",0.232,0.226,0.125,0.129,0.139,0.07
"P20","No sabe",0.164,0.256,0.209,0.192,0.288,0.675
"P21","Si",0.425,0.353,0.435,0.478,0.406,0.361
"P21","No",0.281,0.322,0.088,0.172,0.184,0
"P21","No sabe",0.294,0.325,0.477,0.35,0.41,0.639
"P25","Muy de acuerdo",0.871,0.056,0.097,0,0.002,0
"P25","De acuerdo",0.101,0.75,0.096,0.007,0.002,0.045
"P25","Ni de acuerdo ni en desacuerdo",0.007,0.121,0.577,0.081,0.046,0.234
"P25","En desacuerdo",0.006,0.047,0.173,0.753,0.018,0
"P25","Muy en desacuerdo",0,0.019,0.057,0.156,0.923,0.244
"P25","No sabe",0.015,0.007,0,0.003,0.009,0.477
"P26","Muy buena",0.208,0.188,0.229,0.212,0.201,0.253
"P26","Buena",0.257,0.416,0.206,0.295,0.248,0.157
"P26","Ni buena ni mala",0.352,0.293,0.484,0.324,0.368,0.309
"P26","Mala",0.101,0.067,0.036,0.145,0.078,0.124
"P26","Muy mala",0.052,0.013,0.042,0.018,0.097,0
