"var","categoria","Si","No","No sabe"
"P08","Siempre",0.274,0.203,0.175
"P08","Casi siempre",0.324,0.449,0.334
"P08","Casi nunca",0.27,0.278,0.331
"P08","Nunca, pero esta es una excepción",0.132,0.07,0.16
"P09","Muy buena",0.292,0.143,0.097
"P09","Buena",0.278,0.187,0.186
"P09","Ni buena ni mala",0.294,0.323,0.534
"P09","Mala",0.104,0.237,0.148
"P09","Muy mala",0.015,0.085,0.013
"P09","No sabe",0.017,0.025,0.022
"P10","Muy buena",0.352,0.174,0.142
"P10","Buena",0.329,0.236,0.336
"P10","Ni buena ni mala",0.233,0.263,0.344
"P10","Mala",0.056,0.208,0.098
"P10","Muy mala",0.01,0.097,0.055
"P10","No sabe",0.02,0.022,0.025
"P11","Muy de acuerdo",0.372,0.057,0.017
"P11","De acuerdo",0.288,0.159,0.294
"P11","Ni de acuerdo ni en desacuerdo",0.239,0.25,0.504
"P11","En desacuerdo",0.031,0.242,0.017
"P11","Muy en desacuerdo",0.005,0.167,0.011
"P11","No sabe",0.065,0.125,0.157
"P12","Muy buena",0.39,0.053,0.051
"P12","Buena",0.373,0.123,0.226
"P12","Ni buena ni mala",0.171,0.155,0.518
"P12","Mala",0.046,0.379,0.094
"P12","Muy mala",0.015,0.258,0.009
"P12","No sabe",0.005,0.032,0.102
"P13","Muy buena",0.381,0.05,0.033
"P13","Buena",0.349,0.093,0.308
"P13","Ni buena ni mala",0.224,0.161,0.533
"P13","Mala",0.036,0.4,0.086
"P13","Muy mala",0.009,0.265,0.008
"P13","No sabe",0.001,0.031,0.032
"P14","Muy de acuerdo",0.306,0.066,0.085
"P14","De acuerdo",0.167,0.057,0.11
"P14","Ni de acuerdo ni en desacuerdo",0.314,0.246,0.44
"P14","En desacuerdo",0.13,0.363,0.247
"P14","Muy en desacuerdo",0.065,0.249,0.068
"P14","No sabe",0.018,0.019,0.05
"P15","Muy de acuerdo",0.485,0.257,0.3
"P15","De acuerdo",0.261,0.195,0.273
"P15","Ni de acuerdo ni en desacuerdo",0.133,0.25,0.316
"P15","En desacuerdo",0.086,0.161,0.107
"P15","Muy en desacuerdo",0.031,0.134,0.002
"P15","No sabe",0.004,0.003,0.002
"P16","Si",0.585,0.39,0.312
"P16","No",0.23,0.418,0.252
"P16","No sabe",0.185,0.192,0.436
"P17","Muy de acuerdo",0.441,0.314,0.29
"P17","De acuerdo",0.284,0.212,0.225
"P17","Ni de acuerdo ni en desacuerdo",0.174,0.196,0.299
"P17","En desacuerdo",0.064,0.134,0.085
"P17","Muy en desacuerdo",0.032,0.067,0.028
"P17","No sabe",0.005,0.077,0.073
"P18","Muy de acuerdo",0.253,0.101,0.073
"P18","De acuerdo",0.262,0.171,0.197
"P18","Ni de acuerdo ni en desacuerdo",0.285,0.237,0.494
"P18","En desacuerdo",0.129,0.3,0.118
"P18","Muy en desacuerdo",0.052,0.135,0.013
"P18","No sabe",0.019,0.056,0.105
"P19","Muy de acuerdo",0.362,0.179,0.171
"P19","De acuerdo",0.23,0.168,0.151
"P19","Ni de acuerdo ni en desacuerdo",0.2,0.209,0.372
"P19","En desacuerdo",0.138,0.259,0.134
"P19","Muy en desacuerdo",0.054,0.161,0.061
"P19","No sabe",0.016,0.024,0.111
"P20","Autoritaria",0.467,0.226,0.318
"P20","Inexperta negociando",0.218,0.092,0.175
"P20","Indecisa",0.1,0.031,0.166
"P20","Prudente",0.077,0.192,0.112
"P20","Hábil negociando",0.037,0.126,0.065
"P20","Firme y decidido",0.101,0.333,0.164
"P21","Si",0.735,0.397,0.419
"P21","No",0.121,0.411,0.107
"P21","No sabe",0.144,0.192,0.474
"P22","Si",0.639,0.285,0.225
"P22","No",0.141,0.456,0.143
"P22","No sabe",0.22,0.259,0.632
"P24","Si",0.59,0.038,0.03
"P24","No",0.192,0.865,0.15
"P24","No sabe",0.218,0.097,0.82
"P25","Muy de acuerdo",0.332,0.52,0.184
"P25","De acuerdo",0.146,0.165,0.167
"P25","Ni de acuerdo ni en desacuerdo",0.124,0.121,0.282
"P25","En desacuerdo",0.164,0.055,0.159
"P25","Muy en desacuerdo",0.232,0.126,0.204
"P25","No sabe",0.002,0.013,0.004
"P26","Muy de acuerdo",0.341,0.533,0.245
"P26","De acuerdo",0.1,0.135,0.199
"P26","Ni de acuerdo ni en desacuerdo",0.119,0.114,0.114
"P26","En desacuerdo",0.182,0.054,0.194
"P26","Muy en desacuerdo",0.257,0.142,0.19
"P26","No sabe",0.001,0.022,0.058
"P27","Muy buena",0.321,0.157,0.128
"P27","Buena",0.299,0.175,0.226
"P27","Ni buena ni mala",0.223,0.355,0.388
"P27","Mala",0.099,0.188,0.199
"P27","Muy mala",0.045,0.12,0.027
"P27","No sabe",0.013,0.005,0.032
"P28","Muy buena",0.368,0.018,0.011
"P28","Buena",0.366,0.098,0.216
"P28","Ni buena ni mala",0.164,0.143,0.618
"P28","Mala",0.082,0.421,0.106
"P28","Muy mala",0.017,0.316,0.002
"P28","No sabe",0.003,0.004,0.047
"P29","Muy buena",0.249,0.001,0.068
"P29","Buena",0.227,0.074,0.178
"P29","Ni buena ni mala",0.196,0.149,0.453
"P29","Mala",0.207,0.368,0.226
"P29","Muy mala",0.107,0.403,0.039
"P29","No sabe",0.014,0.005,0.036
"P30","Muy buena",0.216,0.008,0.109
"P30","Buena",0.148,0.053,0.082
"P30","Ni buena ni mala",0.366,0.355,0.529
"P30","Mala",0.196,0.259,0.145
"P30","Muy mala",0.049,0.3,0.076
"P30","No sabe",0.025,0.025,0.059
"P31","Muy buena",0.214,0.052,0.127
"P31","Buena",0.15,0.06,0.127
"P31","Ni buena ni mala",0.301,0.237,0.422
"P31","Mala",0.175,0.306,0.158
"P31","Muy mala",0.154,0.336,0.115
"P31","No sabe",0.006,0.009,0.051
"P32","Muy buena",0.349,0.114,0.22
"P32","Buena",0.091,0.027,0.091
"P32","Ni buena ni mala",0.089,0.068,0.17
"P32","Mala",0.165,0.21,0.206
"P32","Muy mala",0.282,0.579,0.294
"P32","No sabe",0.024,0.002,0.019
"P33","Muy buena",0.154,0.208,0.1
"P33","Buena",0.109,0.203,0.145
"P33","Ni buena ni mala",0.139,0.196,0.198
"P33","Mala",0.217,0.192,0.258
"P33","Muy mala",0.346,0.196,0.274
"P33","No sabe",0.035,0.005,0.025
"P34","Muy buena",0.234,0.069,0.138
"P34","Buena",0.207,0.114,0.132
"P34","Ni buena ni mala",0.113,0.062,0.271
"P34","Mala",0.154,0.169,0.158
"P34","Muy mala",0.253,0.586,0.281
"P34","No sabe",0.039,0,0.02
"P35","Muy buena",0.321,0.428,0.219
"P35","Buena",0.1,0.165,0.107
"P35","Ni buena ni mala",0.078,0.078,0.283
"P35","Mala",0.214,0.1,0.064
"P35","Muy mala",0.287,0.222,0.308
"P35","No sabe",0,0.007,0.019
