"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad","opciones"
"Muy buena",0.155,0.177,0.13,0.227,0.127,0.098,0.176,0.197,0.152,0.11,0.227,0.104,0.051,0.17,0.188,0.138,0.181,0.131,6
"Buena",0.249,0.25,0.248,0.195,0.283,0.247,0.272,0.175,0.316,0.223,0.252,0.367,0.186,0.208,0.221,0.27,0.206,0.288,6
"Ni buena ni mala",0.388,0.391,0.385,0.38,0.373,0.446,0.356,0.376,0.377,0.42,0.349,0.39,0.488,0.283,0.411,0.379,0.385,0.39,6
"Mala",0.132,0.116,0.149,0.124,0.141,0.156,0.071,0.16,0.097,0.158,0.122,0.079,0.185,0.236,0.126,0.139,0.157,0.11,6
"Muy mala",0.052,0.055,0.049,0.068,0.046,0.04,0.053,0.051,0.044,0.068,0.035,0.046,0.054,0.097,0.038,0.05,0.051,0.054,6
"No sabe",0.024,0.011,0.039,0.006,0.03,0.013,0.072,0.041,0.014,0.021,0.015,0.014,0.036,0.006,0.016,0.024,0.02,0.027,6
"Positiva",0.404,0.427,0.378,0.422,0.41,0.345,0.448,0.372,0.468,0.333,0.479,0.471,0.237,0.378,0.409,0.408,0.387,0.419,4
"Neutra",0.388,0.391,0.385,0.38,0.373,0.446,0.356,0.376,0.377,0.42,0.349,0.39,0.488,0.283,0.411,0.379,0.385,0.39,4
"Negativa",0.184,0.171,0.198,0.192,0.187,0.196,0.124,0.211,0.141,0.226,0.157,0.125,0.239,0.333,0.164,0.189,0.208,0.164,4
"No sabe",0.024,0.011,0.039,0.006,0.03,0.013,0.072,0.041,0.014,0.021,0.015,0.014,0.036,0.006,0.016,0.024,0.02,0.027,4
