"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P08","Empleado sector publico",0.317,0.187,0.255,0.045
"P08","Empleado sector privado",0.281,0.296,0.23,0.174
"P08","Changas o trabajos eventuales",0.176,0.196,0.217,0.262
"P08","Estudiante",0.023,0.034,0.063,0.051
"P08","Amas de casa",0.06,0.086,0.039,0.174
"P08","Profesional o independiente",0.058,0.077,0.07,0.06
"P08","Comerciante, emprendedor o empresario",0.027,0.048,0.04,0.1
"P08","Trabajador informal",0.016,0.015,0.013,0.01
"P08","No tengo trabajo",0.042,0.061,0.073,0.124
"P09","Siempre",0.258,0.162,0.195,0.142
"P09","Casi siempre",0.376,0.329,0.259,0.209
"P09","Casi nunca",0.276,0.362,0.335,0.202
"P09","Nunca, pero esta es una excepción",0.09,0.147,0.211,0.447
"P10","Positiva",0.698,0.113,0.066,0.103
"P10","Neutra",0.244,0.715,0.188,0.16
"P10","Negativa",0.05,0.152,0.745,0.197
"P10","No sabe",0.008,0.02,0.001,0.54
"P13","Positiva",0.871,0.108,0.054,0.116
"P13","Neutra",0.109,0.768,0.102,0.075
"P13","Negativa",0.01,0.116,0.833,0.101
"P13","No sabe",0.01,0.008,0.011,0.708
"P14","Positiva",0.636,0.157,0.092,0.095
"P14","Neutra",0.17,0.546,0.092,0.092
"P14","Negativa",0.166,0.245,0.796,0.253
"P14","No sabe",0.028,0.052,0.02,0.56
"P15","Positiva",0.571,0.213,0.091,0.091
"P15","Neutra",0.286,0.453,0.147,0.115
"P15","Negativa",0.118,0.26,0.728,0.176
"P15","No sabe",0.025,0.074,0.034,0.618
"P16","Positiva",0.584,0.247,0.149,0.079
"P16","Neutra",0.23,0.419,0.099,0.09
"P16","Negativa",0.176,0.263,0.732,0.147
"P16","No sabe",0.01,0.071,0.02,0.684
"P17","Positiva",0.539,0.198,0.151,0.087
"P17","Neutra",0.145,0.37,0.064,0.053
"P17","Negativa",0.308,0.4,0.77,0.355
"P17","No sabe",0.008,0.032,0.015,0.505
"P18","Positiva",0.636,0.342,0.356,0.226
"P18","Neutra",0.116,0.274,0.088,0.107
"P18","Negativa",0.231,0.364,0.544,0.272
"P18","No sabe",0.017,0.02,0.012,0.395
"P20","Positiva",0.468,0.175,0.121,0.028
"P20","Neutra",0.318,0.43,0.128,0.057
"P20","Negativa",0.183,0.301,0.716,0.16
"P20","No sabe",0.031,0.094,0.035,0.755
"P21","Si",0.737,0.262,0.119,0.084
"P21","No",0.171,0.259,0.752,0.189
"P21","No sabe",0.092,0.479,0.129,0.727
"P23","Gobierno nacional",0.428,0.221,0.128,0.219
"P23","Gobierno provincial",0.429,0.55,0.803,0.253
"P23","No sabe",0.143,0.229,0.069,0.528
"P24","El gobierno anterior de Omar Gutierrez",0.402,0.413,0.48,0.21
"P24","El actual gobierno de Rolo Figueroa",0.293,0.158,0.3,0.03
"P24","No sabe",0.305,0.429,0.22,0.76
"P25","El gobierno anterior de Alberto Fernández",0.496,0.384,0.528,0.498
"P25","El actual gobierno de Javier Milei",0.412,0.455,0.407,0.502
"P25","No sabe",0.092,0.161,0.065,0
"P26","Si",0.804,0.81,0.809,0.603
"P26","No",0.196,0.19,0.191,0.397
"P27","Si",0.371,0.237,0.255,0.081
"P27","No estoy seguro",0.411,0.466,0.393,0.123
"P27","No",0.097,0.199,0.256,0.291
"P27","No sabe",0.121,0.098,0.096,0.505
"P28","Espionaje por medio del Monitoreo de telecomunicaciones satelitales",0.193,0.304,0.305,0.269
"P28","Investigaciones científicas no declaradas con fines secretos",0.367,0.202,0.209,0.046
"P28","Prestar servicios de comunicación y posicionamiento global al ejército Chino",0.121,0.15,0.243,0.076
"P28","Otro",0.094,0.123,0.095,0.142
"P28","No sabe",0.225,0.221,0.148,0.467
"P29","Es imposible",0.313,0.238,0.384,0.252
"P29","Es muy difícil",0.313,0.28,0.264,0.089
"P29","Es bastante factible",0.111,0.157,0.124,0.003
"P29","Es posible",0.173,0.158,0.174,0.158
"P29","No sabe",0.09,0.167,0.054,0.498
"P30","Si",0.398,0.385,0.608,0.204
"P30","Es probable",0.246,0.189,0.145,0.219
"P30","No",0.246,0.263,0.163,0.277
"P30","No sabe",0.11,0.163,0.084,0.3
"P31","De acuerdo",0.559,0.475,0.654,0.292
"P31","Ni de acuerdo ni en desacuerdo",0.224,0.19,0.121,0.138
"P31","En desacuerdo",0.158,0.248,0.201,0.127
"P31","No sabe",0.059,0.087,0.024,0.443
"P32","Si",0.764,0.589,0.636,0.411
"P32","No",0.145,0.175,0.241,0.037
"P32","No sabe",0.091,0.236,0.123,0.552
"P33","Muy de acuerdo",0.209,0.159,0.412,0.037
"P33","De acuerdo",0.241,0.163,0.205,0.005
"P33","Ni de acuerdo ni en desacuerdo",0.113,0.23,0.134,0.206
"P33","En desacuerdo",0.361,0.348,0.208,0.311
"P33","Muy en desacuerdo",0.056,0.089,0.041,0.179
"P33","No sabe",0.02,0.011,0,0.262
"P34","Si",0.676,0.672,0.76,0.255
"P34","No",0.324,0.328,0.24,0.745
"P35","Muy de acuerdo",0.266,0.133,0.36,0.06
"P35","De acuerdo",0.268,0.155,0.227,0.05
"P35","Ni de acuerdo ni en desacuerdo",0.123,0.24,0.107,0.191
"P35","En desacuerdo",0.26,0.288,0.199,0.258
"P35","Muy en desacuerdo",0.074,0.182,0.107,0.274
"P35","No sabe",0.009,0.002,0,0.167
"P36","1-Excelente",0.302,0.161,0.174,0.204
"P36","2",0.156,0.099,0.059,0.219
"P36","3",0.052,0.069,0.067,0.07
"P36","4",0.046,0.077,0.029,0.025
"P36","5",0.201,0.185,0.059,0
"P36","6",0.033,0.042,0.013,0
"P36","7",0.037,0.047,0.015,0
"P36","8",0.035,0.015,0.036,0
"P36","9-Pésimo",0.075,0.181,0.481,0.064
"P36","No sabe",0.063,0.124,0.067,0.418
"P37","1-Excelente",0.224,0.116,0.157,0.202
"P37","2",0.171,0.113,0.072,0.118
"P37","3",0.059,0.077,0.038,0.008
"P37","4",0.068,0.085,0.07,0.194
"P37","5",0.227,0.176,0.03,0
"P37","6",0.066,0.079,0.07,0.147
"P37","7",0.047,0.051,0.033,0
"P37","8",0.023,0.057,0.038,0
"P37","9-Pésimo",0.066,0.179,0.437,0.126
"P37","No sabe",0.049,0.067,0.055,0.205
"P38","1-Excelente",0.24,0.147,0.156,0.054
"P38","2",0.153,0.117,0.058,0.06
"P38","3",0.061,0.103,0.05,0.033
"P38","4",0.073,0.084,0.06,0.326
"P38","5",0.172,0.148,0.05,0.026
"P38","6",0.057,0.07,0.074,0.082
"P38","7",0.081,0.028,0.046,0
"P38","8",0.033,0.05,0.023,0.01
"P38","9-Pésimo",0.069,0.159,0.418,0.054
"P38","No sabe",0.061,0.094,0.065,0.355
"P39","1-Excelente",0.239,0.138,0.123,0.104
"P39","2",0.145,0.123,0.082,0.051
"P39","3",0.087,0.093,0.025,0.218
"P39","4",0.086,0.06,0.091,0.031
"P39","5",0.184,0.18,0.056,0.11
"P39","6",0.051,0.073,0.042,0.049
"P39","7",0.044,0.059,0.033,0.01
"P39","8",0.043,0.028,0.041,0
"P39","9-Pésimo",0.065,0.162,0.434,0.071
"P39","No sabe",0.056,0.084,0.073,0.356
"P40","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.504,0.386,0.26,0.128
"P40","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.218,0.222,0.104,0.057
"P40","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.13,0.218,0.306,0.116
"P40","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.091,0.121,0.304,0.188
"P40","No sabe",0.057,0.053,0.026,0.511
"P41","Oponerse totalmente y no concurrir a la convocatoria",0.395,0.367,0.233,0.101
"P41","Oponerse parcialmente y concurrir a la convocatoria",0.221,0.156,0.11,0.083
"P41","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.269,0.27,0.329,0.328
