"var","categoria","Oponerse totalmente","Oponerse parcialmente","Apoyar parcialmente","Apoyar totalmente","No sabe"
"P08","Empleado sector publico",0.447,0.222,0.245,0.147,0.163
"P08","Empleado sector privado",0.207,0.448,0.256,0.361,0.268
"P08","Changas o trabajos eventuales",0.167,0.106,0.241,0.218,0.276
"P08","Estudiante",0.048,0.06,0.018,0.04,0
"P08","Amas de casa",0.052,0.046,0.07,0.023,0.046
"P08","Profesional o independiente",0.026,0.046,0.058,0.087,0.013
"P08","Comerciante, emprendedor o empresario",0.027,0.02,0.047,0.057,0.139
"P08","Trabajador informal",0.011,0.005,0.004,0.01,0
"P08","No tengo trabajo",0.015,0.047,0.061,0.057,0.095
"P09","Siempre",0.381,0.171,0.152,0.183,0.095
"P09","Casi siempre",0.277,0.508,0.387,0.326,0.166
"P09","Casi nunca",0.268,0.158,0.358,0.363,0.375
"P09","Nunca, pero esta es una excepción",0.074,0.163,0.103,0.128,0.364
"P10","Muy buena",0.318,0.152,0.191,0.04,0.221
"P10","Buena",0.147,0.342,0.233,0.213,0.108
"P10","Ni buena ni mala",0.374,0.306,0.379,0.314,0.206
"P10","Mala",0.13,0.126,0.155,0.169,0.191
"P10","Muy mala",0.031,0.012,0.033,0.227,0.033
"P10","No sabe",0,0.062,0.009,0.037,0.241
"P11","Muy buena",0.305,0.138,0.263,0.083,0.166
"P11","Buena",0.212,0.448,0.267,0.201,0.153
"P11","Ni buena ni mala",0.325,0.245,0.28,0.299,0.199
"P11","Mala",0.09,0.069,0.155,0.213,0.259
"P11","Muy mala",0.055,0.031,0.034,0.18,0.004
"P11","No sabe",0.013,0.069,0.001,0.024,0.219
"P13","Muy buena",0.294,0.21,0.267,0.049,0.006
"P13","Buena",0.22,0.39,0.222,0.217,0.227
"P13","Ni buena ni mala",0.307,0.245,0.321,0.3,0.293
"P13","Mala",0.136,0.087,0.154,0.19,0.121
"P13","Muy mala",0.042,0.007,0.035,0.22,0.134
"P13","No sabe",0.001,0.061,0.001,0.024,0.219
"P14","Muy buena",0.265,0.068,0.108,0.021,0.116
"P14","Buena",0.161,0.322,0.113,0.14,0.052
"P14","Ni buena ni mala",0.265,0.279,0.237,0.234,0.186
"P14","Mala",0.157,0.166,0.426,0.286,0.16
"P14","Muy mala",0.111,0.101,0.114,0.319,0.213
"P14","No sabe",0.041,0.064,0.002,0,0.273
"P15","Muy buena",0.238,0.079,0.143,0.057,0.166
"P15","Buena",0.155,0.303,0.094,0.103,0.131
"P15","Ni buena ni mala",0.309,0.311,0.402,0.306,0.157
"P15","Mala",0.135,0.104,0.27,0.186,0.297
"P15","Muy mala",0.12,0.127,0.077,0.312,0.025
"P15","No sabe",0.043,0.076,0.014,0.036,0.224
"P16","Muy buena",0.341,0.061,0.159,0.073,0.067
"P16","Buena",0.178,0.366,0.107,0.142,0.237
