"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P05","Mucho",0.37,0.165,0.391,0.085
"P05","Bastante",0.347,0.159,0.214,0.18
"P05","Poco",0.084,0.25,0.137,0.165
"P05","Nada",0.126,0.378,0.228,0.309
"P05","No sabe",0.073,0.048,0.03,0.261
"P06","Norma Sepulveda por el MPN",0.346,0.412,0.233,0.245
"P06","Walter Erdozain por el Frente Provincial",0.311,0.153,0.084,0.044
"P06","No sabe",0.343,0.435,0.683,0.711
"P08","Lo votaría",0.388,0.39,0.175,0.204
"P08","Puede que lo vote",0.195,0.101,0.113,0.103
"P08","Nunca lo votaría",0.338,0.346,0.581,0.097
"P08","No sabe",0.079,0.163,0.131,0.596
"P09","Lo votaría",0.334,0.166,0.046,0.107
"P09","Puede que lo vote",0.225,0.219,0.093,0.177
"P09","Nunca lo votaría",0.257,0.343,0.687,0.096
"P09","No sabe",0.184,0.272,0.174,0.62
"P11","Positiva",0.524,0.305,0.239,0.351
"P11","Neutra",0.243,0.4,0.031,0.076
"P11","Negativa",0.186,0.228,0.629,0.046
"P11","No sabe",0.047,0.067,0.101,0.527
"P12","Positiva",0.531,0.302,0.19,0.315
"P12","Neutra",0.241,0.458,0.031,0.072
"P12","Negativa",0.15,0.183,0.681,0.049
"P12","No sabe",0.078,0.057,0.098,0.564
"P13","Si",0.427,0.096,0.111,0.166
"P13","No",0.573,0.904,0.889,0.834
