"var","categoria","Siempre","Casi siempre","Casi nunca","Nunca, pero esta es una excepción"
"P10","Muy buena",0.386,0.121,0.164,0.15
"P10","Buena",0.166,0.352,0.198,0.074
"P10","Ni buena ni mala",0.293,0.415,0.437,0.349
"P10","Mala",0.111,0.057,0.131,0.22
"P10","Muy mala",0.037,0.028,0.024,0.144
"P10","No sabe",0.007,0.027,0.046,0.063
"P11","Muy buena",0.461,0.234,0.287,0.227
"P11","Buena",0.242,0.372,0.238,0.15
"P11","Ni buena ni mala",0.174,0.289,0.278,0.246
"P11","Mala",0.058,0.058,0.112,0.148
"P11","Muy mala",0.06,0.027,0.032,0.171
"P11","No sabe",0.005,0.02,0.053,0.058
"P12","Muy de acuerdo",0.127,0.153,0.142,0.257
"P12","De acuerdo",0.128,0.181,0.156,0.19
"P12","Ni de acuerdo ni en desacuerdo",0.185,0.21,0.163,0.084
"P12","En desacuerdo",0.21,0.125,0.201,0.193
"P12","Muy en desacuerdo",0.197,0.17,0.178,0.114
"P12","No sabe",0.153,0.161,0.16,0.162
"P15","Muy de acuerdo",0.557,0.572,0.593,0.497
"P15","De acuerdo",0.162,0.194,0.115,0.12
"P15","Ni de acuerdo ni en desacuerdo",0.169,0.139,0.211,0.202
"P15","En desacuerdo",0.07,0.059,0.062,0.142
"P15","Muy en desacuerdo",0.02,0.008,0.01,0.003
"P15","No sabe",0.022,0.028,0.009,0.036
"P16","Al gobierno provincial que se fue",0.697,0.611,0.589,0.601
"P16","Al gobierno provincial vigente",0.039,0.078,0.022,0.055
"P16","Al gobierno nacional que se fue",0.098,0.185,0.23,0.213
"P16","Al gobierno nacional que vigente",0.09,0.061,0.098,0.065
"P16","No sabe",0.076,0.065,0.061,0.066
"P17","Muy de acuerdo",0.656,0.652,0.71,0.469
"P17","De acuerdo",0.191,0.171,0.105,0.177
"P17","Ni de acuerdo ni en desacuerdo",0.106,0.116,0.158,0.179
"P17","En desacuerdo",0.03,0.028,0.017,0.069
"P17","Muy en desacuerdo",0.002,0.006,0.002,0.072
"P17","No sabe",0.015,0.027,0.008,0.034
"P18","Si",0.708,0.695,0.73,0.393
"P18","No",0.16,0.121,0.1,0.245
"P18","No sabe",0.132,0.184,0.17,0.362
"P19","Si",0.603,0.489,0.481,0.28
"P19","No",0.175,0.2,0.157,0.324
"P19","No sabe",0.222,0.311,0.362,0.396
"P22","Muy de acuerdo",0.307,0.348,0.342,0.47
"P22","De acuerdo",0.143,0.165,0.199,0.193
"P22","Ni de acuerdo ni en desacuerdo",0.127,0.152,0.173,0.137
"P22","En desacuerdo",0.193,0.13,0.139,0.082
"P22","Muy en desacuerdo",0.199,0.196,0.138,0.108
"P22","No sabe",0.031,0.009,0.009,0.01
"P23","Muy de acuerdo",0.318,0.296,0.278,0.423
"P23","De acuerdo",0.111,0.152,0.214,0.204
"P23","Ni de acuerdo ni en desacuerdo",0.137,0.165,0.178,0.169
"P23","En desacuerdo",0.243,0.127,0.116,0.06
"P23","Muy en desacuerdo",0.19,0.24,0.197,0.116
"P23","No sabe",0.001,0.02,0.017,0.028
"P24","Muy buena",0.448,0.223,0.306,0.232
"P24","Buena",0.227,0.319,0.304,0.218
"P24","Ni buena ni mala",0.213,0.378,0.305,0.27
"P24","Mala",0.105,0.057,0.054,0.136
"P24","Muy mala",0.007,0.014,0.029,0.119
"P24","No sabe",0,0.009,0.002,0.025
"P25","Muy buena",0.204,0.119,0.101,0.084
"P25","Buena",0.241,0.271,0.231,0.178
"P25","Ni buena ni mala",0.259,0.382,0.421,0.399
"P25","Mala",0.214,0.154,0.163,0.135
"P25","Muy mala",0.071,0.067,0.059,0.204
"P25","No sabe",0.011,0.007,0.025,0
"P26","Muy buena",0.114,0.068,0.023,0.071
"P26","Buena",0.253,0.162,0.136,0.118
"P26","Ni buena ni mala",0.184,0.247,0.354,0.231
"P26","Mala",0.327,0.356,0.306,0.32
"P26","Muy mala",0.116,0.156,0.18,0.255
"P26","No sabe",0.006,0.011,0.001,0.005
"P27","Muy buena",0.15,0.108,0.065,0.069
"P27","Buena",0.154,0.138,0.128,0.156
"P27","Ni buena ni mala",0.374,0.446,0.468,0.257
"P27","Mala",0.195,0.171,0.215,0.153
"P27","Muy mala",0.105,0.102,0.088,0.35
"P27","No sabe",0.022,0.035,0.036,0.015
"P28","Muy buena",0.225,0.114,0.13,0.181
"P28","Buena",0.153,0.183,0.16,0.158
"P28","Ni buena ni mala",0.287,0.29,0.316,0.126
"P28","Mala",0.203,0.265,0.229,0.15
"P28","Muy mala",0.132,0.13,0.145,0.37
"P28","No sabe",0,0.018,0.02,0.015
"P29","Muy buena",0.338,0.218,0.236,0.133
"P29","Buena",0.138,0.111,0.057,0.02
"P29","Ni buena ni mala",0.115,0.072,0.087,0.054
"P29","Mala",0.143,0.258,0.229,0.323
"P29","Muy mala",0.266,0.324,0.387,0.47
"P29","No sabe",0,0.017,0.004,0
"P30","Muy buena",0.192,0.093,0.092,0.107
"P30","Buena",0.127,0.212,0.147,0.3
"P30","Ni buena ni mala",0.144,0.165,0.271,0.147
"P30","Mala",0.287,0.225,0.22,0.116
"P30","Muy mala",0.236,0.305,0.249,0.33
"P30","No sabe",0.014,0,0.021,0
"P31","Muy buena",0.221,0.101,0.127,0.089
"P31","Buena",0.187,0.159,0.141,0.134
"P31","Ni buena ni mala",0.188,0.191,0.194,0.119
"P31","Mala",0.142,0.243,0.152,0.152
"P31","Muy mala",0.26,0.303,0.365,0.506
"P31","No sabe",0.002,0.003,0.021,0
"P32","Muy buena",0.33,0.263,0.319,0.567
"P32","Buena",0.15,0.219,0.179,0.037
"P32","Ni buena ni mala",0.099,0.155,0.17,0.081
"P32","Mala",0.157,0.095,0.11,0.128
"P32","Muy mala",0.264,0.264,0.202,0.187
"P32","No sabe",0,0.004,0.02,0
"P33","Muy buena",0.257,0.241,0.168,0.332
"P33","Buena",0.15,0.237,0.3,0.327
"P33","Ni buena ni mala",0.127,0.162,0.228,0.105
"P33","Mala",0.205,0.084,0.103,0.101
"P33","Muy mala",0.261,0.274,0.198,0.135
"P33","No sabe",0,0.002,0.003,0
"P34","Muy buena",0.179,0.163,0.125,0.324
"P34","Buena",0.169,0.172,0.199,0.284
"P34","Ni buena ni mala",0.24,0.332,0.348,0.193
"P34","Mala",0.175,0.078,0.137,0.064
"P34","Muy mala",0.219,0.224,0.177,0.127
"P34","No sabe",0.018,0.031,0.014,0.008
"P35","Muy buena",0.339,0.304,0.332,0.476
"P35","Buena",0.119,0.204,0.175,0.115
"P35","Ni buena ni mala",0.179,0.15,0.213,0.126
"P35","Mala",0.144,0.088,0.088,0.087
"P35","Muy mala",0.208,0.226,0.185,0.196
"P35","No sabe",0.011,0.028,0.007,0
"P36","Muy buena",0.137,0.156,0.086,0.064
"P36","Buena",0.118,0.148,0.265,0.199
"P36","Ni buena ni mala",0.444,0.378,0.445,0.539
"P36","Mala",0.136,0.149,0.092,0.106
"P36","Muy mala",0.165,0.151,0.105,0.076
"P36","No sabe",0,0.018,0.007,0.016
"P37","Muy buena",0.159,0.107,0.105,0.094
"P37","Buena",0.159,0.134,0.153,0.09
"P37","Ni buena ni mala",0.239,0.32,0.379,0.488
"P37","Mala",0.168,0.132,0.13,0.06
"P37","Muy mala",0.266,0.288,0.213,0.249
"P37","No sabe",0.009,0.019,0.02,0.019
"P38","Muy buena",0.114,0.079,0.078,0.122
"P38","Buena",0.141,0.137,0.113,0.032
"P38","Ni buena ni mala",0.351,0.404,0.485,0.514
"P38","Mala",0.171,0.103,0.127,0.1
"P38","Muy mala",0.202,0.194,0.14,0.155
"P38","No sabe",0.021,0.083,0.057,0.077
