"var","categoria","Sergio Massa por el Frente de todos","Facundo Manes por Cambiemos","Florencio Randazzo","Espert por los liberales","Del Caño por el Frente de Izquierda"
"P08","Si",0.891,0.838,0.785,0.816,0.641
"P08","Puede ser",0.098,0.078,0.109,0.065,0.101
"P08","No",0.011,0.084,0.106,0.119,0.258
"P09","Sergio Massa por el Frente de todos",0.878,0.171,0.216,0,0.081
"P09","Jorge Macri por Cambiemos",0.061,0.731,0.094,0.242,0.123
"P09","Florencio Randazzo",0.024,0.032,0.624,0.071,0.081
"P09","Espert por los liberales",0.003,0.04,0.013,0.614,0
"P09","Del Caño por el Frente de Izquierda",0.034,0.026,0.053,0.073,0.715
"P11","Maximo Kirchner por el Frente de todos",0.884,0.146,0.172,0.043,0.191
"P11","Facundo Manes por Cambiemos",0.047,0.804,0.124,0.067,0.022
"P11","Florencio Randazzo",0.038,0.016,0.688,0.047,0.083
"P11","Espert por los liberales",0.005,0.019,0,0.815,0.017
"P11","Del Caño por el Frente de Izquierda",0.026,0.015,0.016,0.028,0.687
"P15","Maximo Kirchner por el Frente de todos",0.864,0.127,0.108,0.006,0.175
"P15","Jorge Macri por Cambiemos",0.084,0.768,0.141,0.202,0.11
"P15","Florencio Randazzo",0.019,0.023,0.738,0.001,0.047
"P15","Espert por los liberales",0.006,0.04,0,0.767,0.005
"P15","Del Caño por el Frente de Izquierda",0.027,0.042,0.013,0.024,0.663
