"var","categoria","Toloza Paz","Diego Santilli","Facundo Manes","Florencio Randazzo","A la izquierda","Jose Luis Espert","Otros candidatos","Votaría en blanco o anularía"
"P07","Si",0.919,0.781,0.7,0.702,0.863,0.855,0.727,0.457
"P07","Puede ser",0.038,0.169,0.178,0.249,0.102,0.031,0.143,0.259
"P07","No",0.043,0.05,0.122,0.049,0.035,0.114,0.13,0.284
"P23","Si",0.917,0.825,0.776,0.826,0.962,0.718,0.756,0.758
"P23","No",0.083,0.175,0.224,0.174,0.038,0.282,0.244,0.242
"P24","Inflación",0.254,0.245,0.271,0.058,0.048,0.263,0.082,0.214
"P24","Desempleo",0.126,0.072,0.139,0.27,0.305,0,0.209,0.203
"P24","Corrupción",0.102,0.433,0.356,0.148,0.5,0.551,0.228,0.127
"P24","Precio del dólar",0.054,0.011,0.045,0.281,0,0.017,0.061,0.075
"P24","Inseguridad",0.121,0.093,0.037,0.172,0.032,0.012,0.136,0.096
"P24","Pobreza",0.151,0.105,0.083,0.071,0.033,0.077,0.139,0.116
"P24","Narcotráfico",0.01,0,0.004,0,0,0.011,0.004,0
"P24","Tarifas",0.034,0.003,0,0,0,0.029,0,0
"P24","Otro",0.123,0.034,0.065,0,0.082,0.04,0.105,0.038
"P24","No sabe",0.025,0.004,0,0,0,0,0.036,0.131
"P30","Gran excedente habitual",0.007,0,0.005,0,0.036,0.003,0,0.008
"P30","Gran excedente excepcional",0,0.002,0.006,0,0,0,0,0
"P30","Pequeño excedente habitual",0.055,0.084,0.081,0.018,0.053,0.057,0.036,0.014
"P30","Pequeño excedente excepcional",0.101,0.069,0.025,0.143,0.034,0.106,0.015,0.067
"P30","Alcanza gastos familia",0.228,0.162,0.11,0.043,0.053,0.029,0.128,0.16
"P30","No alcanza gastos familia",0.083,0.071,0.167,0.077,0.184,0.11,0.129,0.265
"P30","Solo NBFamiliares",0.227,0.317,0.221,0.373,0.49,0.459,0.499,0.057
"P30","No alcanza NBFamiliares",0.29,0.292,0.378,0.346,0.032,0.236,0.14,0.425
"P30","No sabe",0.009,0.003,0.007,0,0.118,0,0.053,0.004
"P33","Mejor",0.337,0.017,0.018,0.163,0.031,0.105,0.237,0.126
"P33","Igual",0.292,0.14,0.377,0.358,0.573,0.186,0.14,0.183
"P33","Peor",0.216,0.773,0.539,0.479,0.155,0.709,0.322,0.466
"P33","No sabe",0.155,0.07,0.066,0,0.241,0,0.301,0.225
"P36","Mejor",0.446,0,0.016,0.231,0,0.148,0.194,0.127
"P36","Igual",0.213,0.133,0.28,0.054,0.51,0.08,0.325,0.079
"P36","Peor",0.203,0.827,0.666,0.715,0.383,0.675,0.274,0.679
"P36","No sabe",0.138,0.04,0.038,0,0.107,0.097,0.207,0.115
"P42","Muy buena",0.409,0.011,0.016,0.279,0,0,0.424,0.148
"P42","Buena",0.283,0.002,0.023,0.093,0.88,0,0.084,0.103
"P42","Ni buena ni mala",0.141,0.064,0.16,0.379,0.087,0.08,0.278,0.297
"P42","Mala",0.036,0.114,0.172,0,0,0.184,0,0.325
