"var","categoria","Muy de derecha","De derecha","De centro","De centro izquierda","Muy de izquierda"
"P05","Sergio Massa por el Frente de Todos",0.141,0.074,0.225,0.441,0.239
"P05","Horacio Rodriguez Larreta por Juntos por el Cambio",0.118,0.161,0.119,0.043,0.069
"P05","Patricia Bulrich por Juntos por el Cambio",0.181,0.316,0.203,0.084,0.085
"P05","Javier Milei por La Libertad Avanza",0.4,0.306,0.249,0.131,0.286
"P05","Al candidato del Frente de Izquierda",0.023,0.009,0.02,0.06,0.132
"P05","No sabe",0.137,0.134,0.184,0.241,0.189
"P09","Si, habitualmente",0.158,0.236,0.236,0.27,0.206
"P09","Algunas veces",0.378,0.401,0.411,0.359,0.446
"P09","Nunca, pero esta es una excepción",0.464,0.363,0.353,0.371,0.348
"P10","Si",0.407,0.508,0.456,0.498,0.379
"P10","No",0.593,0.492,0.544,0.502,0.621
"P11","La política no sirve para nada",0.301,0.168,0.096,0.098,0.197
"P11","La política no me interesa",0.165,0.117,0.112,0.068,0.062
"P11","La política me interesa poco",0.106,0.164,0.155,0.087,0.161
"P11","La política me interesa",0.189,0.235,0.276,0.155,0.184
"P11","La política es muy importante",0.202,0.259,0.327,0.551,0.365
"P11","No sabe",0.037,0.057,0.034,0.041,0.031
"P12","Nunca",0.697,0.643,0.608,0.466,0.623
"P12","A veces",0.154,0.184,0.253,0.334,0.235
"P12","Siempre",0.073,0.11,0.062,0.176,0.115
"P12","No sabe",0.076,0.063,0.077,0.024,0.027
"P13","Los políticos son todos ladrones y corruptos",0.484,0.279,0.194,0.132,0.26
"P13","Los políticos sólo piensan en ellos y no en los problemas de la gente",0.204,0.246,0.212,0.092,0.232
"P13","Algunos políticos son corruptos, ladrones y no piensan en la gente, pero otros no",0.188,0.321,0.334,0.346,0.229
"P13","Los políticos tratan de solucionar los problemas de la gente, pero necesitan pelearse menos y que los controlen",0.075,0.107,0.163,0.204,0.051
"P13","Los políticos representan distintos intereses y por eso deben obtener siempre el mayor apoyo posible para lograr sus objetivos",0.02,0.025,0.067,0.189,0.076
"P13","No sabe",0.029,0.022,0.03,0.037,0.152
"P14","Con fuerza, determinación y coraje para lograr sus objetivos",0.405,0.283,0.161,0.174,0.214
"P14","Usando los mejores recursos disponibles para defender los intereses que representan",0.196,0.212,0.157,0.104,0.097
"P14","Defendiendo los intereses que representan pero sin dejar de dialogar con los adversarios",0.154,0.211,0.245,0.185,0.24
"P14","Buscando los acuerdos necesarios para obtener el mayor consenso posible para sus políticas",0.079,0.12,0.171,0.2,0.17
"P14","Negociando entre las diferentes perspectivas para reducir el enfrentamiento y el conflicto social",0.036,0.115,0.171,0.299,0.148
"P14","No sabe",0.13,0.059,0.095,0.038,0.131
"P15","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.727,0.508,0.294,0.129,0.364
"P15","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.061,0.236,0.172,0.104,0.108
"P15","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.049,0.113,0.333,0.3,0.117
"P15","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.047,0.066,0.09,0.252,0.194
"P15","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.028,0.03,0.054,0.202,0.151
"P15","No sabe",0.088,0.047,0.057,0.013,0.066
"P17","Muy de derecha",0.337,0.149,0.169,0.086,0.23
"P17","De derecha",0.115,0.222,0.077,0.036,0.145
"P17","De centro",0.044,0.058,0.211,0.143,0.075
"P17","De centro izquierda",0.112,0.169,0.278,0.611,0.19
"P17","Muy de izquierda",0.392,0.402,0.265,0.124,0.36
"P18","Muy de derecha",0.249,0.163,0.243,0.401,0.397
"P18","De derecha",0.193,0.433,0.268,0.342,0.176
"P18","De centro",0.184,0.197,0.316,0.103,0.085
"P18","De centro izquierda",0.198,0.077,0.094,0.108,0.058
"P18","Muy de izquierda",0.176,0.13,0.079,0.046,0.284
"P19","Muy de derecha",0.466,0.388,0.459,0.784,0.456
"P19","De derecha",0.195,0.265,0.229,0.111,0.058
"P19","De centro",0.128,0.108,0.176,0.051,0.113
"P19","De centro izquierda",0.077,0.082,0.049,0.013,0.102
"P19","Muy de izquierda",0.134,0.157,0.087,0.041,0.271
"P20","Si",0.417,0.466,0.443,0.498,0.453
"P20","No",0.583,0.534,0.557,0.502,0.547
