"var","categoria","Alberto Fernández presidente - Axel Kicillof gobernador por el Frente de Todos","Patricia Bullrich presidenta - Joaquín De La Torre gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta presidente - Diego Santilli gobernador por Juntos por el Cambio","Facundo Manes presidente - Maximiliano Abad gobernador por Juntos por el Cambio","José Luis Espert presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos del Frente de Izquierda","No sabe"
"P05","Tengo trabajo estable",0.583,0.491,0.481,0.653,0.534,0.644,0.615,0.553
"P05","Realizo changas o trabajos de vez en cuando",0.121,0.118,0.151,0.139,0.208,0.154,0.158,0.159
"P05","No tengo trabajo",0.104,0.126,0.122,0.087,0.11,0.132,0.115,0.143
"P05","Soy jubilado o pensionado",0.192,0.265,0.246,0.121,0.148,0.07,0.112,0.145
"P06","1",0.185,0.419,0.309,0.305,0.344,0.39,0.155,0.159
"P06","2",0.038,0.062,0.074,0.036,0.026,0.078,0.033,0.044
"P06","3",0.021,0.078,0.071,0.052,0.072,0.087,0.042,0.032
"P06","4",0.034,0.1,0.082,0.054,0.043,0.052,0.012,0.087
"P06","5",0.168,0.193,0.299,0.278,0.258,0.221,0.141,0.297
"P06","6",0.077,0.025,0.057,0.053,0.049,0.02,0.027,0.068
"P06","7",0.159,0.028,0.021,0.085,0.059,0.017,0.146,0.088
"P06","8",0.081,0.021,0.018,0.015,0.039,0.033,0.081,0.049
"P06","9",0.237,0.074,0.069,0.122,0.11,0.102,0.363,0.176
"P07","1",0.458,0.179,0.192,0.242,0.181,0.143,0.351,0.263
"P07","2",0.073,0.043,0.043,0.029,0.056,0.027,0.042,0.055
"P07","3",0.073,0.038,0.028,0.041,0.011,0.037,0.116,0.041
"P07","4",0.041,0.041,0.044,0.064,0.02,0.027,0.058,0.046
"P07","5",0.153,0.198,0.277,0.26,0.202,0.181,0.161,0.251
"P07","6",0.036,0.052,0.075,0.074,0.026,0.05,0.024,0.049
"P07","7",0.044,0.082,0.066,0.049,0.135,0.059,0.027,0.063
"P07","8",0.027,0.067,0.058,0.031,0.097,0.107,0.056,0.057
"P07","9",0.095,0.3,0.217,0.21,0.272,0.369,0.165,0.175
"P08","1",0.642,0.198,0.326,0.324,0.327,0.213,0.702,0.401
"P08","2",0.033,0.043,0.047,0.018,0.048,0.025,0.018,0.028
"P08","3",0.035,0.028,0.019,0.018,0.012,0.02,0.033,0.037
"P08","4",0.014,0.031,0.029,0.021,0,0.031,0.033,0.036
"P08","5",0.077,0.134,0.117,0.131,0.162,0.165,0.077,0.127
"P08","6",0.005,0.025,0.032,0.043,0.016,0.021,0,0.028
"P08","7",0.012,0.057,0.044,0.052,0.072,0.037,0.02,0.027
"P08","8",0.02,0.052,0.042,0.03,0.013,0.073,0.026,0.031
"P08","9",0.162,0.432,0.344,0.363,0.35,0.415,0.091,0.285
"P10","Del Frente de Todos y el peronismo",0.866,0.047,0.064,0.136,0.118,0.018,0.247,0.397
"P10","De Cambiemos",0.054,0.788,0.712,0.406,0.299,0.055,0.039,0.09
"P10","De los Liberales libertarios",0.014,0.102,0.071,0.256,0.463,0.851,0.121,0.166
"P10","De la Izquierda",0.019,0.002,0.017,0.023,0.026,0.015,0.466,0.037
"P10","No sabe",0.047,0.061,0.136,0.179,0.094,0.061,0.127,0.31
"P11","A Alberto Fernández",0.171,0.345,0.365,0.053,0,0.045,0.037,0.053
"P11","A Sergio Massa",0.204,0.062,0.283,0.414,0,0.087,0.144,0.174
"P11","A algún candidato del peronismo",0.124,0.46,0.19,0.263,0.392,0.512,0.086,0.161
"P11","A algún candidato del kirchnerismo",0.501,0.133,0.162,0.27,0.608,0.356,0.733,0.612
"P12","A Alberto Fernández",0.085,0.23,0.085,0.059,0,0.045,0.012,0.032
"P12","A Sergio Massa",0.127,0.117,0.22,0.294,0,0.025,0.02,0.106
"P12","A algún candidato del peronismo",0.08,0.463,0.217,0.175,0.256,0.345,0.094,0.124
"P12","A Cristina Fernández de Kirchner",0.708,0.19,0.478,0.472,0.744,0.585,0.874,0.738
"P13","A Horacio Rodriguez Larreta",0.143,0.104,0.63,0.268,0.426,0.033,0.132,0.184
"P13","A Patricia Bullrich",0.336,0.868,0.281,0.199,0.339,0.76,0.729,0.448
"P13","A Facundo Manes",0.382,0.007,0.042,0.409,0.092,0.178,0.091,0.208
"P13","A Gerardo Morales",0.139,0.021,0.047,0.124,0.143,0.029,0.048,0.16
"P14","Lo votaría",0.774,0.023,0.052,0.118,0.188,0.02,0.303,0.342
"P14","Puede que lo vote",0.072,0.065,0.059,0.092,0.044,0.047,0.197,0.106
"P14","Nunca lo votaría",0.069,0.891,0.831,0.734,0.733,0.919,0.333,0.423
"P14","No sabe",0.085,0.021,0.058,0.056,0.035,0.014,0.167,0.129
"P15","Lo votaría",0.236,0.009,0.05,0.091,0.065,0.008,0.076,0.095
"P15","Puede que lo vote",0.445,0.032,0.138,0.137,0.154,0.044,0.222,0.236
"P15","Nunca lo votaría",0.201,0.915,0.738,0.679,0.719,0.875,0.55,0.485
"P15","No sabe",0.118,0.044,0.074,0.093,0.062,0.073,0.152,0.184
"P16","Lo votaría",0.026,0.318,0.487,0.163,0.165,0.083,0.014,0.041
"P16","Puede que lo vote",0.108,0.418,0.314,0.277,0.358,0.18,0.06,0.126
"P16","Nunca lo votaría",0.787,0.197,0.136,0.465,0.389,0.645,0.823,0.694
"P16","No sabe",0.079,0.067,0.063,0.095,0.088,0.092,0.103,0.139
"P17","Lo votaría",0.015,0.369,0.215,0.115,0.124,0.072,0.002,0.044
"P17","Puede que lo vote",0.057,0.398,0.392,0.275,0.336,0.216,0.059,0.092
"P17","Nunca lo votaría",0.848,0.145,0.266,0.503,0.511,0.571,0.838,0.672
"P17","No sabe",0.08,0.088,0.127,0.107,0.029,0.141,0.101,0.192
"P18","Lo votaría",0.258,0.059,0.058,0.087,0.096,0.034,0.036,0.122
"P18","Puede que lo vote",0.433,0.05,0.12,0.15,0.187,0.073,0.185,0.205
"P18","Nunca lo votaría",0.246,0.862,0.775,0.697,0.705,0.864,0.657,0.519
"P18","No sabe",0.063,0.029,0.047,0.066,0.012,0.029,0.122,0.154
"P19","Lo votaría",0.074,0.041,0.09,0.108,0.032,0.1,0.023,0.086
"P19","Puede que lo vote",0.103,0.133,0.201,0.142,0.237,0.246,0.121,0.119
"P19","Nunca lo votaría",0.771,0.775,0.628,0.686,0.677,0.584,0.766,0.664
"P19","No sabe",0.052,0.051,0.081,0.064,0.054,0.07,0.09,0.131
"P20","Lo votaría",0.021,0.247,0.124,0.163,0.516,0.4,0.125,0.099
"P20","Puede que lo vote",0.036,0.403,0.304,0.251,0.251,0.282,0.046,0.132
"P20","Nunca lo votaría",0.878,0.275,0.454,0.49,0.23,0.257,0.772,0.634
"P20","No sabe",0.065,0.075,0.118,0.096,0.003,0.061,0.057,0.135
"P21","Lo votaría",0.015,0.067,0.037,0.166,0.079,0.048,0.014,0.017
"P21","Puede que lo vote",0.024,0.187,0.155,0.163,0.188,0.112,0.074,0.039
"P21","Nunca lo votaría",0.769,0.498,0.526,0.457,0.525,0.521,0.667,0.658
"P21","No sabe",0.192,0.248,0.282,0.214,0.208,0.319,0.245,0.286
"P22","Lo votaría",0.202,0.014,0.035,0.025,0.073,0.021,0.056,0.054
"P22","Puede que lo vote",0.403,0.033,0.048,0.127,0.072,0.043,0.166,0.191
