"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P05","Tengo trabajo estable",0.465,0.538,0.724,0.637,0.761,0.558
"P05","Realizo changas o trabajos de vez en cuando",0.118,0.104,0.075,0.082,0.06,0.166
"P05","No tengo trabajo",0.083,0.071,0.029,0.115,0.063,0.046
"P05","Soy jubilado o pensionado",0.334,0.287,0.172,0.166,0.116,0.23
"P06","1",0.437,0.33,0.251,0.183,0.14,0.217
"P06","2",0.088,0.031,0.031,0.087,0.045,0.138
"P06","3",0.11,0.139,0.082,0.028,0.013,0.052
"P06","4",0.053,0.116,0.103,0.073,0.044,0.014
"P06","5",0.166,0.22,0.227,0.17,0.123,0.244
"P06","6",0.024,0.06,0.057,0.062,0.074,0.03
"P06","7",0.053,0.03,0.08,0.165,0.211,0.046
"P06","8",0.028,0.03,0.053,0.09,0.123,0.066
"P06","9",0.041,0.044,0.116,0.142,0.227,0.193
"P07","1",0.145,0.061,0.133,0.297,0.489,0.182
"P07","2",0.053,0.017,0.032,0.054,0.107,0.084
"P07","3",0.014,0.041,0.035,0.073,0.102,0.024
"P07","4",0.019,0.047,0.039,0.125,0.034,0
"P07","5",0.156,0.147,0.2,0.196,0.106,0.278
"P07","6",0.04,0.071,0.084,0.024,0.022,0.027
"P07","7",0.104,0.214,0.129,0.077,0.03,0.136
"P07","8",0.114,0.146,0.094,0.036,0.009,0.038
"P07","9",0.355,0.256,0.254,0.118,0.101,0.231
"P08","1",0.225,0.236,0.366,0.553,0.75,0.303
"P08","2",0.024,0.018,0.062,0.037,0.053,0
"P08","3",0.037,0.064,0.044,0.062,0.037,0
"P08","4",0.015,0.047,0.018,0.028,0.01,0
"P08","5",0.146,0.184,0.137,0.079,0.069,0.275
"P08","6",0.027,0.074,0.033,0.009,0.004,0.014
"P08","7",0.074,0.057,0.072,0.014,0.011,0.065
"P08","8",0.062,0.06,0.044,0.017,0.003,0.126
"P08","9",0.39,0.26,0.224,0.201,0.063,0.217
"P10","Del Frente de Todos y el peronismo",0.05,0.048,0.207,0.514,0.728,0.232
"P10","De Cambiemos",0.804,0.719,0.424,0.146,0.063,0.217
"P10","De los Liberales libertarios",0.117,0.176,0.285,0.181,0.086,0.289
"P10","De la Izquierda",0.002,0.007,0.003,0.066,0.093,0.01
"P10","No sabe",0.027,0.05,0.081,0.093,0.03,0.252
"P11","A Alberto Fernández",0.223,0.255,0.204,0.053,0.107,0.046
"P11","A Sergio Massa",0.218,0.309,0.336,0.216,0.172,0.161
"P11","A algún candidato del peronismo",0.344,0.253,0.109,0.181,0.05,0.394
"P11","A algún candidato del kirchnerismo",0.215,0.183,0.351,0.55,0.671,0.399
"P12","A Alberto Fernández",0.223,0.121,0.135,0.028,0.023,0.046
"P12","A Sergio Massa",0.208,0.27,0.154,0.125,0.09,0
"P12","A algún candidato del peronismo",0.252,0.349,0.167,0.102,0.032,0.444
"P12","A Cristina Fernández de Kirchner",0.317,0.26,0.544,0.745,0.855,0.51
"P13","A Horacio Rodriguez Larreta",0.138,0.173,0.316,0.262,0.327,0.288
"P13","A Mauricio Macri",0.413,0.315,0.232,0.129,0.026,0.212
"P13","A Patricia Bullrich",0.429,0.467,0.368,0.304,0.157,0.442
"P13","A Facundo Manes",0.015,0.02,0.069,0.26,0.393,0.058
"P13","A Gerardo Morales",0.005,0.025,0.015,0.045,0.097,0
"P14","Del Frente de Todos y el peronismo",0.039,0.036,0.164,0.494,0.677,0.163
"P14","A Juntos por el Cambio",0.843,0.767,0.49,0.132,0.033,0.227
"P14","De los Liberales libertarios",0.103,0.149,0.253,0.173,0.097,0.397
"P14","De la Izquierda",0.005,0.009,0.028,0.1,0.152,0.027
"P14","No sabe",0.01,0.039,0.065,0.101,0.041,0.186
"P16","A Leandro Santoro",0.725,0.545,0.747,0.69,0.671,0.911
"P16","A Matias Lammens",0.275,0.409,0.154,0.17,0.118,0
"P16","A Mariano Recalde",0,0.046,0.099,0.14,0.211,0.089
"P17","A Soledad Acuña",0.02,0.069,0.076,0,0,0.06
"P17","A Jorge Macri",0.557,0.221,0.052,0.028,0.038,0.288
"P17","A Martín Lousteau",0.14,0.199,0.329,0.401,0.463,0.367
"P17","A Fernan Quirós",0.139,0.251,0.214,0.347,0.434,0.236
"P17","A Ricardo López Murphy",0.144,0.26,0.329,0.224,0.065,0.049
"P18","Lo votaría",0.269,0.276,0.229,0.108,0.057,0.204
"P18","Puede que lo vote",0.318,0.358,0.277,0.157,0.048,0.116
"P18","Nunca lo votaría",0.342,0.27,0.405,0.642,0.827,0.52
"P18","No sabe",0.071,0.096,0.089,0.093,0.068,0.16
"P19","Lo votaría",0.068,0.041,0.158,0.435,0.587,0.207
"P19","Puede que lo vote",0.074,0.088,0.131,0.148,0.153,0.175
"P19","Nunca lo votaría",0.785,0.793,0.615,0.345,0.212,0.352
"P19","No sabe",0.073,0.078,0.096,0.072,0.048,0.266
"P20","Lo votaría",0.172,0.098,0.064,0.065,0.069,0.191
"P20","Puede que lo vote",0.376,0.393,0.259,0.077,0.027,0.161
"P20","Nunca lo votaría",0.35,0.4,0.551,0.708,0.859,0.373
"P20","No sabe",0.102,0.109,0.126,0.15,0.045,0.275
"P21","Lo votaría",0.032,0.047,0.063,0.228,0.219,0.056
"P21","Puede que lo vote",0.077,0.087,0.123,0.258,0.379,0.179
"P21","Nunca lo votaría",0.81,0.783,0.676,0.416,0.356,0.589
"P21","No sabe",0.081,0.083,0.138,0.098,0.046,0.176
"P22","Lo votaría",0.375,0.327,0.229,0.107,0.07,0.241
