"var","categoria","Positiva","Neutra","Negativa","No sabe"
"P05","Tengo trabajo estable",0.665,0.593,0.612,0.588
"P05","Realizo changas o trabajos de vez en cuando",0.05,0.105,0.1,0.124
"P05","No tengo trabajo",0.075,0.069,0.066,0.082
"P05","Soy jubilado o pensionado",0.21,0.233,0.222,0.206
"P06","1",0.146,0.296,0.322,0.364
"P06","2",0.031,0.06,0.058,0.157
"P06","3",0.046,0.095,0.096,0.042
"P06","4",0.058,0.057,0.095,0.054
"P06","5",0.168,0.169,0.2,0.119
"P06","6",0.067,0.043,0.055,0.028
"P06","7",0.212,0.092,0.057,0.055
"P06","8",0.115,0.065,0.043,0
"P06","9",0.157,0.123,0.074,0.181
"P07","1",0.444,0.191,0.112,0.236
"P07","2",0.112,0.053,0.031,0.021
"P07","3",0.097,0.089,0.023,0
"P07","4",0.068,0.044,0.029,0.077
"P07","5",0.116,0.201,0.175,0.135
"P07","6",0.021,0.037,0.068,0.044
"P07","7",0.034,0.097,0.155,0.148
"P07","8",0.038,0.057,0.117,0.025
"P07","9",0.07,0.231,0.29,0.314
"P08","1",0.694,0.415,0.278,0.328
"P08","2",0.065,0.004,0.038,0.02
"P08","3",0.047,0.047,0.049,0.031
"P08","4",0.007,0.023,0.03,0.027
"P08","5",0.08,0.126,0.156,0.112
"P08","6",0.005,0.02,0.04,0.03
"P08","7",0.008,0.049,0.069,0.053
"P08","8",0.015,0.059,0.051,0.041
"P08","9",0.079,0.257,0.289,0.358
"P10","Del Frente de Todos y el peronismo",0.753,0.271,0.077,0.169
"P10","De Cambiemos",0.147,0.399,0.635,0.39
"P10","De los Liberales libertarios",0.056,0.187,0.203,0.324
"P10","De la Izquierda",0.024,0.064,0.028,0.01
"P10","No sabe",0.02,0.079,0.057,0.107
"P11","A Alberto Fernández",0.097,0.1,0.193,0.205
"P11","A Sergio Massa",0.147,0.346,0.352,0.497
"P11","A algún candidato del peronismo",0.104,0.176,0.151,0.066
"P11","A algún candidato del kirchnerismo",0.652,0.378,0.304,0.232
"P12","A Alberto Fernández",0.029,0.047,0.146,0.07
"P12","A Sergio Massa",0.069,0.274,0.167,0.236
"P12","A algún candidato del peronismo",0.069,0.149,0.171,0.231
"P12","A Cristina Fernández de Kirchner",0.833,0.53,0.516,0.463
"P13","A Horacio Rodriguez Larreta",0.27,0.338,0.171,0.199
"P13","A Mauricio Macri",0.237,0.223,0.344,0.292
"P13","A Patricia Bullrich",0.288,0.349,0.435,0.445
"P13","A Facundo Manes",0.174,0.07,0.033,0.064
"P13","A Gerardo Morales",0.031,0.02,0.017,0
"P14","Del Frente de Todos y el peronismo",0.709,0.261,0.061,0.069
"P14","A Juntos por el Cambio",0.129,0.435,0.676,0.425
"P14","De los Liberales libertarios",0.054,0.181,0.177,0.37
"P14","De la Izquierda",0.092,0.079,0.035,0.012
"P14","No sabe",0.016,0.044,0.051,0.124
"P16","A Leandro Santoro",0.716,0.699,0.512,0.874
"P16","A Matias Lammens",0.089,0.245,0.352,0.126
"P16","A Mariano Recalde",0.195,0.056,0.136,0
"P17","A Soledad Acuña",0.073,0.097,0.035,0.045
"P17","A Jorge Macri",0.253,0.282,0.312,0.319
"P17","A Martín Lousteau",0.273,0.256,0.202,0.332
"P17","A Fernan Quirós",0.258,0.192,0.201,0.254
"P17","A Ricardo López Murphy",0.143,0.173,0.25,0.05
"P18","Lo votaría",0.088,0.235,0.244,0.166
"P18","Puede que lo vote",0.112,0.259,0.289,0.216
"P18","Nunca lo votaría",0.736,0.393,0.389,0.477
"P18","No sabe",0.064,0.113,0.078,0.141
"P19","Lo votaría",0.637,0.214,0.063,0.145
"P19","Puede que lo vote",0.135,0.162,0.093,0.093
"P19","Nunca lo votaría",0.199,0.481,0.785,0.489
"P19","No sabe",0.029,0.143,0.059,0.273
"P20","Lo votaría",0.072,0.084,0.131,0.024
"P20","Puede que lo vote",0.116,0.15,0.34,0.132
"P20","Nunca lo votaría",0.759,0.621,0.445,0.401
"P20","No sabe",0.053,0.145,0.084,0.443
"P21","Lo votaría",0.264,0.094,0.043,0.01
"P21","Puede que lo vote",0.424,0.178,0.061,0.04
"P21","Nunca lo votaría",0.251,0.563,0.847,0.577
"P21","No sabe",0.061,0.165,0.049,0.373
"P22","Lo votaría",0.129,0.16,0.315,0.186
"P22","Puede que lo vote",0.174,0.26,0.323,0.158
"P22","Nunca lo votaría",0.654,0.468,0.294,0.351
"P22","No sabe",0.043,0.112,0.068,0.305
"P23","Lo votaría",0.095,0.225,0.395,0.22
"P23","Puede que lo vote",0.077,0.225,0.315,0.107
"P23","Nunca lo votaría",0.808,0.46,0.248,0.475
"P23","No sabe",0.02,0.09,0.042,0.198
"P24","Lo votaría",0.102,0.249,0.276,0.207
"P24","Puede que lo vote",0.034,0.182,0.323,0.198
"P24","Nunca lo votaría",0.847,0.54,0.371,0.404
"P24","No sabe",0.017,0.029,0.03,0.191
"P25","Lo votaría",0.096,0.175,0.399,0.201
"P25","Puede que lo vote",0.078,0.25,0.302,0.188
"P25","Nunca lo votaría",0.815,0.532,0.25,0.377
"P25","No sabe",0.011,0.043,0.049,0.234
"P26","Patricia Bullrich presidenta – Jorge Macri Jefe de Gobierno por Juntos por el Cambio",0.053,0.145,0.255,0.128
"P26","Patricia Bullrich presidenta – Ricardo López Murphy Jefe de Gobierno por Juntos por el Cambio",0.047,0.145,0.283,0.068
"P26","Horacio Rodríguez Larreta presidente – Soledad Acuña jefa de gobierno por Juntos por el Cambio",0.02,0.026,0.034,0.071
