"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Siempre",0.171,0.188,0.15,0.141,0.098
"P04","Casi siempre",0.398,0.444,0.36,0.361,0.356
"P04","Casi nunca",0.355,0.303,0.366,0.343,0.392
"P04","Nunca, pero esta es una excepción",0.076,0.065,0.124,0.155,0.154
"P10","Leandro Santoro por el Frente de Todos",0.729,0.041,0.031,0.238,0.103
"P10","Jorge Macri por Juntos por el Cambio",0.031,0.531,0.191,0.042,0.089
"P10","Martín Lousteau por Juntos por el Cambio",0.07,0.314,0.153,0.033,0.17
"P10","Ramiro Marra por La Libertad Avanza",0.013,0.023,0.466,0.066,0.032
"P10","Al candidato del Frente de Izquierda",0.019,0.002,0.02,0.351,0.016
"P10","A Luis Zamora por Autodeterminación y Libertad",0.024,0.004,0.012,0.18,0.037
"P10","En blanco",0.028,0.016,0.05,0.057,0.125
"P10","No sabe",0.086,0.069,0.077,0.033,0.428
"P11","María Eugenia Vidal por Juntos por el Cambio",0.06,0.436,0.13,0.06,0.107
"P11","Martín Lousteau por Juntos por el Cambio",0.093,0.331,0.146,0.064,0.169
"P11","Leandro Santoro por el Frente de Todos",0.712,0.07,0.047,0.197,0.122
"P11","Ramiro Marra por La Libertad Avanza",0.013,0.032,0.527,0.04,0.038
"P11","Al candidato del Frente de Izquierda",0.015,0.002,0.012,0.369,0.024
"P11","A Luis Zamora por Autodeterminación y Libertad",0.023,0.003,0.011,0.176,0.042
"P11","En blanco",0.021,0.032,0.037,0.053,0.13
"P11","No sabe",0.063,0.094,0.09,0.041,0.368
"P12","A Jorge Macri por Juntos por el Cambio",0.016,0.426,0.136,0.036,0.088
"P12","A Martín Lousteau por Juntos por el Cambio",0.054,0.252,0.153,0.047,0.166
"P12","A Ricardo López Murphy por Juntos por el Cambio",0.051,0.213,0.151,0.049,0.055
"P12","A Leandro Santoro por el Frente de Todos",0.631,0.021,0.037,0.217,0.128
"P12","A Matías Lammens por el Frente de Todos",0.119,0.037,0.008,0.063,0.019
"P12","A Ramiro Marra por La Libertad Avanza",0.013,0.012,0.391,0.074,0.028
"P12","Al candidato del Frente de Izquierda",0.012,0.003,0.011,0.283,0.027
"P12","A Luis Zamora por Autodeterminación y Libertad",0.028,0.006,0.038,0.162,0.102
"P12","En blanco",0.024,0.004,0.036,0.054,0.107
"P12","No sabe",0.052,0.026,0.039,0.015,0.28
"P13","A Martín Lousteau por Juntos por el Cambio",0.05,0.278,0.139,0.036,0.141
"P13","A Jorge Macri por Juntos por el Cambio",0.056,0.392,0.113,0.077,0.103
"P13","A Ricardo López Murphy por Juntos por el Cambio",0.023,0.213,0.158,0.005,0.053
"P13","A Leandro Santoro por el Frente de Todos",0.619,0.035,0.045,0.165,0.127
"P13","A Pedro Rosemblat por el Frente de Todos",0.157,0.038,0.014,0.07,0.031
"P13","A Ramiro Marra por La Libertad Avanza",0.008,0.01,0.446,0.023,0.013
