"var","categoria","Jorge Macri por Juntos por el Cambio","Leandro Santoro por el Frente de Todos","En blanco","No sabe"
"P05","Siempre",0.312,0.217,0.265,0.273
"P05","Casi siempre",0.429,0.497,0.267,0.348
"P05","Casi nunca",0.209,0.233,0.337,0.258
"P05","Nunca, pero esta es una excepción",0.05,0.053,0.131,0.121
"P06","Mucho",0.374,0.553,0.424,0.256
"P06","Bastante",0.431,0.317,0.252,0.317
"P06","Poco",0.154,0.099,0.194,0.234
"P06","Nada",0.033,0.018,0.125,0.157
"P06","No sabe",0.008,0.013,0.005,0.036
"P07","Del Frente de Todos y el peronismo",0.044,0.788,0.066,0.127
"P07","De Juntos por el Cambio",0.773,0.071,0.177,0.21
"P07","De los Liberales libertarios",0.145,0.037,0.491,0.335
"P07","De la Izquierda",0.004,0.057,0.091,0.05
"P07","No sabe",0.034,0.047,0.175,0.278
"P08","A Leandro Santoro",0.453,0.712,0.315,0.414
"P08","A Matias Lammens",0.199,0.065,0.346,0.21
"P08","A Mariano Recalde",0.348,0.223,0.339,0.376
"P09","A Jorge Macri",0.55,0.061,0.012,0.094
"P09","A Martín Lousteau",0.271,0.795,0.75,0.555
"P09","A Ricardo López Murphy",0.179,0.144,0.238,0.351
"P10","Jorge Macri por Juntos por el Cambio",0.532,0.012,0.008,0.023
"P10","Martín Lousteau  por Juntos por el Cambio",0.153,0.072,0.183,0.194
"P10","Ricardo López Murphy  por Juntos por el Cambio",0.187,0.011,0.128,0.131
"P10","Leandro Santoro por el Frente de Todos",0.008,0.521,0.018,0.035
"P10","Mariano Recalde por el Frente de Todos",0.004,0.137,0.012,0.036
"P10","Pedro Rosemblat por el Frente de Todos",0.007,0.164,0.011,0.048
"P10","Ramiro Marra por la Libertad Avanza",0.088,0.02,0.419,0.239
"P10","Al candidato del Frente de Izquierda",0.003,0.035,0.087,0.017
"P10","En blanco",0.004,0.002,0.078,0.031
"P10","No sabe",0.014,0.026,0.056,0.246
"P13","Jorge Macri por Juntos por el Cambio",0.575,0.015,0.047,0.039
"P13","Martín Lousteau  por Juntos por el Cambio",0.197,0.091,0.199,0.193
"P13","Leandro Santoro por el Frente de Todos",0.029,0.722,0.041,0.036
"P13","Ramiro Marra por la Libertad Avanza",0.124,0.037,0.402,0.319
"P13","Al candidato del Frente de Izquierda",0.024,0.07,0.082,0.011
"P13","En blanco",0.01,0.023,0.132,0.092
"P13","No sabe",0.041,0.042,0.097,0.31
"P16","Jorge Macri por Juntos por el Cambio",0.512,0.028,0.046,0.07
"P16","Martín Lousteau  por Juntos por el Cambio",0.169,0.084,0.191,0.205
"P16","Ricardo López Murphy  por Juntos por el Cambio",0.17,0.024,0.113,0.116
"P16","Leandro Santoro por el Frente de Todos",0.022,0.736,0.027,0.039
"P16","Ramiro Marra por la Libertad Avanza",0.107,0.039,0.397,0.251
"P16","Al candidato del Frente de Izquierda",0.005,0.05,0.083,0.029
"P16","En blanco",0.008,0.018,0.109,0.074
"P16","No sabe",0.007,0.021,0.034,0.216
"P19","Jorge Macri por Juntos por el Cambio",0.807,0.025,0.054,0.086
"P19","Leandro Santoro por el Frente de Todos",0.017,0.833,0.052,0.047
"P19","Ramiro Marra por la Libertad Avanza",0.131,0.03,0.458,0.298
"P19","Al candidato del Frente de Izquierda",0.002,0.055,0.115,0.057
"P19","En blanco",0.012,0.013,0.246,0.094
"P19","No sabe",0.031,0.044,0.075,0.418
"P22","Martín Lousteau  por Juntos por el Cambio",0.431,0.119,0.217,0.232
"P22","Leandro Santoro por el Frente de Todos",0.075,0.733,0.099,0.039
"P22","Ramiro Marra por la Libertad Avanza",0.229,0.065,0.382,0.307
"P22","Al candidato del Frente de Izquierda",0.004,0.046,0.095,0.05
"P22","En blanco",0.091,0.014,0.176,0.094
"P22","No sabe",0.17,0.023,0.031,0.278
"P25","Ricardo López Murphy  por Juntos por el Cambio",0.626,0.06,0.195,0.185
"P25","Leandro Santoro por el Frente de Todos",0.036,0.799,0.086,0.034
"P25","Ramiro Marra por la Libertad Avanza",0.149,0.038,0.349,0.29
"P25","Al candidato del Frente de Izquierda",0.006,0.052,0.106,0.049
"P25","En blanco",0.058,0.025,0.209,0.109
"P25","No sabe",0.125,0.026,0.055,0.333
"P27","Martín Lousteau por Juntos por el Cambio",0.656,0.075,0.228,0.268
"P27","Leandro Santoro por el Frente de Todos",0.023,0.907,0.028,0.035
"P27","En blanco",0.186,0.01,0.719,0.135
"P27","No sabe",0.135,0.008,0.025,0.562
"P28","Ricardo López Murphy por Juntos por el Cambio",0.793,0.051,0.259,0.274
"P28","Leandro Santoro por el Frente de Todos",0.038,0.925,0.054,0.034
"P28","En blanco",0.075,0.01,0.645,0.11
"P28","No sabe",0.094,0.014,0.042,0.582
"P29","Lo votaría",0.689,0.019,0.044,0.071
"P29","Puede que lo vote",0.241,0.139,0.104,0.171
"P29","Nunca lo votaría",0.035,0.818,0.771,0.479
"P29","No sabe",0.035,0.024,0.081,0.279
"P30","Lo votaría",0.321,0.075,0.21,0.222
"P30","Puede que lo vote",0.288,0.206,0.106,0.174
"P30","Nunca lo votaría",0.312,0.667,0.604,0.387
"P30","No sabe",0.079,0.052,0.08,0.217
"P31","Lo votaría",0.497,0.035,0.204,0.197
"P31","Puede que lo vote",0.298,0.063,0.148,0.181
"P31","Nunca lo votaría",0.14,0.876,0.575,0.365
"P31","No sabe",0.065,0.026,0.073,0.257
