"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P06","Mucho",0.622,0.466,0.438,0.347,0.373,0.22
"P06","Bastante",0.262,0.381,0.283,0.291,0.338,0.269
"P06","Poco",0.083,0.129,0.212,0.229,0.195,0.31
"P06","Nada",0.029,0.021,0.063,0.078,0.046,0.117
"P06","No sabe",0.004,0.003,0.004,0.055,0.048,0.084
"P07","Siempre",0.29,0.241,0.233,0.204,0.165,0.239
"P07","Casi siempre",0.395,0.475,0.241,0.258,0.341,0.187
"P07","Casi nunca",0.242,0.235,0.349,0.355,0.367,0.341
"P07","Nunca, pero esta es una excepción",0.073,0.049,0.177,0.183,0.127,0.233
"P08","Tiene Decidido que va a ir a votar",0.879,0.837,0.825,0.791,0.722,0.593
"P08","Tiene dudas sobre si va a ir a  votar",0.083,0.112,0.069,0.079,0.198,0.219
"P08","Tiene Decidido que no va a ir a votar",0.038,0.051,0.106,0.13,0.08,0.188
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.595,0.056,0.027,0.056,0.058,0.131
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.195,0.017,0.038,0.143,0.031,0.028
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.105,0.567,0.093,0.005,0.104,0.111
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.037,0.265,0.033,0.047,0.03,0.074
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.045,0.773,0.018,0.209,0.097
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.016,0.005,0.576,0.017,0.048
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.003,0.008,0,0.102,0.019
"P11","Otros",0.003,0.005,0.004,0.114,0.302,0.052
"P11","En blanco",0.001,0.009,0.014,0.033,0.053,0.146
"P11","No sabe",0.009,0.017,0.005,0.008,0.094,0.294
"P14","Totalmente seguro",0.703,0.625,0.726,0.58,0.683,0.182
"P14","Bastante seguro",0.147,0.182,0.114,0.22,0.13,0.133
"P14","Algo seguro",0.101,0.106,0.099,0.122,0.106,0.19
"P14","Para nada seguro",0.049,0.087,0.061,0.078,0.081,0.495
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.649,0.076,0.068,0.139,0.091,0.142
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.106,0.564,0.116,0.083,0.215,0.108
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.077,0.256,0.107,0.117,0.119,0.159
"P15","Ramiro Marra por la Libertad Avanza",0.073,0.047,0.607,0.054,0.092,0.152
"P15","Vanina Biasi por el Frente de Izquierda",0.043,0.001,0.04,0.487,0.085,0.019
"P15","Otros",0.039,0.017,0.033,0.083,0.334,0.138
"P15","En blanco",0.004,0.009,0.029,0.037,0.051,0.072
"P15","No sabe",0.009,0.03,0,0,0.013,0.21
"P18","Totalmente seguro",0.735,0.634,0.785,0.545,0.66,0.305
"P18","Bastante seguro",0.134,0.191,0.101,0.255,0.09,0.108
"P18","Algo seguro",0.082,0.116,0.08,0.157,0.075,0.22
"P18","Para nada seguro",0.049,0.059,0.034,0.043,0.175,0.367
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.475,0.059,0.067,0.206,0.049,0.166
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.222,0.038,0.04,0.136,0.024,0.027
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.102,0.421,0.288,0.093,0.133,0.085
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.065,0.294,0.037,0.161,0.045,0.1
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.06,0.112,0.463,0.074,0.161,0.136
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.01,0.005,0.228,0.023,0.033
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.008,0.004,0,0.154,0.026
"P23","Otros",0.019,0.007,0.009,0.102,0.268,0.041
"P23","En blanco",0.017,0.023,0.077,0,0.136,0.126
"P23","No sabe",0.008,0.028,0.01,0,0.007,0.26
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.457,0.108,0.121,0.233,0.118,0.169
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.102,0.406,0.242,0.166,0.246,0.134
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.128,0.247,0.078,0.083,0.171,0.1
"P26","Ramiro Marra por la Libertad Avanza",0.047,0.115,0.368,0.118,0.098,0.052
"P26","Vanina Biasi por el Frente de Izquierda",0.112,0.014,0.012,0.141,0,0.04
"P26","Otros",0.048,0.036,0.02,0.154,0.088,0.13
"P26","En blanco",0.053,0.035,0.123,0.105,0.244,0.102
"P26","No sabe",0.053,0.039,0.036,0,0.035,0.273
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.724,0.089,0.019,0.09,0.068,0.22
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.128,0.718,0.155,0.087,0.246,0.093
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.045,0.761,0.099,0.15,0.147
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.018,0.006,0.036,0.505,0.028,0.062
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.015,0.012,0.086,0.061,0.043
"P30","Otros",0.014,0.034,0.002,0.133,0.324,0.052
"P30","En blanco",0.033,0.051,0.005,0,0.113,0.153
"P30","No sabe",0.011,0.042,0.01,0,0.01,0.23
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.733,0.083,0.037,0.085,0.05,0.247
