"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.565,0.637,0.486,0.479,0.46,0.442,0.268,0.474,0.394,0.214
"P06","Bastante",0.284,0.242,0.347,0.36,0.316,0.271,0.275,0.329,0.314,0.389
"P06","Poco",0.098,0.102,0.133,0.131,0.141,0.182,0.294,0.131,0.2,0.321
"P06","Nada",0.052,0.016,0.028,0.015,0.062,0.105,0,0.054,0.035,0.053
"P06","No sabe",0.001,0.003,0.006,0.015,0.021,0,0.163,0.012,0.057,0.023
"P07","Siempre",0.35,0.177,0.252,0.227,0.305,0.225,0.104,0.163,0.196,0.115
"P07","Casi siempre",0.39,0.424,0.457,0.462,0.314,0.283,0.357,0.177,0.259,0.385
"P07","Casi nunca",0.171,0.322,0.235,0.249,0.272,0.422,0.355,0.537,0.286,0.326
"P07","Nunca, pero esta es una excepción",0.089,0.077,0.056,0.062,0.109,0.07,0.184,0.123,0.259,0.174
"P08","Tiene Decidido que va a ir a votar",0.882,0.859,0.854,0.836,0.811,0.744,0.871,0.773,0.853,0.684
"P08","Tiene dudas sobre si va a ir a  votar",0.065,0.081,0.093,0.121,0.118,0.062,0.114,0.174,0.111,0.213
"P08","Tiene Decidido que no va a ir a votar",0.053,0.06,0.053,0.043,0.071,0.194,0.015,0.053,0.036,0.103
"P10","Unión por la Patria",0.746,0.72,0.13,0.133,0.138,0.348,0.16,0.235,0.144,0.079
"P10","Juntos por el Cambio",0.117,0.155,0.672,0.751,0.321,0.163,0.257,0.114,0.246,0.353
"P10","Liberales",0.042,0.051,0.145,0.029,0.419,0.028,0.038,0.045,0.263,0.039
"P10","Izquierda",0.035,0.048,0.013,0.036,0.019,0.337,0,0.136,0,0
"P10","Otro",0.008,0.009,0.019,0.01,0.041,0.035,0.415,0.367,0.13,0.007
"P10","No sabe",0.052,0.017,0.021,0.041,0.062,0.089,0.13,0.103,0.217,0.522
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.553,0.592,0.056,0.058,0.065,0.256,0.06,0.193,0.108,0.08
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.213,0.198,0.014,0.009,0.04,0.245,0.155,0.057,0.036,0
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.06,0.073,0.484,0.573,0.341,0.023,0.131,0.033,0.174,0.147
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.068,0.034,0.237,0.237,0.07,0.039,0.126,0.032,0.119,0.084
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.045,0.037,0.183,0.032,0.418,0.134,0,0.072,0.283,0.076
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.03,0.042,0.006,0.069,0.022,0.226,0,0.042,0,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.006,0.003,0.007,0.004,0.004,0.024,0.347,0,0.015,0
"P11","Otros",0.003,0.009,0.001,0.005,0.009,0.053,0,0.454,0.061,0.017
"P11","En blanco",0.007,0.006,0.006,0.005,0.016,0,0.018,0.01,0.198,0.052
"P11","No sabe",0.015,0.006,0.006,0.008,0.015,0,0.163,0.107,0.006,0.544
"P14","Totalmente seguro",0.656,0.723,0.634,0.546,0.716,0.669,0.669,0.636,0.673,0.183
"P14","Bastante seguro",0.157,0.178,0.163,0.225,0.141,0.198,0.047,0.086,0.092,0.116
"P14","Algo seguro",0.102,0.073,0.126,0.136,0.095,0.052,0.132,0.101,0.018,0.187
"P14","Para nada seguro",0.085,0.026,0.077,0.093,0.048,0.081,0.152,0.177,0.217,0.514
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.66,0.652,0.072,0.079,0.085,0.429,0.177,0.263,0.113,0.08
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.067,0.053,0.517,0.502,0.342,0.046,0.126,0.06,0.22,0.2
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.101,0.074,0.182,0.34,0.108,0.147,0.265,0.102,0.092,0.141
"P15","Ramiro Marra por la Libertad Avanza",0.059,0.04,0.181,0.022,0.356,0.065,0,0.042,0.352,0.082
"P15","Vanina Biasi por el Frente de Izquierda",0.044,0.125,0.004,0.022,0.042,0.223,0.239,0.131,0,0.02
"P15","Otros",0.05,0.048,0.014,0.016,0.037,0.058,0.13,0.338,0.128,0.032
"P15","En blanco",0.007,0,0.016,0.002,0.02,0.032,0.063,0,0.064,0.011
"P15","No sabe",0.012,0.008,0.014,0.017,0.01,0,0,0.064,0.031,0.434
"P18","Totalmente seguro",0.736,0.662,0.664,0.577,0.724,0.722,0.443,0.559,0.802,0.239
"P18","Bastante seguro",0.149,0.146,0.168,0.242,0.094,0.175,0.025,0.122,0.077,0.136
"P18","Algo seguro",0.045,0.132,0.117,0.117,0.156,0.088,0.164,0.165,0.039,0.122
"P18","Para nada seguro",0.07,0.06,0.051,0.064,0.026,0.015,0.368,0.154,0.082,0.503
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.599,0.332,0.061,0.155,0.154,0.06,0.199,0.186,0.026,0.1
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.089,0.09,0.522,0.267,0.253,0.099,0.219,0,0.067,0.113
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.078,0.187,0.185,0.373,0.093,0.034,0.132,0.168,0.087,0.089
"P26","Ramiro Marra por la Libertad Avanza",0.068,0.018,0.139,0.045,0.392,0.108,0,0.061,0.03,0.026
"P26","Vanina Biasi por el Frente de Izquierda",0.074,0.17,0.014,0.034,0.014,0.267,0,0.058,0,0.024
"P26","Otros",0.034,0.05,0.028,0.047,0.035,0.288,0.276,0.309,0,0.043
"P26","En blanco",0.042,0.092,0.022,0.043,0.042,0.087,0.102,0.034,0.599,0.033
"P26","No sabe",0.016,0.061,0.029,0.036,0.017,0.057,0.072,0.184,0.191,0.572
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.812,0.687,0.043,0.072,0.12,0.265,0.132,0.221,0.083,0.118
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.057,0.678,0.639,0.378,0.028,0.26,0.072,0.169,0.208
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.042,0.051,0.173,0.073,0.469,0.034,0,0.02,0.309,0.116
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.027,0.102,0.008,0.015,0.014,0.405,0.034,0.101,0,0
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.03,0.023,0.017,0.003,0.029,0.544,0.038,0,0.021
"P30","Otros",0.012,0.017,0.015,0.068,0.002,0.21,0.03,0.414,0.058,0.037
"P30","En blanco",0.01,0.048,0.035,0.069,0.004,0.029,0,0.072,0.357,0.034
"P30","No sabe",0.018,0.008,0.025,0.047,0.01,0,0,0.062,0.024,0.466
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.781,0.668,0.058,0.107,0.12,0.27,0.13,0.264,0.103,0.124
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.088,0.043,0.57,0.752,0.162,0.029,0.35,0.064,0.157,0.224
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.061,0.188,0.068,0.672,0.035,0,0.022,0.422,0.131
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.026,0.135,0.016,0.006,0.017,0.345,0,0.081,0,0
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.007,0.028,0.022,0.012,0.003,0.058,0.312,0.175,0.022,0.014
"P31","Otros",0.009,0.015,0.035,0.029,0.006,0.228,0.208,0.25,0.044,0.039
"P31","En blanco",0,0.009,0.038,0.004,0.015,0.035,0,0.126,0.243,0
"P31","No sabe",0.049,0.041,0.073,0.022,0.005,0,0,0.018,0.009,0.468
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.777,0.744,0.047,0.126,0.128,0.376,0.088,0.47,0.099,0.124
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.092,0.086,0.688,0.756,0.381,0.015,0.416,0.077,0.213,0.179
"P32","Ramiro Marra por la Libertad Avanza",0.029,0.077,0.141,0.026,0.394,0,0,0.089,0.354,0.1
"P32","Vanina Biasi por el Frente de Izquierda",0.049,0.013,0.034,0.009,0.01,0.292,0,0.06,0,0
"P32","Otros",0.024,0.038,0.027,0.057,0.021,0.093,0.047,0.125,0.026,0
"P32","En blanco",0.024,0,0.023,0.012,0.008,0.224,0.41,0.13,0.195,0.027
"P32","No sabe",0.005,0.042,0.04,0.014,0.058,0,0.039,0.049,0.113,0.57
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.754,0.792,0.077,0.07,0.106,0.545,0.323,0.494,0.101,0.126
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.139,0.081,0.505,0.714,0.289,0.075,0.538,0.139,0.16,0.231
"P33","Ramiro Marra por la Libertad Avanza",0.022,0.043,0.177,0.066,0.529,0.015,0,0.095,0.45,0.08
"P33","Vanina Biasi por el Frente de Izquierda",0.038,0.013,0.021,0.005,0.015,0.23,0,0.064,0,0.03
"P33","Otros",0.022,0.036,0.085,0.037,0.013,0.092,0,0.155,0.035,0.035
"P33","En blanco",0.015,0.003,0.055,0.075,0.014,0.043,0.106,0,0.243,0.027
"P33","No sabe",0.01,0.032,0.08,0.033,0.034,0,0.033,0.053,0.011,0.471
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.842,0.784,0.089,0.179,0.101,0.515,0.172,0.468,0.136,0.144
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.097,0.848,0.708,0.675,0.036,0.265,0.135,0.508,0.429
"P36","En blanco",0.054,0.112,0.028,0.063,0.152,0.344,0.408,0.318,0.356,0.157
"P36","No sabe",0.031,0.007,0.035,0.05,0.072,0.105,0.155,0.079,0,0.27
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.176,0.164,0.68,0.687,0.474,0.036,0.284,0.08,0.247,0.37
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.067,0.207,0.08,0.44,0.064,0.026,0.111,0.434,0.105
"P37","En blanco",0.572,0.66,0.065,0.172,0.061,0.736,0.539,0.76,0.319,0.141
"P37","No sabe",0.198,0.109,0.048,0.061,0.025,0.164,0.151,0.049,0,0.384
