"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.632,0.489,0.413,0.593,0.248,0.473,0.525,0.388
"P06","Bastante",0.251,0.371,0.329,0.332,0.495,0.381,0.38,0.286
"P06","Poco",0.085,0.125,0.208,0.048,0.154,0.146,0.095,0.281
"P06","Nada",0.027,0.014,0.044,0.017,0.103,0,0,0.019
"P06","No sabe",0.005,0.001,0.006,0.01,0,0,0,0.026
"P07","Siempre",0.296,0.264,0.245,0.295,0.194,0.304,0.276,0.276
"P07","Casi siempre",0.431,0.467,0.307,0.342,0.238,0.44,0.435,0.478
"P07","Casi nunca",0.214,0.216,0.345,0.255,0.432,0.219,0.192,0.181
"P07","Nunca, pero esta es una excepción",0.059,0.053,0.103,0.108,0.136,0.037,0.097,0.065
"P08","Tiene Decidido que va a ir a votar",0.85,0.847,0.855,0.954,0.719,0.755,0.908,0.73
"P08","Tiene dudas sobre si va a ir a  votar",0.106,0.098,0.079,0.046,0.215,0.087,0.029,0.14
"P08","Tiene Decidido que no va a ir a votar",0.044,0.055,0.066,0,0.066,0.158,0.063,0.13
"P10","Unión por la Patria",0.816,0.113,0.07,0.344,0.274,0.152,0.18,0.213
"P10","Juntos por el Cambio",0.115,0.797,0.269,0.063,0.296,0.462,0.547,0.492
"P10","Liberales",0.017,0.036,0.599,0.017,0.049,0,0,0.075
"P10","Izquierda",0.009,0.023,0.002,0.47,0,0.151,0.033,0
"P10","Otro",0.004,0.018,0.023,0.009,0.217,0.149,0.086,0.005
"P10","No sabe",0.039,0.013,0.037,0.097,0.164,0.086,0.154,0.215
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.696,0.022,0.018,0.11,0.042,0.018,0,0.088
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.174,0.009,0.035,0.286,0.021,0.167,0.175,0.089
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.016,0.575,0.287,0.125,0.088,0.354,0.651,0.446
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.023,0.338,0.018,0,0.071,0.14,0,0.085
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.031,0.022,0.604,0.033,0.353,0,0,0.052
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.024,0,0.439,0,0.104,0,0
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.001,0.004,0,0.277,0,0,0
"P11","Otros",0.003,0,0.01,0.007,0.106,0.205,0,0.006
"P11","En blanco",0.007,0.004,0.014,0,0.013,0.012,0.174,0.024
"P11","No sabe",0.021,0.005,0.01,0,0.029,0,0,0.21
"P14","Totalmente seguro",0.677,0.563,0.734,0.655,0.358,0.631,0.789,0.499
"P14","Bastante seguro",0.178,0.203,0.13,0.161,0.203,0.265,0.073,0.082
"P14","Algo seguro",0.081,0.132,0.096,0.129,0.285,0.045,0.011,0.151
"P14","Para nada seguro",0.064,0.102,0.04,0.055,0.154,0.059,0.127,0.268
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.745,0.051,0.036,0.307,0.153,0.206,0.155,0.169
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.041,0.585,0.321,0.048,0.05,0.218,0.566,0.316
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.082,0.264,0.101,0.154,0.297,0.239,0.054,0.12
"P15","Ramiro Marra por la Libertad Avanza",0.051,0.057,0.467,0.051,0.303,0.041,0.022,0.117
