"var","categoria","Leandro Santoro por Unión por la Patria","Martin Lousteau por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.652,0.505,0.509,0.365
"P06","Bastante",0.245,0.35,0.34,0.387
"P06","Poco",0.085,0.117,0.146,0.186
"P06","Nada",0.016,0.025,0.002,0.032
"P06","No sabe",0.002,0.003,0.003,0.03
"P07","Siempre",0.272,0.279,0.325,0.243
"P07","Casi siempre",0.461,0.464,0.441,0.436
"P07","Casi nunca",0.238,0.216,0.132,0.283
"P07","Nunca, pero esta es una excepción",0.029,0.041,0.102,0.038
"P08","Tiene Decidido que va a ir a votar",0.882,0.85,0.915,0.801
"P08","Tiene dudas sobre si va a ir a  votar",0.091,0.098,0.066,0.132
"P08","Tiene Decidido que no va a ir a votar",0.027,0.052,0.019,0.067
"P10","Unión por la Patria",0.766,0.124,0.092,0.152
"P10","Juntos por el Cambio",0.117,0.672,0.437,0.587
"P10","Liberales",0.032,0.141,0.358,0.073
"P10","Izquierda",0.045,0.015,0.043,0.008
"P10","Otro",0.007,0.017,0.042,0.04
"P10","No sabe",0.033,0.031,0.028,0.14
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.614,0.018,0.013,0.058
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.214,0.033,0.027,0
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.042,0.502,0.464,0.566
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.03,0.278,0.052,0.116
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.027,0.111,0.338,0.134
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.049,0.014,0.035,0.008
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.001,0.008,0.007
"P11","Otros",0.01,0.007,0.024,0
"P11","En blanco",0,0.007,0.033,0.039
"P11","No sabe",0.003,0.029,0.006,0.072
"P14","Totalmente seguro",0.669,0.622,0.762,0.505
"P14","Bastante seguro",0.169,0.183,0.125,0.129
"P14","Algo seguro",0.097,0.103,0.079,0.217
"P14","Para nada seguro",0.065,0.092,0.034,0.149
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.733,0.017,0.051,0
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.059,0.476,0.446,0.494
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.068,0.319,0.031,0.117
"P15","Ramiro Marra por la Libertad Avanza",0.075,0.128,0.318,0.196
"P15","Vanina Biasi por el Frente de Izquierda",0.034,0.023,0.074,0.01
"P15","Otros",0.021,0.016,0.036,0.028
"P15","En blanco",0.001,0.001,0.032,0.031
"P15","No sabe",0.009,0.02,0.012,0.124
"P18","Totalmente seguro",0.72,0.605,0.767,0.578
"P18","Bastante seguro",0.158,0.201,0.132,0.093
"P18","Algo seguro",0.07,0.14,0.059,0.166
"P18","Para nada seguro",0.052,0.054,0.042,0.163
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.499,0.056,0.064,0.057
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.24,0.043,0.022,0.055
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.07,0.422,0.346,0.47
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.06,0.258,0.107,0.126
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.152,0.248,0.165
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.041,0.004,0.025,0.008
