"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P06","Mucho",0.577,0.369,0.594,0.203
"P06","Bastante",0.324,0.409,0.283,0.36
"P06","Poco",0.081,0.167,0.106,0.362
"P06","Nada",0.017,0.051,0.01,0.075
"P06","No sabe",0.001,0.004,0.007,0
"P07","Siempre",0.309,0.206,0.303,0.129
"P07","Casi siempre",0.515,0.436,0.412,0.226
"P07","Casi nunca",0.135,0.265,0.252,0.584
"P07","Nunca, pero esta es una excepción",0.041,0.093,0.033,0.061
"P08","Tiene Decidido que va a ir a votar",0.861,0.882,0.882,0.69
"P08","Tiene dudas sobre si va a ir a  votar",0.1,0.044,0.092,0.109
"P08","Tiene Decidido que no va a ir a votar",0.039,0.074,0.026,0.201
"P10","Unión por la Patria",0.168,0.097,0.616,0.05
"P10","Juntos por el Cambio",0.721,0.531,0.148,0.326
"P10","Liberales",0.083,0.245,0.121,0.329
"P10","Izquierda",0.006,0.032,0.052,0.025
"P10","Otro",0.01,0.022,0.022,0.086
"P10","No sabe",0.012,0.073,0.041,0.184
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.08,0.057,0.456,0.07
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.02,0.045,0.177,0
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.636,0.351,0.086,0.081
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.171,0.28,0.064,0.295
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.075,0.208,0.117,0.209
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.002,0.01,0.052,0.025
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.002,0.008,0.006,0.073
"P11","Otros",0.007,0,0.015,0.038
"P11","En blanco",0.003,0.003,0.016,0.064
"P11","No sabe",0.004,0.038,0.011,0.145
"P14","Totalmente seguro",0.7,0.535,0.677,0.527
"P14","Bastante seguro",0.186,0.196,0.135,0.049
"P14","Algo seguro",0.071,0.104,0.122,0.27
"P14","Para nada seguro",0.043,0.165,0.066,0.154
"P15","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.086,0.006,0.556,0.057
"P15","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.672,0.16,0.082,0.247
"P15","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.112,0.421,0.116,0.312
"P15","Ramiro Marra por la Libertad Avanza",0.098,0.28,0.141,0.136
"P15","Vanina Biasi por el Frente de Izquierda",0.02,0.032,0.044,0.012
"P15","Otros",0.006,0.018,0.035,0.038
"P15","En blanco",0,0.023,0.007,0.039
"P15","No sabe",0.006,0.06,0.019,0.159
"P18","Totalmente seguro",0.7,0.486,0.702,0.601
"P18","Bastante seguro",0.187,0.209,0.139,0.054
"P18","Algo seguro",0.092,0.185,0.09,0.148
"P18","Para nada seguro",0.021,0.12,0.069,0.197
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.07,0.1,0.393,0.054
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.031,0.046,0.216,0.016
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.487,0.418,0.086,0.269
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.226,0.101,0.082,0.136
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.136,0.171,0.092,0.28
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.012,0,0.036,0.025
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.005,0.014,0.01,0.02
"P23","Otros",0.001,0.019,0.025,0.019
"P23","En blanco",0.02,0.055,0.044,0.016
"P23","No sabe",0.012,0.076,0.016,0.165
"P26","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.084,0.053,0.416,0.067
"P26","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.467,0.388,0.08,0.043
"P26","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.198,0.164,0.127,0.187
"P26","Ramiro Marra por la Libertad Avanza",0.126,0.168,0.085,0.388
"P26","Vanina Biasi por el Frente de Izquierda",0.029,0.015,0.112,0.041
"P26","Otros",0.035,0.03,0.047,0.057
"P26","En blanco",0.044,0.062,0.079,0.039
"P26","No sabe",0.017,0.12,0.054,0.178
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.097,0.056,0.561,0.054
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.742,0.445,0.111,0.13
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.083,0.285,0.129,0.304
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.003,0.004,0.074,0.041
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.059,0.016,0.086
"P30","Otros",0.02,0.029,0.025,0
"P30","En blanco",0.023,0.021,0.062,0.181
"P30","No sabe",0.023,0.101,0.022,0.204
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.106,0.032,0.571,0.054
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.607,0.437,0.112,0.284
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.167,0.298,0.141,0.329
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.036,0.07,0.025
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.001,0.063,0.007,0.07
"P31","Otros",0.029,0.037,0.03,0.025
"P31","En blanco",0.043,0.014,0.018,0.02
"P31","No sabe",0.043,0.083,0.051,0.193
"P32","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.101,0.056,0.625,0.034
"P32","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.809,0.477,0.097,0.157
"P32","Ramiro Marra por la Libertad Avanza",0.073,0.268,0.122,0.31
"P32","Vanina Biasi por el Frente de Izquierda",0.003,0.038,0.037,0.025
"P32","Otros",0.004,0.043,0.044,0.068
"P32","En blanco",0.004,0.021,0.047,0.08
"P32","No sabe",0.006,0.097,0.028,0.326
"P33","Leandro Santoro a Jefe de Gobierno por Unión por la Patria",0.11,0.063,0.598,0.034
"P33","Martin Lousteau a Jefe de Gobierno por Juntos por el Cambio",0.515,0.576,0.17,0.258
"P33","Ramiro Marra por la Libertad Avanza",0.172,0.211,0.121,0.272
"P33","Vanina Biasi por el Frente de Izquierda",0.008,0,0.031,0.025
"P33","Otros",0.038,0.068,0.036,0.093
"P33","En blanco",0.074,0.023,0.027,0.032
"P33","No sabe",0.083,0.059,0.017,0.286
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.135,0.098,0.639,0.145
