"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P06","Mucho",0.658,0.54,0.584,0.448
"P06","Bastante",0.255,0.293,0.342,0.327
"P06","Poco",0.063,0.116,0.062,0.15
"P06","Nada",0.013,0.037,0.008,0.062
"P06","No sabe",0.011,0.014,0.004,0.013
"P07","Siempre",0.242,0.2,0.26,0.243
"P07","Casi siempre",0.413,0.375,0.39,0.481
"P07","Casi nunca",0.294,0.321,0.241,0.17
"P07","Nunca, pero esta es una excepción",0.051,0.104,0.109,0.106
"P08","Tiene Decidido que va a ir a votar",0.914,0.911,0.829,0.861
"P08","Tiene dudas sobre si va a ir a  votar",0.052,0.037,0.085,0.078
"P08","Tiene Decidido que no va a ir a votar",0.034,0.052,0.086,0.061
"P11","Unión por la Patria",0.73,0.065,0.066,0.017
"P11","Juntos por el Cambio",0.105,0.334,0.667,0.547
"P11","Liberales",0.047,0.49,0.059,0.063
"P11","Izquierda",0.062,0.034,0.095,0.053
"P11","Otro",0.022,0.05,0.037,0.097
"P11","No sabe",0.034,0.027,0.076,0.223
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.712,0.01,0.048,0.038
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.123,0.405,0.707,0.516
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.548,0.046,0.09
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.042,0.007,0.076,0.068
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.015,0.019,0.035
"P12","Otros",0.029,0.004,0.014,0.024
"P12","En blanco",0,0,0.048,0.046
"P12","No sabe",0.026,0.011,0.042,0.183
"P15","Totalmente seguro",0.701,0.7,0.785,0.424
"P15","Bastante seguro",0.135,0.182,0.095,0.184
"P15","Algo seguro",0.096,0.092,0.051,0.12
"P15","Para nada seguro",0.068,0.026,0.069,0.272
"P16","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.733,0.04,0.073,0.049
"P16","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.129,0.599,0.656,0.611
"P16","Ramiro Marra por la Libertad Avanza",0.059,0.302,0.055,0.046
"P16","Vanina Biasi por el Frente de Izquierda",0.02,0.024,0.066,0.054
"P16","Otros",0.019,0.02,0.032,0.02
"P16","En blanco",0.007,0.001,0.109,0.033
"P16","No sabe",0.033,0.014,0.009,0.187
"P19","Totalmente seguro",0.765,0.707,0.794,0.405
"P19","Bastante seguro",0.11,0.165,0.148,0.245
"P19","Algo seguro",0.066,0.086,0.029,0.131
"P19","Para nada seguro",0.059,0.042,0.029,0.219
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.595,0.085,0.036,0
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.067,0.339,0.488,0.504
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.086,0.51,0.073,0.231
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.153,0.002,0.051,0
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.039,0.018,0.016,0.035
"P24","Otros",0.003,0.009,0.149,0
"P24","En blanco",0.027,0.005,0.169,0.036
"P24","No sabe",0.03,0.032,0.018,0.194
"P27","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.452,0.084,0.011,0.116
"P27","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.092,0.3,0.493,0.474
"P27","Ramiro Marra por la Libertad Avanza",0.088,0.428,0,0.042
"P27","Vanina Biasi por el Frente de Izquierda",0.275,0.048,0.025,0
"P27","Otros",0.024,0.012,0.057,0
"P27","En blanco",0.031,0.081,0.287,0.027
"P27","No sabe",0.038,0.047,0.127,0.341
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.836,0.054,0.062,0.045
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.108,0.734,0.679,0.536
"P31","En blanco",0.022,0.151,0.251,0.035
"P31","No sabe",0.034,0.061,0.008,0.384
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.239,0.375,0.68,0.541
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.089,0.601,0.032,0.053
"P32","En blanco",0.464,0.008,0.275,0.027
"P32","No sabe",0.208,0.016,0.013,0.379
"P34","Leandro Santoro por Union por la Patria",0.819,0.095,0.065,0.069
"P34","Jorge Macri por Juntos por el Cambio",0.096,0.789,0.682,0.636
"P34","En blanco",0.035,0.084,0.243,0.035
"P34","No sabe",0.05,0.032,0.01,0.26
"P35","Lo votaría",0.776,0.048,0.047,0.044
"P35","Puede que lo vote",0.105,0.093,0.122,0.109
"P35","Nunca lo votaría",0.091,0.819,0.811,0.635
"P35","No sabe",0.028,0.04,0.02,0.212
"P36","Lo votaría",0.146,0.478,0.675,0.498
"P36","Puede que lo vote",0.115,0.29,0.043,0.139
"P36","Nunca lo votaría",0.687,0.222,0.263,0.13
"P36","No sabe",0.052,0.01,0.019,0.233
"P37","Lo votaría",0.08,0.577,0.071,0.176
"P37","Puede que lo vote",0.08,0.304,0.069,0.093
"P37","Nunca lo votaría",0.811,0.099,0.833,0.516
"P37","No sabe",0.029,0.02,0.027,0.215
"P38","Lo votaría",0.198,0.063,0.125,0.12
"P38","Puede que lo vote",0.396,0.056,0.048,0.059
"P38","Nunca lo votaría",0.351,0.856,0.779,0.602
"P38","No sabe",0.055,0.025,0.048,0.219
"P39","Lo votaría",0.086,0.054,0.07,0.054
"P39","Puede que lo vote",0.254,0.115,0.158,0.195
"P39","Nunca lo votaría",0.584,0.775,0.7,0.545
"P39","No sabe",0.076,0.056,0.072,0.206
"P45","Lo votaría",0.667,0.07,0.068,0.039
"P45","Puede que lo vote",0.122,0.069,0.058,0.15
"P45","Nunca lo votaría",0.177,0.831,0.838,0.555
"P45","No sabe",0.034,0.03,0.036,0.256
"P46","Lo votaría",0.172,0.56,0.602,0.516
"P46","Puede que lo vote",0.085,0.221,0.061,0.201
"P46","Nunca lo votaría",0.72,0.209,0.297,0.161
"P46","No sabe",0.023,0.01,0.04,0.122
"P52","Si",0.455,0.438,0.536,0.317
"P52","No",0.545,0.562,0.464,0.683
