"var","categoria","Tiene Decidido que va a ir a votar","Tiene dudas sobre si va a ir a votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.407,0.191,0.172
"P05","Bastante",0.335,0.324,0.212
"P05","Poco",0.201,0.36,0.393
"P05","Nada",0.043,0.108,0.198
"P05","No sabe",0.014,0.017,0.025
"P06","Siempre",0.257,0.175,0.191
"P06","Casi siempre",0.398,0.395,0.299
"P06","Casi nunca",0.253,0.321,0.297
"P06","Nunca, pero esta es una excepción",0.092,0.109,0.213
"P08","Unión por la Patria",0.305,0.198,0.122
"P08","Juntos por el Cambio",0.366,0.297,0.22
"P08","Liberales",0.172,0.138,0.151
"P08","Izquierda",0.025,0.042,0.076
"P08","Otro",0.045,0.096,0.171
"P08","No sabe",0.087,0.229,0.26
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.245,0.189,0.107
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.081,0.087,0.1
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.257,0.202,0.202
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.106,0.117,0.08
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.209,0.164,0.196
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.015,0.027,0.045
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.026,0.02,0.054
"P09","Otros",0.025,0.046,0.066
"P09","En blanco",0.009,0.07,0.053
"P09","No sabe",0.027,0.078,0.097
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.236,0.196,0.148
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.097,0.113,0.096
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.262,0.163,0.201
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.127,0.134,0.084
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.155,0.14,0.151
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.02,0.034,0.047
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.023,0.022,0.018
"P18","Otros",0.028,0.055,0.047
"P18","En blanco",0.018,0.047,0.095
"P18","No sabe",0.034,0.096,0.113
"P25","Totalmente seguro",0.729,0.203,0.193
"P25","Bastante seguro",0.119,0.372,0.053
"P25","Algo seguro",0.076,0.182,0.48
"P25","Para nada seguro",0.076,0.243,0.274
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.321,0.222,0.193
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.322,0.286,0.208
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.203,0.182,0.177
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.029,0.038,0.091
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.035,0.017,0.084
"P27","Otros",0.045,0.088,0.055
"P27","En blanco",0.015,0.051,0.045
"P27","No sabe",0.03,0.116,0.147
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.32,0.245,0.206
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.275,0.24,0.225
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.244,0.199,0.171
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.022,0.059
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.033,0.026,0.073
"P28","Otros",0.046,0.089,0.07
"P28","En blanco",0.018,0.068,0.053
"P28","No sabe",0.036,0.111,0.143
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.357,0.281,0.284
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.463,0.4,0.28
"P33","En blanco",0.108,0.135,0.275
"P33","No sabe",0.072,0.184,0.161
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.394,0.347,0.298
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.237,0.245,0.199
"P34","En blanco",0.252,0.209,0.329
"P34","No sabe",0.117,0.199,0.174
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.356,0.272,0.291
