"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P06","Mucho",0.512,0.375,0.385,0.301
"P06","Bastante",0.303,0.354,0.293,0.289
"P06","Poco",0.156,0.225,0.238,0.305
"P06","Nada",0.018,0.039,0.076,0.064
"P06","No sabe",0.011,0.007,0.008,0.041
"P07","Siempre",0.291,0.273,0.255,0.222
"P07","Casi siempre",0.446,0.449,0.38,0.417
"P07","Casi nunca",0.207,0.224,0.244,0.258
"P07","Nunca, pero esta es una excepción",0.056,0.054,0.121,0.103
"P08","Tiene Decidido que va a ir a votar",0.885,0.884,0.82,0.791
"P08","Tiene dudas sobre si va a ir a  votar",0.079,0.087,0.125,0.148
"P08","Tiene Decidido que no va a ir a votar",0.036,0.029,0.055,0.061
"P10","Unión por la Patria",0.75,0.1,0.128,0.083
"P10","Juntos por el Cambio",0.124,0.684,0.221,0.263
"P10","Liberales",0.03,0.146,0.443,0.262
"P10","Izquierda",0.023,0.008,0.048,0.052
"P10","Otro",0.028,0.029,0.051,0.097
"P10","No sabe",0.045,0.033,0.109,0.243
"P11","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.658,0.014,0.063,0.068
"P11","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.183,0.008,0.071,0.047
"P11","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.051,0.523,0.198,0.255
"P11","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.03,0.254,0.038,0.035
"P11","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.026,0.164,0.478,0.348
"P11","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.002,0.042,0.022
"P11","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.014,0.034,0.05
"P11","Otros",0.016,0.007,0.048,0.074
"P11","En blanco",0.004,0.004,0.02,0.008
"P11","No sabe",0.011,0.01,0.008,0.093
"P14","Totalmente seguro",0.665,0.625,0.723,0.543
"P14","Bastante seguro",0.195,0.179,0.098,0.116
"P14","Algo seguro",0.083,0.126,0.089,0.159
"P14","Para nada seguro",0.057,0.07,0.09,0.182
"P23","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.502,0.045,0.083,0.108
"P23","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.214,0.02,0.053,0.051
"P23","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.435,0.288,0.265
"P23","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.053,0.289,0.051,0.077
"P23","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.075,0.164,0.345,0.258
"P23","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.024,0.002,0.025,0.024
"P23","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.01,0.015,0.035,0.032
"P23","Otros",0.026,0.008,0.052,0.056
"P23","En blanco",0.01,0.007,0.044,0.013
"P23","No sabe",0.012,0.015,0.024,0.116
"P30","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.792,0.023,0.092,0.08
"P30","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.074,0.669,0.234,0.255
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.039,0.184,0.478,0.321
"P30","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.028,0.015,0.046,0.039
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.02,0.025,0.043,0.091
"P30","Otros",0.022,0.045,0.052,0.056
"P30","En blanco",0.009,0.014,0.028,0.022
"P30","No sabe",0.016,0.025,0.027,0.136
"P31","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.801,0.025,0.123,0.074
"P31","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.071,0.663,0.097,0.095
"P31","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.04,0.227,0.533,0.384
"P31","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.025,0.004,0.044,0.037
"P31","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.024,0.048,0.096
"P31","Otros",0.02,0.024,0.053,0.089
"P31","En blanco",0.007,0.013,0.075,0.027
"P31","No sabe",0.017,0.02,0.027,0.198
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.874,0.069,0.08,0.131
"P36","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.073,0.831,0.402,0.376
"P36","En blanco",0.035,0.044,0.471,0.074
"P36","No sabe",0.018,0.056,0.047,0.419
"P37","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.18,0.676,0.222,0.27
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.237,0.472,0.342
"P37","En blanco",0.539,0.044,0.284,0.065
"P37","No sabe",0.199,0.043,0.022,0.323
"P39","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.246,0.656,0.073,0.094
"P39","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.072,0.294,0.537,0.413
"P39","En blanco",0.476,0.022,0.334,0.059
"P39","No sabe",0.206,0.028,0.056,0.434
"P40","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.879,0.068,0.075,0.106
"P40","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.511,0.575,0.429
"P40","En blanco",0.046,0.223,0.321,0.047
"P40","No sabe",0.023,0.198,0.029,0.418
"P43","Lo votaría",0.813,0.036,0.086,0.078
"P43","Puede que lo vote",0.087,0.112,0.1,0.129
"P43","Nunca lo votaría",0.078,0.815,0.788,0.543
"P43","No sabe",0.022,0.037,0.026,0.25
"P44","Lo votaría",0.562,0.014,0.108,0.08
"P44","Puede que lo vote",0.204,0.051,0.058,0.064
"P44","Nunca lo votaría",0.178,0.908,0.792,0.662
"P44","No sabe",0.056,0.027,0.042,0.194
"P45","Lo votaría",0.121,0.624,0.266,0.259
"P45","Puede que lo vote",0.062,0.173,0.225,0.193
"P45","Nunca lo votaría",0.785,0.179,0.475,0.381
"P45","No sabe",0.032,0.024,0.034,0.167
"P46","Lo votaría",0.071,0.601,0.062,0.088
"P46","Puede que lo vote",0.12,0.28,0.113,0.205
"P46","Nunca lo votaría",0.776,0.098,0.76,0.486
"P46","No sabe",0.033,0.021,0.065,0.221
"P47","Lo votaría",0.076,0.283,0.501,0.35
"P47","Puede que lo vote",0.065,0.28,0.111,0.129
"P47","Nunca lo votaría",0.838,0.396,0.366,0.361
"P47","No sabe",0.021,0.041,0.022,0.16
"P48","Lo votaría",0.109,0.039,0.081,0.043
"P48","Puede que lo vote",0.322,0.069,0.089,0.111
"P48","Nunca lo votaría",0.502,0.859,0.8,0.663
"P48","No sabe",0.067,0.033,0.03,0.183
"P49","Lo votaría",0.071,0.06,0.074,0.098
"P49","Puede que lo vote",0.254,0.198,0.13,0.138
"P49","Nunca lo votaría",0.612,0.689,0.742,0.542
"P49","No sabe",0.063,0.053,0.054,0.222
"P60","Si",0.5,0.515,0.478,0.504
"P60","No",0.5,0.485,0.522,0.496
