"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P06","Mucho",0.561,0.435,0.445,0.485,0.34,0.238
"P06","Bastante",0.264,0.357,0.288,0.26,0.243,0.291
"P06","Poco",0.143,0.176,0.216,0.155,0.301,0.204
"P06","Nada",0.02,0.027,0.042,0.065,0.082,0.19
"P06","No sabe",0.012,0.005,0.009,0.035,0.034,0.077
"P07","Siempre",0.309,0.256,0.235,0.218,0.194,0.141
"P07","Casi siempre",0.378,0.444,0.329,0.314,0.316,0.291
"P07","Casi nunca",0.236,0.23,0.309,0.324,0.295,0.338
"P07","Nunca, pero esta es una excepción",0.077,0.07,0.127,0.144,0.195,0.23
"P08","Tiene Decidido que va a ir a votar",0.912,0.898,0.923,0.842,0.868,0.726
"P08","Tiene dudas sobre si va a ir a  votar",0.052,0.065,0.05,0.066,0.056,0.161
"P08","Tiene Decidido que no va a ir a votar",0.036,0.037,0.027,0.092,0.076,0.113
"P12","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.896,0.065,0.019,0.099,0.073,0.167
"P12","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.025,0.827,0.089,0.184,0.069,0.057
"P12","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.043,0.064,0.858,0.101,0.501,0.198
"P12","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.005,0.009,0.475,0.013,0.008
"P12","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.012,0.007,0.038,0.166,0.034
"P12","Otros",0.004,0.011,0.006,0.052,0.07,0.102
"P12","En blanco",0.007,0.004,0.006,0.004,0.05,0.087
"P12","No sabe",0.005,0.012,0.006,0.047,0.058,0.347
"P15","Totalmente seguro",0.763,0.685,0.76,0.531,0.577,0.374
"P15","Bastante seguro",0.114,0.182,0.125,0.133,0.234,0.089
"P15","Algo seguro",0.084,0.095,0.089,0.204,0.113,0.113
"P15","Para nada seguro",0.039,0.038,0.026,0.132,0.076,0.424
"P24","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.627,0.085,0.078,0.232,0.14,0.141
"P24","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.069,0.537,0.342,0.103,0.29,0.125
"P24","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.067,0.225,0.463,0.115,0.25,0.16
"P24","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.114,0.021,0.009,0.36,0.035,0.026
"P24","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.026,0.023,0.021,0.118,0.11,0.035
"P24","Otros",0.023,0.035,0.023,0.017,0.074,0.147
"P24","En blanco",0.051,0.04,0.056,0.042,0.069,0.106
"P24","No sabe",0.023,0.034,0.008,0.013,0.032,0.26
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.904,0.094,0.062,0.349,0.158,0.217
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.033,0.842,0.542,0.203,0.298,0.19
"P31","En blanco",0.039,0.031,0.257,0.266,0.206,0.154
"P31","No sabe",0.024,0.033,0.139,0.182,0.338,0.439
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.171,0.813,0.124,0.227,0.125,0.103
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.078,0.093,0.826,0.198,0.57,0.287
"P32","En blanco",0.532,0.053,0.03,0.351,0.109,0.155
"P32","No sabe",0.219,0.041,0.02,0.224,0.196,0.455
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.879,0.114,0.039,0.365,0.13,0.219
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.46,0.91,0.239,0.545,0.273
"P33","En blanco",0.041,0.259,0.026,0.285,0.137,0.094
"P33","No sabe",0.015,0.167,0.025,0.111,0.188,0.414
"P35","Lo votaría",0.879,0.092,0.057,0.188,0.102,0.173
"P35","Puede que lo vote",0.062,0.078,0.117,0.304,0.212,0.152
"P35","Nunca lo votaría",0.045,0.8,0.787,0.45,0.625,0.355
"P35","No sabe",0.014,0.03,0.039,0.058,0.061,0.32
"P36","Lo votaría",0.085,0.798,0.221,0.14,0.105,0.117
"P36","Puede que lo vote",0.119,0.071,0.346,0.187,0.242,0.183
"P36","Nunca lo votaría",0.76,0.112,0.386,0.627,0.573,0.334
"P36","No sabe",0.036,0.019,0.047,0.046,0.08,0.366
"P37","Lo votaría",0.05,0.208,0.801,0.156,0.445,0.181
"P37","Puede que lo vote",0.072,0.303,0.12,0.23,0.168,0.183
"P37","Nunca lo votaría",0.862,0.436,0.062,0.597,0.308,0.365
"P37","No sabe",0.016,0.053,0.017,0.017,0.079,0.271
"P38","Lo votaría",0.107,0.035,0.064,0.514,0.099,0.054
"P38","Puede que lo vote",0.346,0.074,0.095,0.178,0.094,0.105
"P38","Nunca lo votaría",0.473,0.838,0.808,0.284,0.721,0.452
"P38","No sabe",0.074,0.053,0.033,0.024,0.086,0.389
"P39","Lo votaría",0.081,0.081,0.045,0.12,0.225,0.098
"P39","Puede que lo vote",0.223,0.193,0.186,0.259,0.186,0.161
"P39","Nunca lo votaría",0.624,0.674,0.727,0.553,0.547,0.345
"P39","No sabe",0.072,0.052,0.042,0.068,0.042,0.396
"P52","Si",0.51,0.477,0.439,0.323,0.46,0.368
"P52","No",0.49,0.523,0.561,0.677,0.54,0.632
"PRESIDENTE","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.884,0.065,0.025,0.109,0.067,0.178
"PRESIDENTE","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.031,0.819,0.093,0.167,0.068,0.073
"PRESIDENTE","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.047,0.069,0.846,0.14,0.513,0.205
"PRESIDENTE","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.012,0.005,0.008,0.44,0.016,0.014
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.009,0.016,0.011,0.039,0.159,0.041
"PRESIDENTE","Otros",0.005,0.012,0.005,0.051,0.072,0.081
"PRESIDENTE","En blanco",0.008,0.004,0.006,0.007,0.048,0.105
"PRESIDENTE","No sabe",0.004,0.01,0.006,0.047,0.057,0.303
