"var","categoria","Ha aumentado significativamente","Ha aumentado ligeramente","Se mantiene igual","Ha disminuido ligeramente","Ha disminuido significativamente"
"P06","Mucho",0.534,0.49,0.433,0.409,0.403
"P06","Bastante",0.219,0.275,0.29,0.3,0.302
"P06","Poco",0.212,0.213,0.244,0.248,0.264
"P06","Nada",0.034,0.02,0.023,0.03,0.029
"P06","No sabe",0.001,0.002,0.01,0.013,0.002
"P07","Siempre",0.347,0.235,0.294,0.261,0.258
"P07","Casi siempre",0.328,0.468,0.413,0.423,0.391
"P07","Casi nunca",0.254,0.211,0.242,0.279,0.262
"P07","Nunca, pero esta es una excepción",0.071,0.086,0.051,0.037,0.089
"P09","Gran excedente habitual",0.057,0.013,0.007,0.013,0.01
"P09","Gran excedente excepcional",0.014,0.021,0.016,0.006,0.003
"P09","Pequeño excedente habitual",0.085,0.15,0.075,0.048,0.03
"P09","Pequeño excedente excepcional",0.176,0.192,0.148,0.141,0.086
"P09","Alcanza gastos familia",0.077,0.123,0.144,0.117,0.118
"P09","No alcanza gastos familia",0.054,0.048,0.059,0.071,0.09
"P09","Solo NBFamiliares",0.191,0.262,0.324,0.262,0.257
"P09","No alcanza NBFamiliares",0.331,0.186,0.221,0.339,0.405
"P09","No sabe",0.015,0.005,0.006,0.003,0.001
"P10","Tiene Decidido que va a ir a votar",0.958,0.914,0.863,0.888,0.877
"P10","Tiene dudas sobre si va a ir a  votar",0.031,0.063,0.113,0.094,0.077
"P10","Tiene Decidido que no va a ir a votar",0.011,0.023,0.024,0.018,0.046
"P13","Unión por la Patria",0.671,0.516,0.375,0.278,0.104
"P13","Juntos por el Cambio ",0.069,0.174,0.264,0.341,0.383
"P13","Liberales",0.115,0.188,0.195,0.226,0.31
"P13","Izquierda",0.047,0.034,0.033,0.031,0.038
"P13","Hacemos por Nuestro país",0.061,0.046,0.067,0.039,0.083
"P13","No sabe",0.037,0.042,0.066,0.085,0.082
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.652,0.539,0.412,0.267,0.126
"P14","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.111,0.219,0.296,0.392,0.473
"P14","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.161,0.182,0.213,0.242,0.275
"P14","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.015,0.008,0.018,0.025,0.027
"P14","Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.034,0.011,0.019,0.022,0.028
"P14","En blanco",0.019,0.017,0.025,0.028,0.027
"P14","No sabe",0.008,0.024,0.017,0.024,0.044
"P17","Totalmente seguro",0.793,0.743,0.685,0.65,0.696
"P17","Bastante seguro",0.111,0.126,0.136,0.167,0.138
"P17","Algo seguro",0.05,0.092,0.125,0.111,0.078
"P17","Para nada seguro",0.046,0.039,0.054,0.072,0.088
"P22","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.091,0.066,0.11,0.168,0.163
"P22","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.065,0.101,0.094,0.081,0.147
"P22","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.318,0.209,0.238,0.303,0.336
"P22","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.236,0.278,0.244,0.183,0.132
"P22","En blanco",0.221,0.233,0.2,0.191,0.122
"P22","No sabe",0.069,0.113,0.114,0.074,0.1
"P25","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.466,0.083,0.16,0.158,0.067
"P25","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.272,0.372,0.418,0.313,0.374
"P25","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.124,0.231,0.174,0.172,0.151
"P25","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.017,0.056,0.008,0.005,0.012
"P25","En blanco",0.097,0.153,0.158,0.23,0.27
"P25","No sabe",0.024,0.105,0.082,0.122,0.126
"P28","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.264,0.137,0.168,0.118,0.116
"P28","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.282,0.46,0.461,0.503,0.442
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.218,0.17,0.167,0.135,0.138
"P28","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0.02,0.008,0.027,0.037,0.028
"P28","En blanco",0.216,0.206,0.14,0.171,0.203
"P28","No sabe",0,0.019,0.037,0.036,0.073
"P31","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.4,0.099,0.063,0.729,0.302
"P31","Patricia Bullrich a presidente y Luis Petri a vicepresidente por Juntos por el Cambio",0.2,0.082,0.746,0.11,0.182
"P31","Javier Milei a presidente y Victoria Villarruel a vicepresidente por la Libertad Avanza",0.2,0.77,0.116,0.071,0.012
"P31","Myriam Bregman a presidente y Nicolas del Caño a vicepresidente por el Frente de Izquierda",0,0,0.019,0.022,0.114
