"var","categoria","Al candidato a intendente de Union por la Patria","Al candidato a intendente por Juntos por el Cambio","Al candidato a intendente por la Libertad Avanza","Al candidato a intendente por el Frente de Izquierda","Otros","En blanco"
"P06","Mucho",0.53,0.437,0.435,0.523,0.598,0.159
"P06","Bastante",0.303,0.424,0.449,0.401,0.247,0.54
"P06","Poco",0.161,0.124,0.103,0.076,0.079,0.27
"P06","Nada",0.006,0.014,0.013,0,0.025,0.031
"P06","No sabe",0,0.001,0,0,0.051,0
"P07","Siempre",0.26,0.314,0.215,0.044,0.274,0.068
"P07","Casi siempre",0.399,0.388,0.478,0.554,0.571,0.441
"P07","Casi nunca",0.282,0.202,0.252,0.279,0.127,0.389
"P07","Nunca, pero esta es una excepción",0.059,0.096,0.055,0.123,0.028,0.102
"P08","Tiene Decidido que va a ir a votar",0.808,0.916,0.941,0.902,0.752,0.867
"P08","Tiene dudas sobre si va a ir a  votar",0.109,0.067,0.023,0.098,0.248,0.029
"P08","Tiene Decidido que no va a ir a votar",0.083,0.017,0.036,0,0,0.104
"P11","Unión por la Patria",0.727,0.067,0.022,0.419,0.254,0.036
"P11","Juntos por el Cambio",0.059,0.517,0.164,0.027,0.337,0.14
"P11","Liberales",0.133,0.285,0.72,0,0.107,0.109
"P11","Izquierda",0.015,0.066,0.031,0.362,0.009,0
"P11","Otro",0.008,0.022,0.048,0.021,0.2,0.016
"P11","No sabe",0.058,0.043,0.015,0.171,0.093,0.699
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.714,0.075,0.016,0.589,0.349,0.133
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.111,0.599,0.085,0.159,0.42,0.135
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.107,0.246,0.833,0.021,0.108,0.041
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.014,0.04,0.015,0.148,0.009,0
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.004,0.022,0.039,0.011,0.047,0.025
"P20","Otros",0.032,0.005,0.003,0,0.026,0.371
"P20","En blanco",0.003,0.002,0,0.011,0,0
"P20","No sabe",0.015,0.011,0.009,0.061,0.041,0.295
"P23","Totalmente seguro",0.509,0.68,0.791,0.565,0.45,0.421
"P23","Bastante seguro",0.33,0.139,0.109,0.274,0.349,0.05
"P23","Algo seguro",0.137,0.132,0.039,0.092,0.103,0.01
"P23","Para nada seguro",0.024,0.049,0.061,0.069,0.098,0.519
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.528,0.098,0.034,0.267,0.136,0
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.098,0.458,0.376,0.052,0.362,0.134
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.081,0.276,0.432,0.142,0.103,0.087
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.119,0.043,0,0.452,0.19,0.01
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.062,0.034,0.082,0,0.089,0.254
"P30","Otros",0.055,0.047,0.007,0.05,0.016,0.162
"P30","En blanco",0.027,0.022,0.041,0.037,0.019,0.044
"P30","No sabe",0.03,0.022,0.028,0,0.085,0.309
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.734,0.081,0.07,0.544,0.298,0.091
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.111,0.847,0.709,0.073,0.509,0.149
"P31","En blanco",0.103,0.022,0.127,0.135,0.028,0.119
"P31","No sabe",0.052,0.05,0.094,0.248,0.165,0.641
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.2,0.626,0.195,0.41,0.598,0.143
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.183,0.284,0.752,0.038,0.1,0.022
"P32","En blanco",0.407,0.043,0.005,0.194,0.108,0.153
"P32","No sabe",0.21,0.047,0.048,0.358,0.194,0.682
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.719,0.109,0.034,0.578,0.334,0.091
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.157,0.647,0.915,0.039,0.422,0.232
"P33","En blanco",0.076,0.117,0.041,0.02,0.068,0.036
"P33","No sabe",0.048,0.127,0.01,0.363,0.176,0.641
"P40","Lo votaría",0.694,0.078,0.051,0.433,0.505,0.269
"P40","Puede que lo vote",0.124,0.083,0.072,0.356,0.148,0.16
"P40","Nunca lo votaría",0.152,0.815,0.839,0.062,0.225,0.078
"P40","No sabe",0.03,0.024,0.038,0.149,0.122,0.493
"P41","Lo votaría",0.1,0.677,0.382,0.158,0.381,0.122
"P41","Puede que lo vote",0.202,0.182,0.358,0.314,0.348,0.023
"P41","Nunca lo votaría",0.677,0.113,0.248,0.496,0.243,0.237
"P41","No sabe",0.021,0.028,0.012,0.032,0.028,0.618
"P42","Lo votaría",0.114,0.382,0.772,0.145,0.166,0.145
"P42","Puede que lo vote",0.099,0.363,0.101,0.128,0.345,0.087
"P42","Nunca lo votaría",0.747,0.22,0.081,0.695,0.43,0.158
"P42","No sabe",0.04,0.035,0.046,0.032,0.059,0.61
"P43","Lo votaría",0.234,0.071,0.07,0.471,0.009,0
"P43","Puede que lo vote",0.338,0.113,0.17,0.15,0.306,0.096
"P43","Nunca lo votaría",0.353,0.791,0.748,0.165,0.272,0.243
"P43","No sabe",0.075,0.025,0.012,0.214,0.413,0.661
"P44","Lo votaría",0.195,0.056,0.065,0.352,0.048,0.04
"P44","Puede que lo vote",0.277,0.231,0.281,0.381,0.126,0.039
"P44","Nunca lo votaría",0.46,0.679,0.549,0.252,0.392,0.237
"P44","No sabe",0.068,0.034,0.105,0.015,0.434,0.684
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.669,0.062,0.038,0.503,0.135,0.104
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.592,0.238,0.15,0.183,0.367
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.066,0.326,0.682,0.039,0.343,0.041
