"var","categoria","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P06","Mucho",0.543,0.459,0.435,0.22,0.533,0.316,0.227,0.189
"P06","Bastante",0.284,0.365,0.32,0.325,0.167,0.339,0.414,0.204
"P06","Poco",0.134,0.152,0.196,0.368,0.22,0.172,0.091,0.171
"P06","Nada",0.031,0.023,0.024,0.051,0.08,0.155,0.268,0.381
"P06","No sabe",0.008,0.001,0.025,0.036,0,0.018,0,0.055
"P07","Siempre",0.333,0.28,0.237,0.129,0.082,0.162,0.252,0.257
"P07","Casi siempre",0.369,0.442,0.316,0.363,0.327,0.272,0.384,0.189
"P07","Casi nunca",0.205,0.214,0.318,0.297,0.377,0.35,0.238,0.324
"P07","Nunca, pero esta es una excepción",0.093,0.064,0.129,0.211,0.214,0.216,0.126,0.23
"P08","Tiene Decidido que va a ir a votar",0.914,0.915,0.919,0.813,0.761,0.883,0.738,0.696
"P08","Tiene dudas sobre si va a ir a  votar",0.06,0.05,0.062,0.067,0.18,0.111,0.191,0.196
"P08","Tiene Decidido que no va a ir a votar",0.026,0.035,0.019,0.12,0.059,0.006,0.071,0.108
"P11","Unión por la Patria",0.866,0.047,0.051,0.225,0.034,0.078,0.106,0.078
"P11","Juntos por el Cambio",0.045,0.773,0.057,0.043,0.213,0.132,0.051,0.035
"P11","Liberales",0.027,0.125,0.714,0.036,0.162,0.027,0.109,0.043
"P11","Izquierda",0.013,0.005,0.02,0.494,0.119,0.121,0.042,0
"P11","Otro",0.007,0.018,0.102,0.098,0.311,0.258,0.015,0.072
"P11","No sabe",0.042,0.032,0.056,0.104,0.161,0.384,0.677,0.772
"P20","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.968,0.023,0.018,0.103,0.019,0.054,0.018,0
"P20","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.01,0.911,0.024,0.014,0.178,0,0,0
"P20","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.011,0.042,0.937,0,0.122,0.018,0,0
"P20","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.002,0.005,0.009,0.8,0.056,0,0.016,0
"P20","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0,0.001,0.008,0.045,0.513,0,0.009,0
"P20","Otros",0.001,0.013,0.001,0,0.112,0.896,0,0
"P20","En blanco",0.001,0,0,0,0,0.014,0.694,0
"P20","No sabe",0.007,0.005,0.003,0.038,0,0.018,0.263,1
"P23","Totalmente seguro",0.76,0.687,0.79,0.419,0.503,0.486,0.337,0.44
"P23","Bastante seguro",0.103,0.184,0.128,0.123,0.277,0.12,0.025,0
"P23","Algo seguro",0.092,0.082,0.064,0.146,0.076,0.075,0.102,0.134
"P23","Para nada seguro",0.045,0.047,0.018,0.312,0.144,0.319,0.536,0.426
"P30","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.655,0.083,0.075,0.278,0.033,0.143,0.062,0.111
"P30","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.075,0.596,0.251,0.034,0.333,0.018,0,0.056
"P30","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.056,0.168,0.535,0.038,0,0.064,0.352,0.114
"P30","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.085,0.027,0.013,0.213,0.18,0.012,0,0.019
"P30","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.05,0.017,0.176,0.192,0.084,0,0
"P30","Otros",0.023,0.034,0.037,0.053,0.147,0.32,0.021,0.292
"P30","En blanco",0.048,0.023,0.054,0.159,0.115,0.255,0.246,0.168
"P30","No sabe",0.039,0.019,0.018,0.049,0,0.104,0.319,0.24
"P31","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.918,0.076,0.09,0.348,0.129,0.119,0.114,0.386
"P31","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.024,0.863,0.511,0.072,0.476,0.117,0.213,0.055
"P31","En blanco",0.036,0.021,0.235,0.238,0.044,0.293,0.277,0.043
"P31","No sabe",0.022,0.04,0.164,0.342,0.351,0.471,0.396,0.516
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.156,0.812,0.099,0.166,0.278,0.19,0.013,0.221
"P32","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.054,0.13,0.821,0.101,0.178,0.148,0.317,0.068
"P32","En blanco",0.565,0.026,0.038,0.556,0.131,0.211,0.286,0.109
"P32","No sabe",0.225,0.032,0.042,0.177,0.413,0.451,0.384,0.602
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.906,0.101,0.057,0.383,0.227,0.158,0.102,0.316
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.033,0.488,0.869,0.28,0.268,0.139,0.318,0.056
"P33","En blanco",0.043,0.211,0.04,0.165,0.169,0.202,0.216,0.093
"P33","No sabe",0.018,0.2,0.034,0.172,0.336,0.501,0.364,0.535
"P40","Lo votaría",0.883,0.095,0.062,0.338,0.331,0.143,0.05,0.223
"P40","Puede que lo vote",0.057,0.065,0.12,0.28,0.419,0.276,0.247,0.354
"P40","Nunca lo votaría",0.049,0.796,0.801,0.296,0.096,0.255,0.33,0.166
"P40","No sabe",0.011,0.044,0.017,0.086,0.154,0.326,0.373,0.257
"P41","Lo votaría",0.072,0.783,0.216,0.057,0.183,0.167,0,0
"P41","Puede que lo vote",0.094,0.098,0.322,0.121,0.374,0.152,0.314,0.319
"P41","Nunca lo votaría",0.807,0.086,0.4,0.769,0.417,0.199,0.316,0.348
"P41","No sabe",0.027,0.033,0.062,0.053,0.026,0.482,0.37,0.333
"P42","Lo votaría",0.028,0.246,0.81,0.067,0,0.07,0,0.039
"P42","Puede que lo vote",0.047,0.329,0.114,0.189,0.183,0.176,0.283,0.382
"P42","Nunca lo votaría",0.901,0.364,0.074,0.685,0.527,0.277,0.365,0.205
"P42","No sabe",0.024,0.061,0.002,0.059,0.29,0.477,0.352,0.374
"P43","Lo votaría",0.131,0.05,0.1,0.375,0.2,0.011,0.027,0
"P43","Puede que lo vote",0.317,0.065,0.117,0.275,0.478,0.325,0.313,0.333
"P43","Nunca lo votaría",0.469,0.835,0.748,0.131,0.173,0.223,0.277,0.373
"P43","No sabe",0.083,0.05,0.035,0.219,0.149,0.441,0.383,0.294
"P44","Lo votaría",0.07,0.058,0.043,0.109,0.367,0.061,0.026,0
"P44","Puede que lo vote",0.233,0.166,0.179,0.409,0.397,0.17,0.31,0.339
"P44","Nunca lo votaría",0.613,0.723,0.718,0.336,0.098,0.409,0.244,0.287
"P44","No sabe",0.084,0.053,0.06,0.146,0.138,0.36,0.42,0.374
"P47","Si",0.321,0.596,0.447,0.687,0.977,0.521,0.652,0
"P47","No",0.679,0.404,0.553,0.313,0.023,0.479,0.348,1
"P48","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",1,0,0,0,0,0,0,0
"P48","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0,0,0,0,0,0
"P48","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0,0,1,0,0,0,0,0
"P48","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0,0,0,1,0,0,0,0
"P48","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0,0,0,0,1,0,0,0
"P48","Otros",0,0,0,0,0,1,0,0
"P48","En blanco",0,0,0,0,0,0,1,0
"P49","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.852,0.076,0.104,0.498,0.454,0.36,0.205,0
"P49","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.044,0.769,0.389,0.015,0.279,0.031,0,0
"P49","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.028,0.101,0.427,0,0.016,0,0.031,0
"P49","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.048,0,0.048,0.402,0.103,0,0,0
"P49","Otros",0.019,0.008,0.012,0.018,0.148,0.064,0.066,0
"P49","En blanco",0.009,0.046,0.02,0.067,0,0.545,0.698,0
"P50","Al candidato a intendente de Union por la Patria",0.765,0.115,0.072,0.246,0.535,0.335,0.105,0
"P50","Al candidato a intendente por Juntos por el Cambio",0.102,0.711,0.514,0.014,0.118,0.143,0.066,0
"P50","Al candidato a intendente por la Libertad Avanza",0.02,0.093,0.349,0.014,0.114,0,0,0
"P50","Al candidato a intendente por el Frente de Izquierda",0.074,0.016,0.005,0.499,0,0,0.038,0
"P50","Otros",0.022,0.022,0.054,0.07,0.225,0.078,0.066,0
"P50","En blanco",0.017,0.043,0.006,0.157,0.008,0.444,0.725,0
"P51","Totalmente seguro",0.766,0.739,0.645,0.287,0.141,0.206,0.038,0
"P51","Bastante seguro",0.128,0.179,0.178,0.141,0.34,0.075,0.057,0
"P51","Algo seguro",0.089,0.062,0.094,0.269,0.215,0.281,0.121,0
"P51","Para nada seguro",0.017,0.02,0.083,0.303,0.304,0.438,0.784,0
"P52","Si",0.525,0.456,0.377,0.4,0.734,0.267,0.446,0.168
"P52","No",0.475,0.544,0.623,0.6,0.266,0.733,0.554,0.832
"GOBERNADOR","Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Union por la Patria",0.971,0.024,0.019,0.132,0.488,0.071,0.061,0
"GOBERNADOR","Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.01,0.91,0.099,0.004,0.196,0.006,0,0
"GOBERNADOR","Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.005,0.041,0.863,0,0.016,0.018,0.009,0
"GOBERNADOR","Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.006,0,0.009,0.83,0.105,0,0,0
"GOBERNADOR","Otros",0.004,0.006,0.004,0.006,0.169,0.827,0.021,0
"GOBERNADOR","En blanco",0.002,0.019,0.005,0.015,0.026,0.078,0.898,0
"GOBERNADOR","No sabe",0.002,0,0.001,0.013,0,0,0.011,1
"CORTA_PRESIDENTE","Si",0.048,0.13,0.111,0.467,0.805,0.212,0.537,0
"CORTA_PRESIDENTE","No",0.952,0.87,0.889,0.533,0.195,0.788,0.463,1
"CORTA_GOBERNADOR","Si",0.077,0.207,0.229,0.465,0.739,0.399,0.613,0
"CORTA_GOBERNADOR","No",0.923,0.793,0.771,0.535,0.261,0.601,0.387,1
