"var","categoria","Patricia Bullrich a presidente, Luis Petri a vicepresidente, Néstor Grindetti a gobernador y Miguel Fernández a vicegobernador por Juntos por el Cambio","Javier Milei a presidente, Victoria Villarruel a vicepresidente, Carolina Piparo a gobernadora y Francisco Otero a vicegobernador por la Libertad Avanza","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País","Myriam Bregman a presidente, Nicolas del Caño a vicepresidente, Rubén Sobrero a gobernador y Natalia González a vicegobernadora por el Frente de Izquierda","En blanco","No sabe"
"P06","Mucho",0.462,0.495,0.553,0.578,0.596,0.435
"P06","Bastante",0.329,0.357,0.378,0.331,0.333,0.378
"P06","Poco",0.167,0.131,0.053,0.08,0.058,0.11
"P06","Nada",0.042,0.017,0.014,0.003,0.012,0.052
"P06","No sabe",0,0,0.002,0.008,0.001,0.025
"P07","Siempre",0.336,0.356,0.257,0.255,0.31,0.19
"P07","Casi siempre",0.329,0.332,0.445,0.531,0.427,0.555
"P07","Casi nunca",0.299,0.238,0.271,0.189,0.219,0.211
"P07","Nunca, pero esta es una excepción",0.036,0.074,0.027,0.025,0.044,0.044
"P09","Gran excedente habitual",0.063,0.004,0.028,0.005,0.028,0.004
"P09","Gran excedente excepcional",0,0.021,0.011,0.022,0.001,0.004
"P09","Pequeño excedente habitual",0.117,0.039,0.1,0.145,0.102,0.051
"P09","Pequeño excedente excepcional",0.154,0.161,0.114,0.189,0.15,0.124
"P09","Alcanza gastos familia",0.031,0.096,0.113,0.098,0.151,0.171
"P09","No alcanza gastos familia",0.129,0.098,0.085,0.05,0.038,0.129
"P09","Solo NBFamiliares",0.263,0.184,0.27,0.3,0.294,0.224
"P09","No alcanza NBFamiliares",0.24,0.397,0.277,0.178,0.226,0.278
"P09","No sabe",0.003,0,0.002,0.013,0.01,0.015
"P10","Tiene Decidido que va a ir a votar",0.913,0.868,0.911,0.92,0.958,0.932
"P10","Tiene dudas sobre si va a ir a  votar",0.047,0.128,0.079,0.056,0.042,0.065
"P10","Tiene Decidido que no va a ir a votar",0.04,0.004,0.01,0.024,0,0.003
"P13","Unión por la Patria",0.598,0.706,0.841,0.935,0.901,0.782
"P13","Juntos por el Cambio ",0.166,0.108,0.056,0.022,0.015,0.031
"P13","Liberales",0.119,0.102,0.026,0,0.002,0.006
"P13","Izquierda",0,0,0.005,0.022,0.054,0.033
"P13","Hacemos por Nuestro país",0.021,0.067,0.023,0.013,0.013,0.05
"P13","No sabe",0.096,0.017,0.049,0.008,0.015,0.098
"P21","Totalmente seguro",0.69,0.747,0.792,0.795,0.849,0.713
"P21","Bastante seguro",0.088,0.09,0.114,0.135,0.081,0.149
"P21","Algo seguro",0.145,0.137,0.084,0.048,0.052,0.122
"P21","Para nada seguro",0.077,0.026,0.01,0.022,0.018,0.016
"P36","Con políticas de shock, mano dura y castigando a los corruptos y ladrones",0.343,0.429,0.146,0.025,0.045,0.053
"P36","Con políticas muy estudiadas y progresivas  para que las transformaciones de fondo necesarias se puedan realizar",0.235,0.144,0.252,0.076,0.053,0.079
"P36","Con políticas de desarrollo que permitan el crecimiento con inclusión social",0.276,0.19,0.466,0.549,0.496,0.419
"P36","Con políticas que limiten los privilegios de los que más tienen y favorezcan a los sectores más vulnerables",0.102,0.086,0.083,0.295,0.114,0.252
"P36","Con políticas revolucionarias que permitan la transformación igualitaria de la sociedad apoyándose en las mayorías populares",0.005,0.035,0.011,0.05,0.241,0.041
"P36","No sabe",0.039,0.116,0.042,0.005,0.051,0.156
"P37","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria",0.671,0.638,0.898,0.876,0.94,0.93
