"var","categoria","El kirchnerismo","Cambiemos","Los medios de comunicación","Otros","No sabe"
"P04","Tengo trabajo estable",0.447,0.444,0.467,0.394,0.307
"P04","Realizo changas o trabajos de vez en cuando",0.177,0.192,0.178,0.222,0.28
"P04","No tengo trabajo",0.166,0.168,0.173,0.232,0.185
"P04","Soy jubilado o pensionado",0.21,0.196,0.182,0.152,0.228
"P05","Derecha",0.264,0.162,0.142,0.215,0.134
"P05","Centro derecha",0.272,0.097,0.091,0.134,0.122
"P05","Centro izquierda",0.099,0.325,0.324,0.098,0.087
"P05","Izquierda",0.058,0.137,0.181,0.116,0.08
"P05","No sabe",0.307,0.279,0.262,0.437,0.577
"P06","Muy importante",0.556,0.759,0.794,0.578,0.525
"P06","Algo importante",0.237,0.104,0.116,0.159,0.155
"P06","Nada importante",0.171,0.087,0.047,0.163,0.144
"P06","No sabe",0.036,0.05,0.043,0.1,0.176
"P07","Estoy de acuerdo",0.322,0.556,0.608,0.354,0.255
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.428,0.277,0.236,0.351,0.411
"P07","No estoy de acuerdo",0.205,0.127,0.105,0.229,0.225
"P07","No sabe",0.045,0.04,0.051,0.066,0.109
"P08","Frente de Todos y el peronismo",0.109,0.663,0.654,0.267,0.233
"P08","Cambiemos",0.462,0.126,0.121,0.213,0.226
"P08","Liberales",0.33,0.096,0.106,0.345,0.279
"P08","Izquierda",0.016,0.045,0.041,0.026,0.025
"P08","No sabe",0.083,0.07,0.078,0.149,0.237
"P10","Lo votaría",0.332,0.311,0.28,0.192,0.211
"P10","Puede que lo vote",0.287,0.409,0.392,0.295,0.382
"P10","Nunca lo votaría",0.339,0.213,0.213,0.364,0.204
"P10","No sabe",0.042,0.067,0.115,0.149,0.203
"P11","Lo votaría",0.387,0.401,0.358,0.382,0.459
"P11","Puede que lo vote",0.257,0.348,0.424,0.369,0.295
"P11","Nunca lo votaría",0.338,0.187,0.139,0.168,0.192
"P11","No sabe",0.018,0.064,0.079,0.081,0.054
"P12","Lo votaría",0.396,0.347,0.311,0.546,0.41
"P12","Puede que lo vote",0.454,0.393,0.247,0.329,0.344
"P12","Nunca lo votaría",0.098,0.181,0.266,0.066,0.174
"P12","No sabe",0.052,0.079,0.176,0.059,0.072
"P13","Lo votaría",0.253,0.281,0.133,0.201,0.19
"P13","Puede que lo vote",0.358,0.314,0.258,0.383,0.35
