"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.234,0.226,0.202,0.189,0.141,0.187,0.181
"P04","Casi siempre",0.405,0.43,0.423,0.302,0.35,0.302,0.318
"P04","Casi nunca",0.278,0.269,0.296,0.365,0.393,0.382,0.361
"P04","Nunca, pero esta es una excepción",0.083,0.075,0.079,0.144,0.116,0.129,0.14
"P06","Del Frente de Todos y el peronismo",0.852,0.048,0.088,0.053,0.232,0.3,0.291
"P06","De Juntos por el cambio",0.056,0.761,0.706,0.068,0.053,0.075,0.106
"P06","De los Liberales libertarios",0.018,0.109,0.052,0.776,0.055,0.055,0.032
"P06","De la Izquierda",0.009,0.005,0.021,0.02,0.569,0.055,0.03
"P06","No sabe",0.065,0.077,0.133,0.083,0.091,0.515,0.541
"P07","A Sergio Massa",0.341,0.067,0.308,0.392,0.167,0.288,0.148
"P07","A Daniel Scioli",0.108,0.114,0.193,0.126,0.067,0.227,0.067
"P07","A algún candidato del peronismo",0.062,0.695,0.41,0.283,0.174,0.153,0.244
"P07","A algún candidato del kirchnerismo",0.489,0.124,0.089,0.199,0.592,0.332,0.541
"P08","A Sergio Massa",0.204,0.132,0.087,0.265,0.011,0.059,0.03
"P08","A Daniel Scioli",0.067,0.104,0.221,0.121,0.046,0.111,0.087
"P08","A algún candidato del peronismo",0.041,0.509,0.363,0.25,0.064,0.21,0.216
"P08","A Cristina Fernández de Kirchner",0.688,0.255,0.329,0.364,0.879,0.62,0.667
"P09","A Horacio Rodriguez Larreta",0.183,0.032,0.639,0.191,0.043,0.281,0.213
"P09","A Patricia Bullrich",0.331,0.905,0.21,0.605,0.432,0.39,0.405
"P09","A Facundo Manes",0.306,0.032,0.074,0.082,0.214,0.197,0.161
"P09","A Gerardo Morales",0.18,0.031,0.077,0.122,0.311,0.132,0.221
"P11","Javier Milei por la Libertad Avanza",0.039,0.037,0.021,0.783,0.053,0.097,0.032
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.099,0.705,0.025,0.017,0.023,0.017
"P11","Patricia Bullrich por Juntos por el Cambio",0.052,0.728,0.094,0.051,0.02,0.035,0.037
"P11","Sergio Massa  por el Frente de Todos",0.831,0.023,0.027,0.102,0.038,0.04,0.07
"P11","Facundo Manes por Juntos por el Cambio",0.013,0.07,0.08,0.01,0.211,0.045,0.069
"P11","Gerardo Morales por Juntos por el Cambio",0.004,0.019,0.046,0.007,0.028,0.154,0.034
"P11","Al candidato del Frente de Izquierda",0.011,0.001,0.004,0.006,0.568,0.026,0.167
"P11","En blanco",0.008,0.003,0.004,0.005,0.031,0.453,0.061
"P11","No sabe",0.032,0.02,0.019,0.011,0.034,0.127,0.513
"P12","Agustín Rossi  por el Frente de Todos",0.648,0.041,0.062,0.035,0.143,0.111,0.097
"P12","Patricia Bullrich por Juntos por el Cambio",0.032,0.725,0.123,0.074,0.019,0.028,0.045
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.079,0.571,0.061,0.012,0.029,0.03
"P12","Facundo Manes por Juntos por el Cambio",0.026,0.031,0.083,0.01,0.049,0.07,0.063
"P12","Gerardo Morales",0.011,0.027,0.064,0.017,0.031,0.043,0.053
"P12","Javier Milei por la Libertad Avanza",0.055,0.066,0.059,0.768,0.046,0.068,0.05
"P12","Al candidato del Frente de Izquierda",0.022,0.002,0.002,0.004,0.622,0.021,0.037
"P12","En blanco",0.041,0.005,0.009,0.01,0.034,0.478,0.059
"P12","No sabe",0.121,0.024,0.027,0.021,0.044,0.152,0.566
"P16","Daniel Scioli  por el Frente de Todos",0.632,0.052,0.058,0.117,0.1,0.152,0.132
"P16","Patricia Bullrich por Juntos por el Cambio",0.104,0.67,0.086,0.061,0.043,0.054,0.056
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.082,0.598,0.032,0.017,0.033,0.042
"P16","Facundo Manes por Juntos por el Cambio",0.039,0.087,0.086,0.028,0.043,0.051,0.061
"P16","Gerardo Morales",0.01,0.026,0.079,0.031,0.031,0.064,0.058
"P16","Javier Milei por la Libertad Avanza",0.033,0.056,0.051,0.698,0.027,0.05,0.035
"P16","Al candidato del Frente de Izquierda",0.022,0.001,0.005,0.005,0.668,0.021,0.037
"P16","En blanco",0.032,0.004,0.006,0.008,0.032,0.453,0.062
"P16","No sabe",0.083,0.022,0.031,0.02,0.039,0.122,0.517
"P17","Axel Kicillof por el Frente de Todos",0.837,0.019,0.051,0.029,0.297,0.22,0.237
"P17","Patricia Bullrich por Juntos por el Cambio",0.014,0.859,0.096,0.036,0.018,0.033,0.053
"P17","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.045,0.743,0.013,0.042,0.03,0.037
"P17","Javier Milei por la Libertad Avanza",0.021,0.044,0.051,0.874,0.049,0.067,0.045
"P17","Al candidato del Frente de Izquierda",0.013,0.004,0.012,0.008,0.461,0.045,0.029
"P17","En blanco",0.026,0.006,0.015,0.023,0.029,0.472,0.053
"P17","No sabe",0.068,0.023,0.032,0.017,0.104,0.133,0.546
"P18","Sergio Massa  por el Frente de Todos",0.898,0.022,0.087,0.035,0.102,0.12,0.149
"P18","Patricia Bullrich por Juntos por el Cambio",0.014,0.883,0.49,0.052,0.036,0.067,0.059
"P18","Javier Milei por la Libertad Avanza",0.021,0.065,0.118,0.879,0.072,0.061,0.061
"P18","Al candidato del Frente de Izquierda",0.015,0.005,0.029,0.007,0.668,0.057,0.032
"P18","En blanco",0.013,0.004,0.078,0.008,0.06,0.567,0.072
"P18","No sabe",0.039,0.021,0.198,0.019,0.062,0.128,0.627
"P21","Daniel Scioli  por el Frente de Todos",0.704,0.079,0.11,0.106,0.122,0.186,0.205
"P21","Patricia Bullrich por Juntos por el Cambio",0.09,0.767,0.446,0.112,0.052,0.049,0.07
"P21","Javier Milei por la Libertad Avanza",0.083,0.122,0.146,0.749,0.05,0.064,0.057
"P21","Al candidato del Frente de Izquierda",0.023,0.003,0.034,0.009,0.664,0.06,0.026
"P21","En blanco",0.027,0.007,0.094,0.009,0.06,0.487,0.075
"P21","No sabe",0.073,0.022,0.17,0.015,0.052,0.154,0.567
"P22","Sergio Massa  por el Frente de Todos",0.852,0.053,0.063,0.048,0.09,0.121,0.15
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.43,0.757,0.059,0.054,0.04,0.059
"P22","Javier Milei por la Libertad Avanza",0.046,0.242,0.07,0.862,0.071,0.078,0.081
"P22","Al candidato del Frente de Izquierda",0.014,0.009,0.016,0.006,0.677,0.054,0.033
"P22","En blanco",0.019,0.094,0.035,0.01,0.039,0.548,0.077
"P22","No sabe",0.035,0.172,0.059,0.015,0.069,0.159,0.6
"P25","Agustín Rossi  por el Frente de Todos",0.735,0.041,0.099,0.058,0.219,0.163,0.181
"P25","Patricia Bullrich por Juntos por el Cambio",0.042,0.825,0.483,0.111,0.046,0.055,0.099
"P25","Javier Milei por la Libertad Avanza",0.064,0.068,0.12,0.798,0.035,0.064,0.07
"P25","Al candidato del Frente de Izquierda",0.026,0.006,0.021,0.004,0.597,0.046,0.035
"P25","En blanco",0.044,0.018,0.106,0.011,0.017,0.557,0.077
"P25","No sabe",0.089,0.042,0.171,0.018,0.086,0.115,0.538
"P26","Axel Kicillof por el Frente de Todos",0.797,0.054,0.092,0.051,0.307,0.246,0.268
"P26","Patricia Bullrich por Juntos por el Cambio",0.048,0.829,0.528,0.083,0.059,0.071,0.095
"P26","Javier Milei por la Libertad Avanza",0.056,0.079,0.106,0.831,0.034,0.062,0.058
"P26","Al candidato del Frente de Izquierda",0.01,0.004,0.024,0.007,0.533,0.053,0.032
"P26","En blanco",0.027,0.013,0.098,0.006,0.018,0.492,0.073
"P26","No sabe",0.062,0.021,0.152,0.022,0.049,0.076,0.474
"P29","Sergio Massa por el Frente de Todos",0.927,0.012,0.108,0.052,0.31,0.184,0.27
"P29","Patricia Bullrich por Juntos por el Cambio",0.019,0.963,0.653,0.503,0.075,0.098,0.141
"P29","En blanco",0.021,0.014,0.109,0.247,0.397,0.572,0.126
"P29","No sabe",0.033,0.011,0.13,0.198,0.218,0.146,0.463
"P30","Sergio Massa por el Frente de Todos",0.929,0.025,0.141,0.031,0.389,0.193,0.291
"P30","Javier Milei por la Libertad Avanza",0.019,0.612,0.42,0.862,0.09,0.108,0.101
"P30","En blanco",0.023,0.175,0.237,0.06,0.375,0.569,0.148
"P30","No sabe",0.029,0.188,0.202,0.047,0.146,0.13,0.46
"P31","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.227,0.471,0.824,0.034,0.176,0.104,0.155
"P31","Javier Milei por la Libertad Avanza",0.045,0.339,0.096,0.926,0.067,0.077,0.096
"P31","En blanco",0.504,0.094,0.044,0.02,0.611,0.658,0.253
"P31","No sabe",0.224,0.096,0.036,0.02,0.146,0.161,0.496
"P32","Javier Milei por la Libertad Avanza",0.082,0.122,0.285,0.699,0.09,0.1,0.078
"P32","Patricia Bullrich por Juntos por el Cambio",0.054,0.823,0.511,0.268,0.082,0.099,0.164
"P32","En blanco",0.646,0.025,0.118,0.018,0.692,0.689,0.324
"P32","No sabe",0.218,0.03,0.086,0.015,0.136,0.112,0.434
"P33","Sergio Massa por el Frente de Todos",0.854,0.039,0.058,0.136,0.331,0.184,0.287
"P33","Horacio Rodriguez Larreta por el Juntos por el Cambio",0.014,0.721,0.863,0.283,0.103,0.096,0.132
"P33","En blanco",0.086,0.139,0.037,0.395,0.444,0.61,0.155
"P33","No sabe",0.046,0.101,0.042,0.186,0.122,0.11,0.426
"P34","Agustín Rossi por el Frente de Todos",0.843,0.014,0.062,0.044,0.437,0.219,0.298
