"var","categoria","Axel Kicillof por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.229,0.242,0.212,0.19,0.184,0.166,0.21
"P04","Casi siempre",0.416,0.441,0.446,0.32,0.352,0.332,0.334
"P04","Casi nunca",0.274,0.252,0.284,0.364,0.335,0.353,0.336
"P04","Nunca, pero esta es una excepción",0.081,0.065,0.058,0.126,0.129,0.149,0.12
"P06","Del Frente de Todos y el peronismo",0.847,0.042,0.088,0.045,0.204,0.227,0.29
"P06","De Juntos por el cambio",0.056,0.77,0.716,0.073,0.054,0.127,0.125
"P06","De los Liberales libertarios",0.023,0.106,0.06,0.799,0.081,0.133,0.048
"P06","De la Izquierda",0.018,0.009,0.02,0.016,0.522,0.046,0.049
"P06","No sabe",0.056,0.073,0.116,0.067,0.139,0.467,0.488
"P07","A Sergio Massa",0.294,0.229,0.458,0.281,0.249,0.445,0.254
"P07","A Daniel Scioli",0.099,0.103,0.172,0.124,0.196,0.199,0.118
"P07","A algún candidato del peronismo",0.065,0.567,0.231,0.417,0.204,0.168,0.244
"P07","A algún candidato del kirchnerismo",0.542,0.101,0.139,0.178,0.351,0.188,0.384
"P08","A Sergio Massa",0.154,0.147,0.318,0.184,0.12,0.295,0.127
"P08","A Daniel Scioli",0.055,0.163,0.19,0.148,0.022,0.141,0.128
"P08","A algún candidato del peronismo",0.054,0.477,0.249,0.35,0.262,0.126,0.209
"P08","A Cristina Fernández de Kirchner",0.737,0.213,0.243,0.318,0.596,0.438,0.536
"P09","A Horacio Rodriguez Larreta",0.176,0.042,0.586,0.144,0.032,0.125,0.182
"P09","A Patricia Bullrich",0.358,0.912,0.222,0.625,0.215,0.286,0.412
"P09","A Facundo Manes",0.335,0.025,0.093,0.097,0.469,0.153,0.142
"P09","A Gerardo Morales",0.131,0.021,0.099,0.134,0.284,0.436,0.264
"P10","Sergio Massa por el Frente de Todos",0.756,0.014,0.049,0.017,0.106,0.148,0.161
"P10","Patricia Bullrich por Juntos por el Cambio",0.017,0.864,0.103,0.035,0.033,0.035,0.055
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.02,0.042,0.744,0.018,0.043,0.039,0.033
"P10","Javier Milei por la Libertad Avanza",0.034,0.047,0.038,0.898,0.087,0.168,0.051
"P10","Al candidato del Frente de Izquierda",0.041,0.003,0.015,0.006,0.562,0.025,0.038
"P10","En blanco",0.032,0.005,0.011,0.009,0.058,0.439,0.051
"P10","No sabe",0.1,0.025,0.04,0.017,0.111,0.146,0.611
"P11","Javier Milei por la Libertad Avanza",0.045,0.043,0.027,0.772,0.079,0.172,0.037
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.097,0.666,0.028,0.017,0.016,0.033
"P11","Patricia Bullrich por Juntos por el Cambio",0.047,0.73,0.092,0.061,0.03,0.038,0.044
"P11","Sergio Massa  por el Frente de Todos",0.714,0.026,0.047,0.095,0.102,0.115,0.149
