"var","categoria","Daniel Scioli  por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.259,0.233,0.195,0.187,0.166,0.195
"P04","Casi siempre",0.41,0.445,0.355,0.368,0.36,0.368
"P04","Casi nunca",0.263,0.251,0.34,0.341,0.369,0.327
"P04","Nunca, pero esta es una excepción",0.068,0.071,0.11,0.104,0.105,0.11
"P06","Del Frente de Todos y el peronismo",0.707,0.093,0.094,0.304,0.281,0.301
"P06","De Juntos por el cambio",0.116,0.691,0.128,0.087,0.201,0.199
"P06","De los Liberales libertarios",0.106,0.139,0.699,0.062,0.075,0.042
"P06","De la Izquierda",0.015,0.008,0.014,0.436,0.039,0.026
"P06","No sabe",0.056,0.069,0.065,0.111,0.404,0.432
"P07","A Sergio Massa",0.282,0.419,0.382,0.331,0.428,0.225
"P07","A Daniel Scioli",0.126,0.065,0.137,0.048,0.036,0.048
"P07","A algún candidato del peronismo",0.08,0.29,0.214,0.03,0.066,0.164
"P07","A algún candidato del kirchnerismo",0.512,0.226,0.267,0.591,0.47,0.563
"P08","A Sergio Massa",0.165,0.184,0.176,0.085,0.206,0.09
"P08","A Daniel Scioli",0.085,0.077,0.136,0.03,0.043,0.015
"P08","A algún candidato del peronismo",0.066,0.288,0.214,0,0.115,0.166
"P08","A Cristina Fernández de Kirchner",0.684,0.451,0.474,0.885,0.636,0.729
"P09","A Horacio Rodriguez Larreta",0.128,0.128,0.247,0.375,0.509,0.349
"P09","A Patricia Bullrich",0.539,0.79,0.59,0.106,0.193,0.332
"P09","A Facundo Manes",0.236,0.036,0.082,0.308,0.136,0.127
"P09","A Gerardo Morales",0.097,0.046,0.081,0.211,0.162,0.192
"P10","Sergio Massa por el Frente de Todos",0.643,0.073,0.067,0.138,0.135,0.16
"P10","Patricia Bullrich por Juntos por el Cambio",0.073,0.626,0.098,0.019,0.033,0.049
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.151,0.049,0.084,0.196,0.156
"P10","Javier Milei por la Libertad Avanza",0.121,0.114,0.753,0.067,0.056,0.043
"P10","Al candidato del Frente de Izquierda",0.016,0.006,0.006,0.573,0.044,0.017
"P10","En blanco",0.026,0.006,0.008,0.055,0.378,0.053
"P10","No sabe",0.079,0.024,0.019,0.064,0.158,0.522
"P11","Javier Milei por la Libertad Avanza",0.104,0.084,0.667,0.041,0.089,0.034
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.039,0.171,0.064,0.072,0.162,0.134
"P11","Patricia Bullrich por Juntos por el Cambio",0.08,0.551,0.107,0.037,0.04,0.038
"P11","Sergio Massa  por el Frente de Todos",0.637,0.093,0.103,0.137,0.131,0.147
"P11","Facundo Manes por Juntos por el Cambio",0.035,0.051,0.028,0.159,0.071,0.087
"P11","Gerardo Morales por Juntos por el Cambio",0.012,0.022,0.007,0.036,0.111,0.037
"P11","Al candidato del Frente de Izquierda",0.023,0.008,0.006,0.466,0.045,0.122
"P11","En blanco",0.02,0.002,0.005,0.028,0.259,0.035
"P11","No sabe",0.05,0.018,0.013,0.024,0.092,0.366
"P12","Agustín Rossi  por el Frente de Todos",0.545,0.074,0.07,0.182,0.108,0.106
"P12","Patricia Bullrich por Juntos por el Cambio",0.073,0.555,0.113,0.026,0.04,0.054
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.064,0.153,0.072,0.079,0.164,0.124
"P12","Facundo Manes por Juntos por el Cambio",0.026,0.039,0.019,0.072,0.066,0.08
"P12","Gerardo Morales",0.014,0.028,0.018,0.021,0.064,0.062
"P12","Javier Milei por la Libertad Avanza",0.13,0.115,0.677,0.039,0.052,0.044
"P12","Al candidato del Frente de Izquierda",0.018,0.002,0.005,0.517,0.029,0.027
"P12","En blanco",0.033,0.007,0.009,0.048,0.372,0.031
"P12","No sabe",0.097,0.027,0.017,0.016,0.105,0.472
"P16","Daniel Scioli  por el Frente de Todos",0.598,0.077,0.112,0.071,0.059,0.077
"P16","Patricia Bullrich por Juntos por el Cambio",0.125,0.527,0.102,0.06,0.051,0.04
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.049,0.164,0.068,0.081,0.171,0.116
"P16","Facundo Manes por Juntos por el Cambio",0.042,0.079,0.034,0.052,0.075,0.089
"P16","Gerardo Morales",0.021,0.038,0.023,0.042,0.074,0.078
"P16","Javier Milei por la Libertad Avanza",0.083,0.083,0.633,0.042,0.033,0.048
