"var","categoria","Sergio Massa  por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.246,0.238,0.201,0.207,0.201,0.222
"P04","Casi siempre",0.425,0.462,0.353,0.351,0.372,0.387
"P04","Casi nunca",0.258,0.235,0.34,0.338,0.336,0.289
"P04","Nunca, pero esta es una excepción",0.071,0.065,0.106,0.104,0.091,0.102
"P06","Del Frente de Todos y el peronismo",0.793,0.078,0.059,0.312,0.244,0.228
"P06","De Juntos por el cambio",0.091,0.748,0.155,0.078,0.343,0.344
"P06","De los Liberales libertarios",0.042,0.088,0.71,0.051,0.05,0.048
"P06","De la Izquierda",0.014,0.015,0.01,0.455,0.047,0.021
"P06","No sabe",0.06,0.071,0.066,0.104,0.316,0.359
"P07","A Sergio Massa",0.33,0.227,0.339,0.288,0.314,0.153
"P07","A Daniel Scioli",0.109,0.128,0.085,0.074,0.088,0.063
"P07","A algún candidato del peronismo",0.061,0.371,0.308,0.079,0.103,0.2
"P07","A algún candidato del kirchnerismo",0.5,0.274,0.268,0.559,0.495,0.584
"P08","A Sergio Massa",0.187,0.126,0.147,0.124,0.055,0.044
"P08","A Daniel Scioli",0.071,0.179,0.097,0.054,0.076,0.049
"P08","A algún candidato del peronismo",0.048,0.272,0.317,0.092,0.169,0.192
"P08","A Cristina Fernández de Kirchner",0.694,0.423,0.439,0.73,0.7,0.715
"P09","A Horacio Rodriguez Larreta",0.108,0.275,0.106,0.13,0.058,0.031
"P09","A Patricia Bullrich",0.434,0.61,0.818,0.462,0.83,0.823
"P09","A Facundo Manes",0.281,0.052,0.035,0.347,0.087,0.047
"P09","A Gerardo Morales",0.177,0.063,0.041,0.061,0.025,0.099
"P10","Sergio Massa por el Frente de Todos",0.785,0.037,0.031,0.091,0.072,0.066
"P10","Patricia Bullrich por Juntos por el Cambio",0.05,0.484,0.167,0.061,0.364,0.325
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.353,0.02,0.044,0.056,0.046
"P10","Javier Milei por la Libertad Avanza",0.055,0.083,0.744,0.046,0.048,0.037
"P10","Al candidato del Frente de Izquierda",0.012,0.009,0.007,0.619,0.021,0.018
"P10","En blanco",0.017,0.007,0.008,0.052,0.317,0.045
"P10","No sabe",0.057,0.027,0.023,0.087,0.122,0.463
"P11","Javier Milei por la Libertad Avanza",0.058,0.064,0.641,0.022,0.067,0.029
"P11","Horacio Rodríguez Larreta por Juntos por el Cambio",0.022,0.35,0.036,0.046,0.057,0.054
"P11","Patricia Bullrich por Juntos por el Cambio",0.079,0.406,0.171,0.045,0.315,0.268
"P11","Sergio Massa  por el Frente de Todos",0.742,0.052,0.095,0.098,0.066,0.062
"P11","Facundo Manes por Juntos por el Cambio",0.025,0.068,0.022,0.189,0.068,0.094
"P11","Gerardo Morales por Juntos por el Cambio",0.008,0.032,0.009,0.016,0.083,0.035
"P11","Al candidato del Frente de Izquierda",0.022,0.007,0.01,0.514,0.046,0.091
"P11","En blanco",0.009,0.003,0.004,0.037,0.226,0.033
"P11","No sabe",0.035,0.018,0.012,0.033,0.072,0.334
"P12","Agustín Rossi  por el Frente de Todos",0.619,0.057,0.043,0.166,0.111,0.081
"P12","Patricia Bullrich por Juntos por el Cambio",0.06,0.424,0.171,0.051,0.335,0.287
"P12","Horacio Rodríguez Larreta por Juntos por el Cambio",0.047,0.317,0.056,0.033,0.036,0.039
"P12","Facundo Manes por Juntos por el Cambio",0.031,0.06,0.015,0.05,0.053,0.062
"P12","Gerardo Morales",0.012,0.041,0.015,0.03,0.042,0.054
"P12","Javier Milei por la Libertad Avanza",0.076,0.075,0.667,0.033,0.047,0.045
"P12","Al candidato del Frente de Izquierda",0.019,0.006,0.004,0.545,0.021,0.019
"P12","En blanco",0.029,0.004,0.009,0.053,0.284,0.03
"P12","No sabe",0.107,0.016,0.02,0.039,0.071,0.383
"P16","Daniel Scioli  por el Frente de Todos",0.577,0.079,0.108,0.102,0.093,0.102
"P16","Patricia Bullrich por Juntos por el Cambio",0.138,0.381,0.159,0.067,0.293,0.265
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.314,0.043,0.026,0.05,0.044
