"var","categoria","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por la Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.379,0.475,0.302,0.419,0.37,0.349,0.356,0.313,0.223
"P05","Bastante",0.33,0.392,0.34,0.353,0.317,0.345,0.267,0.205,0.241
"P05","Poco",0.173,0.101,0.229,0.148,0.183,0.158,0.266,0.229,0.223
"P05","Nada",0.091,0.019,0.083,0.062,0.108,0.111,0.106,0.232,0.188
"P05","No sabe",0.027,0.013,0.046,0.018,0.022,0.037,0.005,0.021,0.125
"P06","Siempre",0.318,0.29,0.215,0.32,0.261,0.229,0.205,0.209,0.171
"P06","Casi siempre",0.402,0.452,0.396,0.402,0.414,0.35,0.419,0.245,0.295
"P06","Casi nunca",0.172,0.177,0.263,0.206,0.245,0.287,0.238,0.338,0.271
"P06","Nunca, pero esta es una excepción",0.108,0.081,0.126,0.072,0.08,0.134,0.138,0.208,0.263
"P07","Del Frente de Todos y el peronismo",0.701,0.813,0.513,0.051,0.067,0.06,0.102,0.198,0.141
"P07","De Juntos por el Cambio",0.126,0.063,0.155,0.773,0.64,0.096,0.031,0.113,0.099
"P07","De los Liberales libertarios",0.055,0.042,0.18,0.101,0.133,0.706,0.032,0.094,0.036
"P07","De la Izquierda",0.033,0.028,0.029,0.006,0.028,0.035,0.712,0.035,0.039
"P07","No sabe",0.085,0.054,0.123,0.069,0.132,0.103,0.123,0.56,0.685
"P08","A Sergio Massa",0.598,0.159,0.181,0.205,0.15,0.338,0.194,0.146,0.252
"P08","A Daniel Scioli",0.097,0.043,0.432,0.202,0.158,0.169,0.076,0.071,0.096
"P08","A algún candidato del peronismo",0.064,0.118,0.15,0.322,0.338,0.31,0.077,0.307,0.295
"P08","A algún candidato del kirchnerismo",0.241,0.68,0.237,0.271,0.354,0.183,0.653,0.476,0.357
"P09","A Horacio Rodríguez Larreta",0.271,0.193,0.328,0.026,0.635,0.099,0,0.01,0.104
"P09","A Patricia Bullrich",0.48,0.506,0.474,0.922,0.183,0.729,0.733,0.163,0.292
"P09","A Facundo Manes",0.136,0.223,0.118,0.033,0.081,0.095,0,0.484,0.389
"P09","A Gerardo Morales",0.113,0.078,0.08,0.019,0.101,0.077,0.267,0.343,0.215
"P10","Sergio Massa por el Frente de Todos",0.523,0.392,0.228,0.024,0.271,0.025,0.017,0.025,0.043
"P10","Patricia Bullrich por Juntos por el Cambio",0.048,0.034,0.114,0.549,0.073,0.047,0.012,0.015,0.049
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.018,0.009,0.06,0.015,0.359,0.011,0.029,0.038,0.022
