"var","categoria","Patricia Bullrich por Juntos por el Cambio","Wado de Pedro  por el Frente de Todos","En blanco","No sabe"
"P05","Mucho",0.421,0.463,0.38,0.245
"P05","Bastante",0.378,0.407,0.305,0.331
"P05","Poco",0.137,0.097,0.142,0.235
"P05","Nada",0.046,0.019,0.138,0.12
"P05","No sabe",0.018,0.014,0.035,0.069
"P06","Siempre",0.3,0.321,0.316,0.28
"P06","Casi siempre",0.44,0.467,0.325,0.338
"P06","Casi nunca",0.203,0.154,0.233,0.224
"P06","Nunca, pero esta es una excepción",0.057,0.058,0.126,0.158
"P07","Del Frente de Todos y el peronismo",0.052,0.81,0.112,0.221
"P07","De Juntos por el Cambio",0.597,0.063,0.167,0.15
"P07","De los Liberales libertarios",0.289,0.04,0.443,0.211
"P07","De la Izquierda",0.011,0.032,0.112,0.054
"P07","No sabe",0.051,0.055,0.166,0.364
"P08","A Sergio Massa",0.16,0.284,0.326,0.611
"P08","A Daniel Scioli",0.247,0.08,0.261,0.114
"P08","A algún candidato del peronismo",0.332,0.096,0.189,0.148
"P08","A algún candidato del kirchnerismo",0.261,0.54,0.224,0.127
"P09","A Horacio Rodríguez Larreta",0.114,0.253,0.33,0.536
"P09","A Patricia Bullrich",0.811,0.152,0.283,0.299
"P09","A Facundo Manes",0.035,0.364,0.247,0.059
"P09","A Gerardo Morales",0.04,0.231,0.14,0.106
"P10","Sergio Massa por el Frente de Todos",0.042,0.432,0.085,0.181
"P10","Patricia Bullrich por Juntos por el Cambio",0.373,0.018,0.024,0.041
"P10","Horacio Rodríguez Larreta por Juntos por el Cambio",0.058,0.011,0.091,0.057
"P10","Juan Schiaretti por Juntos por el Cambio",0.111,0.021,0.202,0.139
"P10","Jose Luis Espert por Juntos por el Cambio",0.024,0.21,0.045,0.093
"P10","Javier Milei por la Libertad Avanza",0.366,0.041,0.311,0.174
"P10","Al candidato del Frente de Izquierda",0.003,0.06,0.079,0.034
"P10","En blanco",0.006,0.03,0.096,0.028
"P10","No sabe",0.017,0.177,0.067,0.253
"P13","Wado de Pedro por el Frente de Todos",0.079,0.537,0.052,0.117
"P13","Patricia Bullrich por Juntos por el Cambio",0.34,0.027,0.029,0.036
"P13","Horacio Rodríguez Larreta por Juntos por el Cambio",0.084,0.011,0.068,0.075
"P13","Juan Schiaretti por Juntos por el Cambio",0.105,0.023,0.185,0.174
"P13","Jose Luis Espert por Juntos por el Cambio",0.039,0.247,0.052,0.034
"P13","Javier Milei por la Libertad Avanza",0.334,0.049,0.356,0.16
"P13","Al candidato del Frente de Izquierda",0.001,0.032,0.077,0.026
"P13","En blanco",0.004,0.022,0.131,0.017
"P13","No sabe",0.014,0.052,0.05,0.361
"P16","Sergio Massa por el Frente de Todos",0.029,0.233,0.068,0.132
"P16","Wado de Pedro por el Frente de Todos",0.02,0.565,0.023,0.043
"P16","Daniel Scioli por el Frente de Todos",0.018,0.072,0.105,0.062
"P16","Patricia Bullrich por Juntos por el Cambio",0.54,0.026,0.063,0.049
"P16","Horacio Rodríguez Larreta por Juntos por el Cambio",0.109,0.021,0.126,0.107
"P16","Javier Milei por la Libertad Avanza",0.266,0.031,0.384,0.259
"P16","Al candidato del Frente de Izquierda",0.002,0.02,0.069,0.014
"P16","En blanco",0.004,0.007,0.12,0.009
"P16","No sabe",0.012,0.025,0.042,0.325
"P19","Sergio Massa por el Frente de Todos",0.032,0.205,0.098,0.162
"P19","Wado de Pedro por el Frente de Todos",0.028,0.621,0.04,0.058
"P19","Patricia Bullrich por Juntos por el Cambio",0.532,0.029,0.027,0.038
"P19","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.031,0.105,0.117
"P19","Javier Milei por la Libertad Avanza",0.26,0.041,0.45,0.273
"P19","Al candidato del Frente de Izquierda",0.02,0.033,0.083,0.044
"P19","En blanco",0.005,0.006,0.144,0.012
"P19","No sabe",0.015,0.034,0.053,0.296
"P22","Sergio Massa a presidente y Wado de Pedro a vicepresidente por el Frente de Todos con el apoyo de Cristina Kirchner y Alberto Fernandez",0.044,0.761,0.068,0.199
"P22","Patricia Bullrich a presidente y Ricardo Lopez Murphy a vicepresidente  por Juntos por el Cambio con el apoyo de Mauricio Macri y Alfredo Cornejo",0.559,0.033,0.026,0.064
"P22","Horacio Rodríguez Larreta a presidente y Juan Schiaretti a vicepresidente  por Juntos por el Cambio, con el apoyo de Gerardo Morales y Martin Lousteau",0.095,0.039,0.144,0.115
"P22","Jose Luis Espert a presidente y a su candidato a vicepresidente por Juntos por el Cambio",0.03,0.017,0.044,0.025
"P22","Javier Milei a presidente y Victoria Villarruel como vicepresidenta  por la Libertad Avanza",0.253,0.032,0.447,0.277
"P22","Al candidato a presidente y al candidato a vicepresidente del Frente de Izquierda",0.003,0.041,0.078,0.035
"P22","En blanco",0.006,0.016,0.12,0.01
"P22","No sabe",0.01,0.061,0.073,0.275
"P25","Sergio Massa por el Frente de Todos",0.053,0.518,0.058,0.161
