"var","categoria","1","2","3","4","5","6","7","8","9"
"P04","Tengo trabajo estable",0.353,0.359,0.478,0.435,0.4,0.403,0.526,0.497,0.376
"P04","Realizo changas o trabajos de vez en cuando",0.213,0.28,0.195,0.203,0.235,0.18,0.155,0.149,0.247
"P04","No tengo trabajo",0.226,0.198,0.18,0.197,0.209,0.204,0.141,0.159,0.204
"P04","Soy jubilado o pensionado",0.208,0.163,0.147,0.165,0.156,0.213,0.178,0.195,0.173
"P05","1",0.409,0.291,0.122,0.117,0.182,0.143,0.159,0.183,0.453
"P05","2",0.054,0.196,0.093,0.046,0.053,0.026,0.05,0.119,0.053
"P05","3",0.024,0.053,0.181,0.081,0.049,0.05,0.15,0.118,0.049
"P05","4",0.03,0.043,0.061,0.195,0.066,0.146,0.153,0.086,0.048
"P05","5",0.101,0.111,0.161,0.274,0.442,0.285,0.23,0.176,0.114
"P05","6",0.031,0.034,0.116,0.084,0.055,0.156,0.054,0.053,0.011
"P05","7",0.051,0.088,0.157,0.1,0.052,0.106,0.141,0.052,0.018
"P05","8",0.043,0.087,0.065,0.028,0.033,0.06,0.041,0.137,0.023
"P05","9",0.257,0.097,0.044,0.075,0.068,0.028,0.022,0.076,0.231
"P07","1",0.519,0.368,0.396,0.339,0.269,0.281,0.179,0.165,0.283
"P07","2",0.021,0.164,0.058,0.054,0.022,0.065,0.037,0.031,0.014
"P07","3",0.022,0.03,0.117,0.04,0.026,0.055,0.06,0.043,0.01
"P07","4",0.009,0.013,0.013,0.123,0.023,0.028,0.045,0.016,0.01
"P07","5",0.034,0.056,0.083,0.073,0.206,0.112,0.142,0.12,0.088
"P07","6",0.004,0.003,0.02,0.012,0.027,0.08,0.044,0.049,0.008
"P07","7",0.007,0.009,0.022,0.022,0.041,0.07,0.189,0.059,0.021
"P07","8",0.008,0.04,0.019,0.043,0.044,0.084,0.046,0.183,0.026
"P07","9",0.376,0.317,0.272,0.294,0.342,0.225,0.258,0.334,0.54
"P09","Del Frente de Todos y el peronismo",0.475,0.42,0.42,0.324,0.211,0.146,0.173,0.167,0.148
"P09","De Cambiemos",0.218,0.243,0.225,0.226,0.279,0.407,0.443,0.389,0.369
"P09","De los Liberales libertarios",0.067,0.117,0.11,0.096,0.146,0.167,0.238,0.301,0.274
"P09","De la Izquierda",0.041,0.051,0.074,0.046,0.03,0.04,0.014,0.015,0.021
"P09","No sabe",0.199,0.169,0.171,0.308,0.334,0.24,0.132,0.128,0.188
"P10","A Alberto Fernández",0.203,0.272,0.092,0.149,0.175,0.135,0.112,0.193,0.348
"P10","A Sergio Massa",0.185,0.159,0.193,0.258,0.272,0.204,0.202,0.21,0.218
"P10","A algún candidato del peronismo",0.15,0.126,0.192,0.123,0.232,0.225,0.345,0.218,0.18
