"var","categoria","Si","No","No sabe"
"P04","Tengo trabajo estable",0.436,0.423,0.401
"P04","Realizo changas o trabajos de vez en cuando",0.195,0.197,0.177
"P04","No tengo trabajo",0.153,0.201,0.183
"P04","Soy jubilado o pensionado",0.216,0.179,0.239
"P05","1",0.212,0.355,0.251
"P05","2",0.046,0.076,0.052
"P05","3",0.033,0.096,0.049
"P05","4",0.049,0.081,0.069
"P05","5",0.177,0.188,0.227
"P05","6",0.074,0.036,0.054
"P05","7",0.123,0.034,0.086
"P05","8",0.082,0.026,0.062
"P05","9",0.204,0.108,0.15
"P06","1",0.414,0.161,0.266
"P06","2",0.059,0.041,0.047
"P06","3",0.081,0.032,0.037
"P06","4",0.051,0.034,0.067
"P06","5",0.154,0.179,0.228
"P06","6",0.028,0.061,0.055
"P06","7",0.03,0.077,0.057
"P06","8",0.036,0.082,0.046
"P06","9",0.147,0.333,0.197
"P07","1",0.56,0.245,0.359
"P07","2",0.025,0.036,0.028
"P07","3",0.027,0.028,0.029
"P07","4",0.017,0.023,0.026
"P07","5",0.063,0.114,0.11
"P07","6",0.01,0.022,0.025
"P07","7",0.025,0.048,0.038
"P07","8",0.02,0.058,0.037
"P07","9",0.253,0.426,0.348
"P09","Del Frente de Todos y el peronismo",0.721,0.081,0.272
"P09","De Cambiemos",0.072,0.471,0.287
"P09","De los Liberales libertarios",0.047,0.289,0.136
"P09","De la Izquierda",0.036,0.028,0.044
"P09","No sabe",0.124,0.131,0.261
"P10","A Alberto Fernández",0.157,0.223,0.165
"P10","A Sergio Massa",0.257,0.085,0.065
"P10","A algún candidato del peronismo",0.112,0.349,0.221
"P10","A algún candidato del kirchnerismo",0.474,0.343,0.549
"P11","A Alberto Fernández",0.116,0.099,0.132
"P11","A Sergio Massa",0.185,0.07,0.037
"P11","A algún candidato del peronismo",0.066,0.279,0.145
"P11","A Cristina Fernández de Kirchner",0.633,0.552,0.686
"P12","A Horacio Rodriguez Larreta",0.263,0.181,0.249
"P12","A Mauricio Macri",0.266,0.378,0.265
"P12","A Patricia Bullrich",0.163,0.354,0.311
"P12","A Facundo Manes",0.209,0.059,0.102
"P12","A Gerardo Morales",0.099,0.028,0.073
"P13","Seguro lo votaria",0.306,0.219,0.158
"P13","Quizás lo votaría",0.289,0.285,0.352
"P13","Nunca lo votaría",0.405,0.496,0.49
"P14","Lo votaría",0.05,0.385,0.163
"P14","Puede que lo vote",0.084,0.264,0.215
"P14","Nunca lo votaría",0.795,0.272,0.508
"P14","No sabe",0.071,0.079,0.114
"P15","Lo votaría",0.356,0.045,0.062
"P15","Puede que lo vote",0.379,0.057,0.242
"P15","Nunca lo votaría",0.178,0.865,0.519
"P15","No sabe",0.087,0.033,0.177
"P16","Lo votaría",0.273,0.023,0.092
"P16","Puede que lo vote",0.358,0.044,0.158
"P16","Nunca lo votaría",0.275,0.914,0.638
"P16","No sabe",0.094,0.019,0.112
"P17","La votaría",0.656,0.058,0.263
"P17","Puede que la vote",0.13,0.026,0.074
"P17","Nunca la votaría",0.183,0.903,0.589
"P17","No sabe",0.031,0.013,0.074
"P18","Lo votaría",0.077,0.192,0.136
"P18","Puede que lo vote",0.109,0.345,0.252
"P18","Nunca lo votaría",0.747,0.409,0.486
"P18","No sabe",0.067,0.054,0.126
"P19","Lo votaría",0.053,0.113,0.104
"P19","Puede que lo vote",0.148,0.309,0.268
"P19","Nunca lo votaría",0.66,0.479,0.425
"P19","No sabe",0.139,0.099,0.203
"P20","La votaría",0.066,0.435,0.196
"P20","Puede que la vote",0.06,0.268,0.205
"P20","Nunca la votaría",0.829,0.261,0.491
"P20","No sabe",0.045,0.036,0.108
"P21","Lo votaría",0.078,0.325,0.157
"P21","Puede que lo vote",0.078,0.219,0.171
"P21","Nunca lo votaría",0.786,0.415,0.549
"P21","No sabe",0.058,0.041,0.123
"P22","La votaría",0.038,0.193,0.107
"P22","Puede que la vote",0.095,0.307,0.194
"P22","Nunca la votaría",0.782,0.431,0.542
"P22","No sabe",0.085,0.069,0.157
"P23","Lo votaría",0.211,0.02,0.046
"P23","Puede que lo vote",0.425,0.06,0.216
"P23","Nunca lo votaría",0.293,0.894,0.618
"P23","No sabe",0.071,0.026,0.12
"P24","Lo votaría",0.038,0.055,0.05
"P24","Puede que lo vote",0.122,0.199,0.162
"P24","Nunca lo votaría",0.712,0.652,0.593
"P24","No sabe",0.128,0.094,0.195
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.035,0.359,0.181
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.052,0.136,0.145
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.098,0.015,0.053
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.687,0.062,0.285
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.044,0.307,0.139
"P25","Otros candidatos",0.084,0.121,0.197
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.769,0.068,0.327
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.064,0.446,0.262
"P29","Javier Milei – José Luis Espert por los liberales",0.064,0.339,0.167
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.023,0.035
"P29","Otro candidato",0.08,0.124,0.209
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.125,0.354,0.258
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.534,0.067,0.212
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.062,0.369,0.193
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.039,0.023,0.06
"P31","Otro candidato",0.24,0.187,0.277
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.686,0.057,0.219
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.088,0.486,0.293
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.045,0.308,0.148
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.027,0.023,0.048
"P33","Otro candidato",0.154,0.126,0.292
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.538,0.122,0.261
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.246,0.29,0.229
"P35","Javier Milei – José Luis Espert por los liberales",0.056,0.38,0.175
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.022,0.05
"P35","Otro candidato",0.137,0.186,0.285
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.438,0.21,0.284
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.41,0.219,0.267
"P37","Javier Milei – José Luis Espert por los liberales",0.058,0.375,0.176
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.017,0.022,0.034
"P37","Otro candidato",0.077,0.174,0.239
"P38","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.752,0.091,0.33
"P38","Mauricio Macri presidente – María Eugenia Vidal vice",0.11,0.631,0.331
"P38","No sabe",0.138,0.278,0.339
"P39","Alberto Fernández presidente – Daniel Scioli vice",0.649,0.064,0.244
"P39","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.105,0.571,0.333
"P39","No sabe",0.246,0.365,0.423
"P40","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.736,0.052,0.26
"P40","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.081,0.688,0.357
"P40","No sabe",0.183,0.26,0.383
"P41","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.79,0.073,0.324
"P41","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.092,0.593,0.35
"P41","No sabe",0.118,0.334,0.326
"P42","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.765,0.056,0.265
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.074,0.582,0.326
"P42","No sabe",0.161,0.362,0.409
"P43","Muy buena",0.187,0.008,0.023
"P43","Buena",0.339,0.058,0.114
"P43","Ni buena ni mala",0.251,0.064,0.219
"P43","Mala",0.129,0.096,0.201
"P43","Muy mala",0.079,0.771,0.416
"P43","No sabe",0.015,0.003,0.027
"P44","Muy de acuerdo",0.422,0.079,0.087
"P44","De acuerdo",0.294,0.117,0.186
"P44","Ni de acuerdo ni en desacuerdo",0.174,0.294,0.414
"P44","En desacuerdo",0.05,0.187,0.114
"P44","Muy en desacuerdo",0.02,0.272,0.086
"P44","No sabe",0.04,0.051,0.113
"P45","Muy de acuerdo",0.496,0.014,0.04
"P45","De acuerdo",0.346,0.055,0.167
"P45","Ni de acuerdo ni en desacuerdo",0.121,0.218,0.538
"P45","En desacuerdo",0.016,0.225,0.115
"P45","Muy en desacuerdo",0.008,0.465,0.056
"P45","No sabe",0.013,0.023,0.084
"P47","Muy buena",0.254,0.01,0.045
"P47","Buena",0.304,0.115,0.098
"P47","Ni buena ni mala",0.228,0.047,0.292
"P47","Mala",0.132,0.107,0.191
"P47","Muy mala",0.077,0.719,0.357
"P47","No sabe",0.005,0.002,0.017
"P48","Muy buena",0.587,0.042,0.21
"P48","Buena",0.154,0.025,0.076
"P48","Ni buena ni mala",0.089,0.027,0.106
"P48","Mala",0.064,0.06,0.113
"P48","Muy mala",0.103,0.842,0.472
"P48","No sabe",0.003,0.004,0.023
"P49","Muy buena",0.087,0.236,0.085
"P49","Buena",0.043,0.249,0.163
"P49","Ni buena ni mala",0.095,0.178,0.169
"P49","Mala",0.21,0.108,0.19
"P49","Muy mala",0.548,0.223,0.365
"P49","No sabe",0.017,0.006,0.028
"P50","Muy buena",0.066,0.184,0.098
"P50","Buena",0.081,0.268,0.197
"P50","Ni buena ni mala",0.167,0.233,0.249
"P50","Mala",0.225,0.115,0.153
"P50","Muy mala",0.429,0.185,0.224
"P50","No sabe",0.032,0.015,0.079
"P51","Muy buena",0.258,0.019,0.02
"P51","Buena",0.404,0.039,0.125
"P51","Ni buena ni mala",0.235,0.085,0.394
"P51","Mala",0.05,0.174,0.217
"P51","Muy mala",0.045,0.676,0.177
"P51","No sabe",0.008,0.007,0.067
"P52","Muy buena",0.076,0.413,0.165
"P52","Buena",0.07,0.219,0.167
"P52","Ni buena ni mala",0.126,0.138,0.18
"P52","Mala",0.155,0.066,0.131
"P52","Muy mala",0.551,0.155,0.288
"P52","No sabe",0.022,0.009,0.069
"P53","Muy buena",0.058,0.276,0.121
"P53","Buena",0.055,0.186,0.122
