"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P04","Tengo trabajo estable",0.376,0.396,0.402,0.473,0.476,0.165
"P04","Realizo changas o trabajos de vez en cuando",0.185,0.175,0.201,0.173,0.19,0.37
"P04","No tengo trabajo",0.163,0.179,0.212,0.193,0.175,0.201
"P04","Soy jubilado o pensionado",0.276,0.25,0.185,0.161,0.159,0.264
"P05","1",0.421,0.353,0.311,0.217,0.198,0.356
"P05","2",0.06,0.072,0.07,0.059,0.052,0.06
"P05","3",0.074,0.082,0.074,0.07,0.054,0.035
"P05","4",0.088,0.077,0.077,0.084,0.041,0.029
"P05","5",0.179,0.245,0.218,0.169,0.159,0.236
"P05","6",0.028,0.04,0.046,0.059,0.063,0.06
"P05","7",0.035,0.03,0.051,0.104,0.121,0.028
"P05","8",0.022,0.027,0.04,0.054,0.086,0.045
"P05","9",0.093,0.074,0.113,0.184,0.226,0.151
"P06","1",0.218,0.148,0.192,0.282,0.375,0.302
"P06","2",0.027,0.039,0.049,0.052,0.063,0.05
"P06","3",0.033,0.03,0.035,0.073,0.065,0.016
"P06","4",0.029,0.054,0.045,0.062,0.043,0.046
"P06","5",0.173,0.201,0.201,0.194,0.157,0.211
"P06","6",0.066,0.069,0.059,0.038,0.025,0.047
"P06","7",0.07,0.075,0.078,0.049,0.038,0.021
"P06","8",0.065,0.073,0.067,0.065,0.047,0.032
"P06","9",0.319,0.311,0.274,0.185,0.187,0.275
"P07","1",0.234,0.26,0.274,0.406,0.53,0.324
"P07","2",0.03,0.034,0.025,0.032,0.035,0.025
"P07","3",0.019,0.03,0.021,0.041,0.028,0.018
"P07","4",0.019,0.029,0.02,0.023,0.023,0.009
"P07","5",0.113,0.107,0.112,0.117,0.072,0.046
"P07","6",0.021,0.024,0.02,0.032,0.008,0.022
"P07","7",0.029,0.06,0.044,0.03,0.033,0.01
"P07","8",0.041,0.062,0.043,0.036,0.04,0.013
"P07","9",0.494,0.394,0.441,0.283,0.231,0.533
"P09","Del Frente de Todos y el peronismo",0.059,0.068,0.199,0.46,0.584,0.194
"P09","De Cambiemos",0.73,0.602,0.298,0.115,0.063,0.156
"P09","De los Liberales libertarios",0.096,0.164,0.255,0.225,0.192,0.089
"P09","De la Izquierda",0.019,0.015,0.033,0.05,0.049,0.039
"P09","No sabe",0.096,0.151,0.215,0.15,0.112,0.522
"P10","A Alberto Fernández",0.23,0.136,0.275,0.168,0.118,0.503
"P10","A Sergio Massa",0.227,0.37,0.273,0.262,0.113,0.208
"P10","A algún candidato del peronismo",0.285,0.304,0.276,0.161,0.132,0.019
"P10","A algún candidato del kirchnerismo",0.258,0.19,0.176,0.409,0.637,0.27
"P11","A Alberto Fernández",0.199,0.099,0.26,0.1,0.054,0.616
"P11","A Sergio Massa",0.201,0.291,0.216,0.2,0.07,0.027
"P11","A algún candidato del peronismo",0.374,0.282,0.201,0.12,0.059,0.02
"P11","A Cristina Fernández de Kirchner",0.226,0.328,0.323,0.58,0.817,0.337
"P12","A Horacio Rodriguez Larreta",0.354,0.179,0.088,0.046,0.149,0.047
"P12","A Mauricio Macri",0.301,0.344,0.399,0.426,0.3,0.495
"P12","A Patricia Bullrich",0.268,0.355,0.4,0.336,0.286,0.245
"P12","A Facundo Manes",0.05,0.076,0.084,0.151,0.135,0.078
"P12","A Gerardo Morales",0.027,0.046,0.029,0.041,0.13,0.135
"P13","Seguro lo votaria",0.232,0.224,0.172,0.259,0.16,0.043
"P13","Quizás lo votaría",0.261,0.313,0.357,0.206,0.252,0.59
"P13","Nunca lo votaría",0.507,0.463,0.471,0.535,0.588,0.367
"P14","Lo votaría",0.567,0.429,0.235,0.105,0.05,0.078
"P14","Puede que lo vote",0.216,0.295,0.287,0.163,0.084,0.173
"P14","Nunca lo votaría",0.177,0.217,0.37,0.656,0.783,0.425
"P14","No sabe",0.04,0.059,0.108,0.076,0.083,0.324
"P15","Lo votaría",0.097,0.067,0.118,0.206,0.155,0.153
"P15","Puede que lo vote",0.053,0.09,0.148,0.262,0.303,0.28
"P15","Nunca lo votaría",0.813,0.788,0.643,0.43,0.451,0.344
"P15","No sabe",0.037,0.055,0.091,0.102,0.091,0.223
"P16","Lo votaría",0.038,0.018,0.117,0.17,0.139,0.21
"P16","Puede que lo vote",0.029,0.044,0.079,0.241,0.317,0.146
"P16","Nunca lo votaría",0.902,0.912,0.752,0.53,0.454,0.446
"P16","No sabe",0.031,0.026,0.052,0.059,0.09,0.198
"P17","La votaría",0.04,0.041,0.157,0.394,0.566,0.254
"P17","Puede que la vote",0.018,0.027,0.064,0.118,0.076,0.155
"P17","Nunca la votaría",0.927,0.909,0.741,0.463,0.325,0.445
"P17","No sabe",0.015,0.023,0.038,0.025,0.033,0.146
"P18","Lo votaría",0.585,0.224,0.034,0.038,0.04,0.06
"P18","Puede que lo vote",0.282,0.567,0.384,0.083,0.019,0.187
"P18","Nunca lo votaría",0.102,0.15,0.425,0.841,0.914,0.408
"P18","No sabe",0.031,0.059,0.157,0.038,0.027,0.345
